begintime,sk_object,duration,M51332C0,M51332C1,M51332C2,M51332C3,M51332C4,M51332C5,M51332C6,M51332C7,M51332C8,M51332C9
2022-03-15 06:58:00,338.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17 02:53:00,332.0,7,0.0,0.0,0.0,0.0,0.0,0.0,88.0,383.0,97.0,321.0
2022-03-17 02:54:00,331.0,6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,62.0,30.0,87.0
2022-03-17 02:54:00,333.0,6,0.0,0.0,0.0,0.0,0.0,0.0,53.0,263.0,68.0,234.0
2022-03-17 02:54:00,335.0,6,0.0,0.0,0.0,0.0,0.0,0.0,66.0,450.0,79.0,370.0
2022-03-17 02:54:00,336.0,6,0.0,0.0,0.0,0.0,0.0,0.0,20.0,182.0,38.0,196.0
2022-03-17 02:54:00,337.0,6,0.0,0.0,0.0,0.0,0.0,0.0,16.0,91.0,52.0,95.0
2022-03-17 02:55:00,334.0,5,0.0,0.0,0.0,0.0,0.0,0.0,44.0,211.0,61.0,206.0
2022-03-18 18:00:00,336.0,15,0.0,0.0,0.0,0.0,0.0,0.0,10.0,35.0,46.0,76.0
2022-03-18 18:15:00,336.0,15,0.0,0.0,0.0,0.0,0.0,0.0,10.0,38.0,44.0,76.0
2022-03-18 18:30:00,336.0,15,0.0,0.0,0.0,0.0,0.0,0.0,10.0,28.0,44.0,79.0
2022-03-18 18:45:00,336.0,15,0.0,0.0,0.0,0.0,0.0,0.0,11.0,32.0,45.0,78.0
2022-03-19 06:56:00,86702.0,4,0.0,0.0,0.0,0.0,0.0,0.0,34.0,151.0,74.0,280.0
2022-03-19 13:46:00,338.0,14,0.0,0.0,0.0,0.0,0.0,0.0,102.0,359.0,172.0,887.0
2022-03-19 16:58:00,338.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 21:47:00,338.0,13,0.0,0.0,0.0,0.0,0.0,0.0,143.0,781.0,208.0,1307.0
2022-03-12 05:55:00,333.0,5,0.0,0.0,0.0,0.0,0.0,0.0,35.0,447.0,49.0,260.0
2022-03-12 06:50:00,338.0,10,0.0,0.0,0.0,0.0,0.0,0.0,78.0,553.0,115.0,603.0
