sk_object,objecttypeid,mapping,mapping_id,vendor
808965,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809053,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808701,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
817479,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808911,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808972,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808901,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808676,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808703,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808869,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808974,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808914,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
817531,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809082,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808679,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808702,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809156,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809019,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808894,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
817587,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808797,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
832634,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809122,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809130,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808793,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809071,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809166,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809098,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809012,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808860,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808772,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809192,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809023,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808804,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808756,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808883,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808857,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808761,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809146,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808698,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808954,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809164,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808768,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808757,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808995,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808921,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808823,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808853,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808918,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808692,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808696,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809054,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
817426,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808917,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809118,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808898,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809163,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809073,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808963,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808884,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808890,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809016,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808970,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808829,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809094,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808934,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
832635,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808849,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809170,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809186,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
12015108,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
12015197,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
12015132,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809182,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809187,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808803,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808802,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
