begintime,sk_object,duration,integrity,M8004C0,M8004C1,M8004C2,M8004C3,M8004C4,M8004C5,M8004C6
2022-03-18 11:00:00,16136.0,60.0,100.0,1819953.0,1495465.0,2319787.0,3412780.0,0.0,0.0,0.0
2022-03-18 09:00:00,16135.0,60.0,100.0,1587151.0,1657244.0,2987400.0,3437277.0,0.0,0.0,0.0
2022-03-16 04:00:00,16124.0,60.0,100.0,19000.0,54935.0,147399.0,34643.0,0.0,0.0,0.0
2022-03-16 07:00:00,16138.0,60.0,100.0,2761701.0,2589155.0,8480542.0,8098559.0,0.0,0.0,0.0
2022-03-12 06:00:00,16133.0,60.0,100.0,27997.0,23845.0,11383.0,18156.0,0.0,0.0,0.0
2022-03-17 12:00:00,16127.0,60.0,100.0,4119464.0,3808628.0,13583944.0,9446031.0,0.0,0.0,0.0
2022-03-14 02:00:00,16137.0,60.0,100.0,90997.0,148748.0,185964.0,443543.0,0.0,0.0,0.0
2022-03-13 06:00:00,16134.0,60.0,100.0,599198.0,695690.0,2274633.0,1800695.0,0.0,0.0,0.0
2022-03-11 00:00:00,16123.0,60.0,100.0,215297.0,426665.0,1025345.0,1752644.0,0.0,0.0,0.0
2022-03-11 08:00:00,16135.0,60.0,100.0,1353634.0,1462349.0,4129032.0,4721846.0,0.0,0.0,0.0
2022-03-18 02:00:00,16134.0,60.0,100.0,542648.0,374504.0,2111295.0,3393518.0,0.0,0.0,0.0
2022-03-19 06:00:00,16134.0,60.0,100.0,871878.0,928041.0,2967869.0,3923262.0,0.0,0.0,0.0
2022-03-13 06:00:00,16131.0,60.0,100.0,886433.0,925940.0,2676628.0,1955417.0,0.0,0.0,0.0
2022-03-16 20:00:00,16126.0,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 17:00:00,16134.0,60.0,100.0,4049639.0,4015443.0,12500641.0,19760050.0,0.0,0.0,0.0
2022-03-15 00:00:00,16130.0,60.0,100.0,455170.0,405760.0,740602.0,527244.0,0.0,0.0,0.0
2022-03-15 15:00:00,16134.0,60.0,100.0,3834744.0,3703697.0,8795334.0,13449384.0,0.0,0.0,0.0
2022-03-11 12:00:00,16125.0,60.0,100.0,665228.0,808548.0,1240090.0,1679190.0,0.0,0.0,0.0
2022-03-18 02:00:00,16136.0,60.0,100.0,375760.0,111442.0,300495.0,896332.0,0.0,0.0,0.0
2022-03-15 13:00:00,16138.0,60.0,100.0,3621568.0,3653687.0,10027021.0,9878714.0,0.0,0.0,0.0
2022-03-18 03:00:00,16123.0,60.0,100.0,49083.0,150489.0,70720.0,11103.0,0.0,0.0,0.0
2022-03-15 05:00:00,16136.0,60.0,100.0,210937.0,187337.0,752541.0,1846954.0,0.0,0.0,0.0
2022-03-17 16:00:00,16125.0,60.0,100.0,727044.0,855666.0,1628927.0,3915602.0,0.0,0.0,0.0
2022-03-13 15:00:00,16135.0,60.0,100.0,1489220.0,1526884.0,4737058.0,3785926.0,0.0,0.0,0.0
2022-03-13 20:00:00,16131.0,60.0,100.0,8108958.0,8019242.0,18338902.0,24503526.0,0.0,0.0,0.0
2022-03-11 09:00:00,16136.0,60.0,100.0,2185829.0,1853742.0,2600037.0,4669847.0,0.0,0.0,0.0
2022-03-16 03:00:00,16137.0,60.0,100.0,24448.0,24450.0,95687.0,161529.0,0.0,0.0,0.0
2022-03-19 09:00:00,16137.0,60.0,100.0,2638816.0,2844044.0,5549096.0,6372347.0,0.0,0.0,0.0
2022-03-11 01:00:00,16130.0,60.0,100.0,237485.0,299510.0,823811.0,838353.0,0.0,0.0,0.0
2022-03-12 17:00:00,16128.0,60.0,100.0,7102326.0,6973385.0,17125103.0,16867604.0,0.0,0.0,0.0
2022-03-12 17:00:00,16135.0,60.0,100.0,1598448.0,1784553.0,2494177.0,3562385.0,0.0,0.0,0.0
2022-03-18 02:00:00,16130.0,60.0,100.0,67978.0,198644.0,563496.0,156606.0,0.0,0.0,0.0
2022-03-12 13:00:00,16136.0,60.0,100.0,1936529.0,1575489.0,2503731.0,3145630.0,0.0,0.0,0.0
