begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.Thrp.bits.DL,L.Thrp.Time.Cell.DL.HighPrecision
2022-03-07,4G_MOKABA/,808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,47242785496.0,2129332.0
2022-03-09,4G_MOKABA/,808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,4.166666666666667,2723852064.0,136011.0
2022-03-10,4G_MOKABA/,808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,12079775352.0,668298.0
2022-03-11,4G_MOKABA/,808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,9899474336.0,494847.0
2022-03-12,4G_MOKABA/,808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,79.16666666666667,658684344.0,59238.0
2022-03-14,4G_MOKABA/,808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,7643226616.0,503573.0
2022-03-13,4G_MOKABA/,808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,9251435528.0,415119.0
2022-03-15,4G_MOKABA/,808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,55569364280.0,2046525.0
2022-02-03,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,909836159184.0,55965653.0
2022-02-02,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,863887913384.0,53222262.0
2022-02-04,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,913641672568.0,54531744.0
2022-02-05,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,925190115624.0,55707483.0
2022-02-06,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,901702385720.0,55367201.0
2022-02-10,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,916106777312.0,55913446.0
2022-02-08,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,823042527048.0,48438979.0
2022-02-11,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,927329415992.0,55072171.0
2022-02-12,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,940895683576.0,53982157.0
2022-02-13,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1033948884880.0,59413198.0
2022-02-18,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,968813523008.0,57008134.0
2022-02-17,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,850106475560.0,47284225.0
2022-02-19,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,926252228904.0,54062832.0
2022-02-20,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,995280436288.0,62214391.0
2022-03-01,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,913134977864.0,53621405.0
2022-03-02,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,884664533024.0,51691489.0
2022-03-06,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,91.66666666666667,909645495912.0,54082984.0
2022-03-03,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,891457185760.0,54113743.0
2022-03-07,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,878869782848.0,54289731.0
2022-03-09,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,4.166666666666667,58635337224.0,3220383.0
2022-03-10,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,831062736408.0,46774660.0
2022-03-11,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,770327750952.0,45988624.0
2022-03-12,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,79.16666666666667,795682936368.0,44910090.0
2022-03-13,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,888407054056.0,50140304.0
2022-03-15,4G_ALLENTOWN/,808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,851364530592.0,49905212.0
