begintime,sk_object,duration,integrity,73445327,73445328,73445329,73445330,73445331,73445332,73445333,73445334
2022-03-06,7527975.0,79200.0,91.66666666666667,3221919362.0,2527764976.0,926811905332.0,474140753793.0,126813.296,78944.757,93617.36409090909,47893.005454545455
2022-03-11,7527975.0,86400.0,100.0,3412562863.0,2679210683.0,968116524533.0,495669864834.0,129308.666,82366.832,89640.41895833334,45895.35791666667
2022-02-12,7527974.0,86400.0,100.0,4298026963.0,2718687272.0,911366189501.0,434842475779.0,127780.477,76512.04,84385.75841666666,40263.19215
2022-03-13,7527974.0,75600.0,87.5,4013538293.0,2399236740.0,774234896012.0,357641682367.0,119169.253,69460.405,81929.61852380952,37845.68059047619
2022-03-10,7527975.0,82800.0,95.83333333333333,3333667040.0,2607246350.0,956356081616.0,485781649102.0,130214.413,82116.053,92401.55382608695,46935.42508695652
2022-03-02,7527973.0,86400.0,100.0,0.0,0.0,0.0,0.0,40075.613,122298.269,0.0,0.0
2022-02-04,7527974.0,86400.0,100.0,4204494132.0,2711554025.0,886577450239.0,427136718147.0,1392992.829,72492.899,82090.50475,39549.696075
2022-03-11,7527972.0,86400.0,100.0,4208915543.0,3049959477.0,455935064878.0,236837231511.0,67794.221,50962.432,42216.20979166667,21929.3732875
2022-02-11,7527972.0,86400.0,100.0,4029109519.0,2946678123.0,442356414655.0,230157857217.0,67988.493,46907.893,40958.92729166667,21310.91275
2022-03-15,7527973.0,86400.0,100.0,0.0,0.0,0.0,0.0,38470.342,115687.675,0.0,0.0
2022-02-08,7527973.0,86400.0,100.0,0.0,0.0,0.0,0.0,41189.429,120770.95,0.0,0.0
2022-02-10,7527974.0,86400.0,100.0,4232714248.0,2678854011.0,891777946786.0,422210472799.0,125689.734,73972.554,82572.03216666667,39093.56229583333
2022-02-18,7527973.0,86400.0,100.0,0.0,0.0,0.0,0.0,41637.426,121196.866,0.0,0.0
2022-03-12,7527974.0,68400.0,79.16666666666667,4042048638.0,2602494317.0,774246827410.0,385944662357.0,122335.115,72524.758,90555.18447368422,45139.726631578946
2022-03-13,7527973.0,75600.0,87.5,0.0,0.0,0.0,0.0,35159.208,108119.899,0.0,0.0
2022-02-11,7527973.0,86400.0,100.0,0.0,0.0,0.0,0.0,40140.64,116606.704,0.0,0.0
2022-02-11,7527974.0,86400.0,100.0,4249669995.0,2719130696.0,888201423852.0,427527076091.0,126812.842,75358.32,82240.872625,39585.840358333335
2022-02-04,7527975.0,86400.0,100.0,3339543832.0,2655714831.0,999764992683.0,504695581750.0,135777.576,83435.819,92570.83270833333,46731.07241666667
2022-02-18,7527972.0,86400.0,100.0,4101220823.0,3035588928.0,458292641965.0,239015935339.0,71268.565,48041.494,42434.503833333336,22131.105104166665
2022-03-15,7527974.0,86400.0,100.0,4571143015.0,2829137074.0,874045069833.0,413883531522.0,122436.174,71244.883,80930.09904166666,38322.5491875
2022-02-12,7527972.0,86400.0,100.0,4024170422.0,2971793428.0,450319892185.0,231872641630.0,69678.883,46547.963,41696.28629166666,21469.689058333333
2022-02-08,7527974.0,86400.0,100.0,4215600378.0,2682564732.0,881152335781.0,421746444361.0,125852.478,73618.086,81588.17929166666,39050.59672083333
2022-03-07,7527973.0,86400.0,100.0,0.0,0.0,0.0,0.0,39451.579,122230.096,0.0,0.0
2022-03-12,7527973.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0,38510.715,111777.694,0.0,0.0
2022-02-18,7527975.0,86400.0,100.0,3439929302.0,2672933344.0,1024070457551.0,513715081869.0,136527.178,83068.867,94821.338625,47566.21129166667
2022-02-19,7527975.0,86400.0,100.0,3447308743.0,2660691253.0,1022306637441.0,507591422282.0,136756.29,82614.325,94658.02195833334,46999.20579166667
2022-02-19,7527974.0,86400.0,100.0,4438219548.0,2784346015.0,917651903295.0,432948550604.0,124736.603,74058.896,84967.76879166666,40087.82879166667
2022-03-10,7527974.0,82800.0,95.83333333333333,4496679675.0,2836968753.0,857410373009.0,414581543983.0,121789.078,72758.392,82841.582,40056.18780869565
2022-02-03,7527974.0,86400.0,100.0,4141086707.0,2631039162.0,881560867369.0,419457301994.0,1776714.842,72780.797,81626.00629166666,38838.63901666667
2022-03-01,7527972.0,86400.0,100.0,4077233938.0,2888281918.0,446488330287.0,225437617196.0,68469.218,45203.024,41341.51216666667,20873.853466666667
2022-02-13,7527975.0,86400.0,100.0,3310573689.0,2573018214.0,1004888642560.0,496168314173.0,137868.624,83101.234,93045.24466666667,45941.51058333334
2022-03-06,7527973.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,39048.424,116855.402,0.0,0.0
2022-02-06,7527972.0,86400.0,100.0,3850108329.0,2788620342.0,427856964467.0,217793690664.0,62819.426,41972.782,39616.385708333335,20166.082420833332
2022-02-19,7527972.0,86400.0,100.0,4121564831.0,2991788135.0,462987840980.0,235997496656.0,69105.77,46129.189,42869.24454166667,21851.620045833333
2022-03-02,7527972.0,86400.0,100.0,4046516270.0,2828657924.0,448076069382.0,222448484120.0,66197.262,44525.306,41488.525,20597.081804166668
2022-03-09,7527973.0,3600.0,4.166666666666667,0.0,0.0,0.0,0.0,35150.88,112172.829,0.0,0.0
2022-02-10,7527973.0,86400.0,100.0,0.0,0.0,0.0,0.0,40147.018,120667.338,0.0,0.0
2022-02-20,7527972.0,86400.0,100.0,3958658213.0,2856145611.0,444700097261.0,226015623964.0,66902.763,44996.342,41175.934875,20927.372629166668
2022-02-17,7527972.0,75600.0,87.5,3845564138.0,2875423668.0,426799734974.0,225092436099.0,68924.638,47398.712,45163.99314285714,23819.305414285715
2022-03-15,7527975.0,86400.0,100.0,3347413399.0,2567290388.0,950987195252.0,475431894639.0,127311.002,82879.52,88054.36995833334,44021.471666666665
2022-02-20,7527975.0,86400.0,100.0,3379136698.0,2600281215.0,1019741326396.0,497735222561.0,136152.701,81919.245,94420.49316666667,46086.59475
2022-03-01,7527974.0,86400.0,100.0,4543800325.0,2831881812.0,900124197167.0,423484042692.0,124204.955,73425.797,83344.83308333333,39211.485454166665
2022-02-12,7527975.0,86400.0,100.0,3371448520.0,2659487592.0,1019983990792.0,513939950808.0,136406.797,83208.715,94442.962125,47587.032458333335
2022-03-09,7527972.0,3600.0,4.166666666666667,162363032.0,101195163.0,20239024817.0,8424119334.0,54793.771,25365.202,44975.611,18720.265
2022-02-04,7527972.0,86400.0,100.0,3811185560.0,2816268680.0,423513497600.0,219799107172.0,65125.592,43541.675,39214.21270833333,20351.769254166666
2022-03-11,7527974.0,86400.0,100.0,4583107385.0,2895327351.0,883055380664.0,424633429711.0,122792.458,74569.499,81764.387,39317.91014583333
2022-03-03,7527974.0,86400.0,100.0,4571291245.0,2842856232.0,881834269875.0,413570414677.0,122422.307,73538.99,81651.32141666667,38293.5569125
2022-02-04,7527973.0,86400.0,100.0,0.0,0.0,0.0,0.0,40133.896,122451.389,0.0,0.0
2022-03-09,7527974.0,3600.0,4.166666666666667,174181140.0,101117323.0,37480328071.0,15406243302.0,110863.904,47117.211,83289.618,34236.096
2022-03-14,7527972.0,86400.0,100.0,4049995433.0,2864837602.0,436671687124.0,223502606318.0,65660.202,52377.222,40432.56366666667,20694.685775
2022-02-17,7527974.0,75600.0,87.5,4112933058.0,2657668392.0,849109238200.0,415445036941.0,123894.584,75417.942,89852.82957142858,43962.437738095236
2022-03-10,7527972.0,82800.0,95.83333333333333,4039073602.0,2891167606.0,439065624159.0,225060293492.0,66471.181,44200.344,42421.79943478261,21744.95597391304
2022-02-08,7527975.0,86400.0,100.0,3305361072.0,2585093893.0,988234421618.0,493495426596.0,132299.275,81991.886,91503.18708333334,45694.02104166667
2022-03-10,7527973.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,40088.178,115645.997,0.0,0.0
2022-02-03,7527972.0,86400.0,100.0,3716045274.0,2718097711.0,416025594415.0,212775613988.0,62866.333,41735.398,38520.888375,19701.4457375
2022-02-06,7527974.0,86400.0,100.0,4201850114.0,2622345437.0,872633590852.0,404898513346.0,122409.477,70035.958,80799.40654166667,37490.60306666667
