begintime,sk_object,1593835620,1593835628,1593835629,1593835637,1593835638,1593835639,1593835640,1593835647,1593835648,1593835649,1593835650,1593835651,1593835801,1593835802,1593835804,1593835805,duration
2022-03-01 00:00:00,629924.0,,1.9771016,0.0,,,,,32764.0,32763.0,32766.0,,,,,,,PT3600S
2022-03-01 00:00:00,635174.0,,1.006092,0.0,,,,,29988.0,29988.0,29999.0,,,,,,,PT3600S
2022-03-01 00:00:00,642457.0,,0.76190001,0.0,,,,,29758.0,29758.0,29758.0,,,,,,,PT3600S
2022-03-01 00:00:00,644294.0,,0.30407417,0.0,,,,,29835.0,29835.0,29835.0,,,,,,,PT3600S
2022-03-01 00:00:00,644920.0,,0.95390618,0.0,,,,,33214.0,33214.0,33214.0,,,,,,,PT3600S
2022-03-01 00:00:00,645834.0,,1.5936723,0.0,,,,,34178.0,34178.0,34185.0,,,,,,,PT3600S
2022-03-01 00:00:00,645985.0,,1.8571752,0.0,,,,,30820.0,30817.0,30826.0,,,,,,,PT3600S
2022-03-01 00:00:00,646452.0,,3.2441196,0.0,,,,,32234.0,32232.0,32231.0,,,,,,,PT3600S
2022-03-01 00:00:00,647126.0,,1.2423303,0.0,,,,,33162.0,33162.0,33159.0,,,,,,,PT3600S
2022-03-01 00:00:00,648789.0,,0.53681254,0.0,,,,,29577.0,29577.0,29587.0,,,,,,,PT3600S
2022-03-01 00:00:00,648928.0,,0.50797749,0.0,,,,,31397.0,31384.0,31385.0,,,,,,,PT3600S
2022-03-01 00:00:00,649104.0,,0.23690945,0.0,,,,,32507.0,32507.0,32506.0,,,,,,,PT3600S
2022-03-01 00:00:00,649238.0,,0.3136636,0.0,,,,,31684.0,31684.0,31665.0,,,,,,,PT3600S
2022-03-01 00:00:00,650485.0,,0.41569304,0.0,,,,,33209.0,33209.0,33169.0,,,,,,,PT3600S
2022-03-01 00:00:00,651165.0,,1.156989,0.0,,,,,32729.0,32729.0,32729.0,,,,,,,PT3600S
2022-03-01 00:00:00,652188.0,,0.61531442,0.0,,,,,32365.0,32362.0,32364.0,,,,,,,PT3600S
2022-03-01 00:00:00,652359.0,,0.27500832,0.0,,,,,31874.0,31874.0,31884.0,,,,,,,PT3600S
2022-03-01 00:00:00,652388.0,,0.82190585,0.0,,,,,31925.0,31925.0,31928.0,,,,,,,PT3600S
2022-03-01 00:00:00,652636.0,,0.40147084,0.0,,,,,32813.0,32813.0,32825.0,,,,,,,PT3600S
2022-03-01 00:00:00,653027.0,,0.29961777,0.0,,,,,32137.0,32137.0,32137.0,,,,,,,PT3600S
2022-03-01 00:00:00,653921.0,,0.77827251,0.0,,,,,32003.0,32003.0,32003.0,,,,,,,PT3600S
2022-03-01 00:00:00,653997.0,,1.9032114,0.0,,,,,32135.0,32135.0,32129.0,,,,,,,PT3600S
2022-03-01 00:00:00,654026.0,,0.98951411,0.0,,,,,31375.0,31375.0,31388.0,,,,,,,PT3600S
2022-03-01 00:00:00,654147.0,,2.4377007,0.0,,,,,32733.0,32733.0,32733.0,,,,,,,PT3600S
2022-03-01 00:00:00,654366.0,,0.31918278,0.0,,,,,30756.0,30751.0,30751.0,,,,,,,PT3600S
2022-03-01 00:00:00,882206.0,,1.5640378,0.0,,,,,33736.0,33729.0,33729.0,,,,,,,PT3600S
2022-03-01 00:00:00,882207.0,,0.2611903,0.0,,,,,31526.0,31526.0,31526.0,,,,,,,PT3600S
2022-03-01 00:00:00,882208.0,,0.22522083,0.0,,,,,32223.0,32223.0,32219.0,,,,,,,PT3600S
2022-03-01 00:00:00,882209.0,,2.4156342,0.0,,,,,32571.0,32569.0,32568.0,,,,,,,PT3600S
2022-03-01 00:00:00,882210.0,,0.95573664,0.0,,,,,32253.0,32251.0,32252.0,,,,,,,PT3600S
2022-03-01 00:00:00,882211.0,,0.81955194,0.0,,,,,32759.0,32759.0,32761.0,,,,,,,PT3600S
2022-03-01 00:00:00,882212.0,,1.6244161,0.0,,,,,32434.0,32431.0,32432.0,,,,,,,PT3600S
2022-03-01 00:00:00,882213.0,,1.8321712,0.0,,,,,32902.0,32902.0,32902.0,,,,,,,PT3600S
