begintime,sk_object,duration,integrity,1526727188,1526727189,1526728767,1526728768,1526745702,1526745703,1526746693,1526746694,1526756899
2022-03-11,812172.0,86400.0,100.0,0.0,0.0,0.0,0.0,391657.0,78277.0,0.0,0.0,0.0
2022-02-12,811910.0,86400.0,100.0,0.0,0.0,0.0,0.0,5652.0,1840.0,0.0,0.0,0.0
2022-02-04,811977.0,79200.0,91.66666666666667,1.0,1.0,0.0,0.0,1125019.0,179924.0,0.0,0.0,0.0
2022-03-06,811645.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,115124.0,51459.0,0.0,0.0,0.0
2022-03-13,811585.0,75600.0,87.5,0.0,0.0,0.0,0.0,32613.0,14552.0,0.0,0.0,0.0
2022-02-18,812113.0,86400.0,100.0,0.0,0.0,0.0,0.0,587086.0,104289.0,0.0,0.0,0.0
2022-02-18,817716.0,86400.0,100.0,0.0,0.0,0.0,0.0,175362.0,37353.0,0.0,0.0,0.0
2022-03-03,812165.0,86400.0,100.0,0.0,0.0,0.0,0.0,682851.0,124418.0,0.0,0.0,0.0
2022-03-07,811962.0,86400.0,100.0,0.0,0.0,0.0,0.0,613926.0,234230.0,0.0,0.0,0.0
2022-03-15,811934.0,86400.0,100.0,0.0,0.0,0.0,0.0,793595.0,172760.0,0.0,0.0,0.0
2022-02-08,811658.0,86400.0,100.0,0.0,0.0,0.0,0.0,1378491.0,238421.0,0.0,0.0,0.0
2022-02-05,811568.0,86400.0,100.0,1.0,1.0,0.0,20.0,649197.0,248377.0,0.0,0.0,0.0
2022-02-11,811585.0,86400.0,100.0,0.0,0.0,0.0,0.0,38190.0,17097.0,0.0,0.0,0.0
2022-02-11,811920.0,86400.0,100.0,0.0,0.0,0.0,0.0,397683.0,100119.0,0.0,0.0,0.0
2022-02-17,811569.0,75600.0,87.5,0.0,0.0,0.0,0.0,203042.0,37573.0,0.0,0.0,0.0
2022-03-03,811573.0,86400.0,100.0,0.0,0.0,0.0,0.0,832800.0,149394.0,0.0,0.0,0.0
2022-03-15,811752.0,86400.0,100.0,0.0,0.0,0.0,0.0,540349.0,88394.0,0.0,0.0,0.0
2022-02-18,817740.0,86400.0,100.0,0.0,0.0,0.0,0.0,1070084.0,191066.0,0.0,0.0,0.0
2022-03-14,812165.0,86400.0,100.0,0.0,0.0,0.0,0.0,623749.0,112640.0,0.0,0.0,0.0
2022-03-03,812113.0,86400.0,100.0,1.0,1.0,0.0,0.0,591134.0,108203.0,0.0,0.0,0.0
2022-02-12,812005.0,86400.0,100.0,0.0,0.0,0.0,0.0,1132107.0,227461.0,0.0,0.0,0.0
2022-02-10,811570.0,86400.0,100.0,0.0,0.0,0.0,0.0,544573.0,85703.0,0.0,0.0,0.0
