begintime,sk_object,duration,integrity,M51371C0,M51371C1,M51371C2,M51371C3,M51371C6,M51371C7,M51371C8,M51371C9,M51371C12,M51371C13,M51371C14,M51371C15,M51371C18,M51371C19,M51371C20,M51371C21,M51371C24,M51371C25,M51371C26,M51371C27,M51371C30,M51371C31,M51371C32,M51371C33,M51371C36,M51371C37,M51371C38,M51371C39,M51371C42,M51371C43,M51371C44,M51371C45
2022-03-17,373.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,374.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
