begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,PDCP_SDU_VOL_DL,L.Thrp.bits.DL
2022-03-01,"4G_LOKKOHTOWN/Cell:eNodeB Function Name=4G_LOKKOHTOWN,Local Cell ID=8,Cell Name=4G_LOKKOHTOWN-8,eNodeB ID=5022,Cell FDD TDD indication=CELL_FDD",808903.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,682224852264.0
2022-03-02,"4G_LOKKOHTOWN/Cell:eNodeB Function Name=4G_LOKKOHTOWN,Local Cell ID=8,Cell Name=4G_LOKKOHTOWN-8,eNodeB ID=5022,Cell FDD TDD indication=CELL_FDD",808903.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,649679454984.0
2022-03-03,"4G_LOKKOHTOWN/Cell:eNodeB Function Name=4G_LOKKOHTOWN,Local Cell ID=8,Cell Name=4G_LOKKOHTOWN-8,eNodeB ID=5022,Cell FDD TDD indication=CELL_FDD",808903.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,745986808168.0
2022-03-06,"4G_LOKKOHTOWN/Cell:eNodeB Function Name=4G_LOKKOHTOWN,Local Cell ID=8,Cell Name=4G_LOKKOHTOWN-8,eNodeB ID=5022,Cell FDD TDD indication=CELL_FDD",808903.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,91.66666666666667,0,433160137712.0
2022-03-07,"4G_LOKKOHTOWN/Cell:eNodeB Function Name=4G_LOKKOHTOWN,Local Cell ID=8,Cell Name=4G_LOKKOHTOWN-8,eNodeB ID=5022,Cell FDD TDD indication=CELL_FDD",808903.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,613154241248.0
2022-03-09,"4G_LOKKOHTOWN/Cell:eNodeB Function Name=4G_LOKKOHTOWN,Local Cell ID=8,Cell Name=4G_LOKKOHTOWN-8,eNodeB ID=5022,Cell FDD TDD indication=CELL_FDD",808903.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,4.166666666666667,0,38517857032.0
2022-03-10,"4G_LOKKOHTOWN/Cell:eNodeB Function Name=4G_LOKKOHTOWN,Local Cell ID=8,Cell Name=4G_LOKKOHTOWN-8,eNodeB ID=5022,Cell FDD TDD indication=CELL_FDD",808903.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,0,537120156208.0
2022-03-11,"4G_LOKKOHTOWN/Cell:eNodeB Function Name=4G_LOKKOHTOWN,Local Cell ID=8,Cell Name=4G_LOKKOHTOWN-8,eNodeB ID=5022,Cell FDD TDD indication=CELL_FDD",808903.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,0,366742372480.0
2022-03-12,"4G_LOKKOHTOWN/Cell:eNodeB Function Name=4G_LOKKOHTOWN,Local Cell ID=8,Cell Name=4G_LOKKOHTOWN-8,eNodeB ID=5022,Cell FDD TDD indication=CELL_FDD",808903.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,54.166666666666664,0,314940776600.0
2022-03-13,"4G_LOKKOHTOWN/Cell:eNodeB Function Name=4G_LOKKOHTOWN,Local Cell ID=8,Cell Name=4G_LOKKOHTOWN-8,eNodeB ID=5022,Cell FDD TDD indication=CELL_FDD",808903.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,83.33333333333333,0,494793778960.0
