begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.Thrp.bits.DL
2022-02-02,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,572582695456.0
2022-02-03,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,627588220368.0
2022-02-04,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,676309493568.0
2022-02-05,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,655489023776.0
2022-02-06,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,683212514576.0
2022-02-08,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,633778005288.0
2022-02-10,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,607270639688.0
2022-02-11,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,421461003968.0
2022-02-12,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,549331557000.0
2022-02-13,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,91.66666666666667,452341684376.0
2022-02-17,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,552708342048.0
2022-02-18,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,726445745688.0
2022-02-19,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,653002456792.0
2022-02-20,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,782080098392.0
2022-03-01,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,698320487688.0
2022-03-02,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,895708482960.0
2022-03-03,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,906653737936.0
2022-03-06,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,83.33333333333333,485732287800.0
2022-03-07,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,525354647416.0
2022-03-09,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,4.166666666666667,53379640568.0
2022-03-10,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,631897287120.0
2022-03-11,Cell Name=4G_MALAMA_II-7,808961.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,600575866656.0
