begintime,ne_name,integrity,VS.E1T1.ES.ES,VS.E1T1.ES.SES,VS.E1T1.ES.UAS,VS.E1T1.ES.BBE,VS.E1T1.ES.TES,VS.E1T1.ES.TSES,VS.E1T1.ES.TBBE,VS.E1T1.ES.ESR,VS.E1T1.ES.SESR,VS.E1T1.ES.UASR,VS.E1T1.ES.BBER,VS.E1T1.ES.TESR,VS.E1T1.ES.TSESR,VS.E1T1.ES.TBBER,VS.E1T1.ES.NUV,id,tickets_integration,alarms_integration,comments_integration,inos_integration
2022-02-03,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,False,False,False,False
2022-02-03,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,False,False,False,False
2022-02-04,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,False,False,False
2022-02-04,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,False,False,False
2022-02-05,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,False,False,False,False
2022-02-05,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,False,False,False,False
2022-02-06,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,False,False,False,False
2022-02-06,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,False,False,False,False
2022-02-08,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,False,False,False,False
2022-02-08,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,False,False,False,False
