begintime,sk_object,duration,M8049C0,M8049C1,M8049C2,M8049C3
2022-03-11 00:45:00,21833.0,15,7.0,6068.0,658.0,6319.0
2022-03-11 00:45:00,21834.0,15,194.0,52636.0,8528.0,61165.0
2022-03-11 00:45:00,21835.0,15,117.0,46042.0,7412.0,51731.0
2022-03-11 00:45:00,21836.0,15,50.0,21447.0,10783.0,22193.0
2022-03-11 00:45:00,21837.0,15,53.0,16979.0,2317.0,18599.0
2022-03-11 00:45:00,21838.0,15,29.0,16429.0,4372.0,16719.0
2022-03-11 01:00:00,21820.0,15,66.0,34617.0,8802.0,36536.0
2022-03-11 01:00:00,21821.0,15,21.0,26080.0,959.0,26474.0
2022-03-11 01:00:00,21822.0,15,36.0,15280.0,1664.0,16398.0
2022-03-11 01:00:00,21823.0,15,193.0,41982.0,17228.0,50130.0
2022-03-11 01:00:00,21824.0,15,276.0,35507.0,21901.0,54546.0
2022-03-11 01:00:00,21825.0,15,121.0,45766.0,11913.0,47884.0
2022-03-11 01:00:00,21826.0,15,207.0,35313.0,8838.0,42288.0
2022-03-11 01:00:00,21827.0,15,166.0,37653.0,20411.0,52859.0
2022-03-11 01:00:00,21828.0,15,81.0,35629.0,3142.0,37260.0
2022-03-11 01:00:00,21829.0,15,111.0,35287.0,3190.0,37041.0
2022-03-11 01:00:00,21830.0,15,16.0,13399.0,2355.0,13731.0
2022-03-11 01:00:00,21831.0,15,161.0,33173.0,11824.0,42387.0
2022-03-11 01:00:00,21832.0,15,20.0,26153.0,11300.0,28070.0
2022-03-11 01:00:00,21833.0,15,7.0,15791.0,1595.0,16108.0
2022-03-11 01:00:00,21834.0,15,179.0,48073.0,9002.0,50885.0
2022-03-11 01:00:00,21835.0,15,112.0,43038.0,4711.0,44322.0
2022-03-11 01:00:00,21836.0,15,44.0,21504.0,8275.0,25462.0
2022-03-11 01:00:00,21837.0,15,45.0,15244.0,2309.0,16001.0
2022-03-11 01:00:00,21838.0,15,24.0,16670.0,2069.0,17484.0
2022-03-11 01:15:00,21820.0,15,60.0,32688.0,3950.0,33801.0
2022-03-11 01:15:00,21821.0,15,20.0,30119.0,1867.0,30515.0
2022-03-11 01:15:00,21822.0,15,36.0,15984.0,7537.0,16880.0
2022-03-11 01:15:00,21823.0,15,187.0,43761.0,16187.0,53998.0
2022-03-11 01:15:00,21824.0,15,252.0,33712.0,16014.0,48676.0
2022-03-11 01:15:00,21825.0,15,114.0,42476.0,12150.0,50037.0
2022-03-11 01:15:00,21826.0,15,178.0,38461.0,17561.0,41648.0
2022-03-11 01:15:00,21827.0,15,136.0,39928.0,14478.0,43494.0
2022-03-11 01:15:00,21828.0,15,67.0,42193.0,2856.0,44318.0
2022-03-11 01:15:00,21829.0,15,90.0,30362.0,7301.0,31164.0
2022-03-11 01:15:00,21830.0,15,16.0,13745.0,4540.0,14244.0
2022-03-11 01:15:00,21831.0,15,149.0,35327.0,10797.0,42259.0
2022-03-11 01:15:00,21832.0,15,16.0,25756.0,1608.0,26465.0
2022-03-11 01:15:00,21833.0,15,6.0,9641.0,749.0,10174.0
2022-03-11 01:15:00,21834.0,15,170.0,49808.0,4069.0,52016.0
2022-03-11 01:15:00,21835.0,15,88.0,43351.0,3850.0,44645.0
2022-03-11 01:15:00,21836.0,15,36.0,22473.0,1238.0,22783.0
2022-03-11 01:15:00,21837.0,15,41.0,14255.0,1981.0,15105.0
2022-03-11 01:15:00,21838.0,15,22.0,15897.0,1973.0,16287.0
2022-03-11 01:30:00,21820.0,15,53.0,34226.0,2652.0,35327.0
2022-03-11 01:30:00,21821.0,15,25.0,43007.0,1181.0,44035.0
2022-03-11 01:30:00,21822.0,15,32.0,14873.0,7061.0,16295.0
2022-03-11 01:30:00,21823.0,15,164.0,42937.0,7939.0,48038.0
2022-03-11 01:30:00,21824.0,15,237.0,36083.0,10481.0,43037.0
2022-03-11 01:30:00,21825.0,15,107.0,41420.0,3857.0,43460.0
2022-03-11 01:30:00,21826.0,15,160.0,38596.0,10737.0,45308.0
2022-03-11 01:30:00,21827.0,15,129.0,37502.0,6511.0,41198.0
2022-03-11 01:30:00,21828.0,15,65.0,39923.0,16038.0,42078.0
2022-03-11 01:30:00,21829.0,15,82.0,26168.0,4431.0,26868.0
2022-03-11 01:30:00,21830.0,15,15.0,6454.0,1341.0,6919.0
2022-03-11 01:30:00,21831.0,15,136.0,34689.0,6136.0,37485.0
2022-03-11 01:30:00,21832.0,15,17.0,25643.0,5362.0,27330.0
2022-03-11 01:30:00,21833.0,15,8.0,7685.0,602.0,7975.0
2022-03-11 01:30:00,21834.0,15,161.0,47729.0,12553.0,49653.0
2022-03-11 01:30:00,21835.0,15,94.0,38581.0,2867.0,39597.0
2022-03-11 01:30:00,21836.0,15,36.0,21091.0,13497.0,22019.0
2022-03-11 01:30:00,21837.0,15,36.0,14024.0,15409.0,27767.0
2022-03-11 01:30:00,21838.0,15,21.0,14925.0,1463.0,15635.0
2022-03-11 01:45:00,21820.0,15,45.0,31095.0,17086.0,38645.0
2022-03-11 01:45:00,21821.0,15,21.0,33743.0,822.0,34442.0
2022-03-11 01:45:00,21822.0,15,29.0,14916.0,2127.0,15644.0
2022-03-11 01:45:00,21823.0,15,155.0,43225.0,11495.0,47657.0
2022-03-11 01:45:00,21824.0,15,234.0,39919.0,12016.0,45256.0
2022-03-11 01:45:00,21825.0,15,105.0,45285.0,3718.0,46304.0
2022-03-11 01:45:00,21826.0,15,147.0,38317.0,7763.0,41969.0
2022-03-11 01:45:00,21827.0,15,130.0,37736.0,5713.0,40124.0
2022-03-11 01:45:00,21828.0,15,57.0,33717.0,2103.0,34829.0
2022-03-11 01:45:00,21829.0,15,81.0,33420.0,6106.0,35486.0
2022-03-11 01:45:00,21830.0,15,12.0,7214.0,6077.0,7394.0
2022-03-11 01:45:00,21831.0,15,127.0,32956.0,2737.0,34076.0
2022-03-11 01:45:00,21832.0,15,18.0,26325.0,1854.0,26812.0
2022-03-11 01:45:00,21833.0,15,6.0,8462.0,613.0,8625.0
