begintime,sk_object,duration,integrity,1542455326,1542455327,1542455328,1542455329,1542455330,1542455331,1542455332,1542455333,1542460727,1542460728,1542460729
2022-02-12,879926.0,86400.0,100.0,92168318.0,8510499319.0,64410.0,5011120.0,105627259.0,45450485983.0,0.0,0.0,,,
2022-03-14,879798.0,86400.0,100.0,32781282.0,2723561111.0,64205.0,4995732.0,54464020.0,19397432308.0,0.0,0.0,,,
2022-02-05,879934.0,86400.0,100.0,331619487.0,33246147244.0,66602.0,5182248.0,400338619.0,154581219992.0,0.0,0.0,,,
2022-03-13,879775.0,75600.0,87.5,240094449.0,22207866471.0,0.0,0.0,308737627.0,139195663280.0,0.0,0.0,,,
2022-03-06,879855.0,79200.0,91.66666666666667,754866638.0,75166271149.0,61150.0,4757220.0,794455164.0,319093758919.0,0.0,0.0,,,
2022-03-07,879882.0,86400.0,100.0,67768378.0,5761568972.0,65898.0,5127308.0,74134809.0,29925150855.0,0.0,0.0,,,
2022-02-10,879780.0,86400.0,100.0,561301463.0,50774479203.0,66779.0,5196086.0,563237878.0,219338859530.0,0.0,0.0,,,
2022-02-18,879915.0,86400.0,100.0,1077066856.0,98869679742.0,66731.0,5191786.0,1004846175.0,386838598252.0,0.0,0.0,,,
2022-03-10,879816.0,82800.0,95.83333333333333,92578768.0,7513284533.0,73050.0,5677894.0,82470523.0,31663596260.0,0.0,0.0,,,
2022-03-14,879877.0,79200.0,91.66666666666667,585527640.0,54635119088.0,60389.0,4697298.0,566160419.0,252116042911.0,0.0,0.0,,,
2022-03-07,879900.0,86400.0,100.0,84221528.0,7670819427.0,65016.0,5058680.0,88655876.0,34078820888.0,0.0,0.0,,,
2022-02-04,879816.0,86400.0,100.0,75482909.0,6023745720.0,65758.0,5116200.0,72252618.0,28002311731.0,0.0,0.0,,,
2022-03-12,879823.0,68400.0,79.16666666666667,238537234.0,119046785656.0,50352.0,3917484.0,1572874960.0,690725477077.0,0.0,0.0,,,
2022-02-05,879791.0,86400.0,100.0,88657353.0,7011330880.0,65428.0,5090950.0,77815790.0,32604992806.0,0.0,0.0,,,
2022-03-10,879940.0,82800.0,95.83333333333333,302031226.0,27574030121.0,0.0,0.0,358168175.0,149845221486.0,0.0,0.0,,,
2022-03-15,879888.0,86400.0,100.0,110852488.0,12848657516.0,0.0,0.0,156179839.0,89634044328.0,0.0,0.0,,,
2022-02-12,879932.0,86400.0,100.0,163250779.0,15555356237.0,0.0,0.0,231208594.0,116581839392.0,0.0,0.0,,,
2022-03-11,879940.0,86400.0,100.0,313584210.0,29093639718.0,0.0,0.0,390014817.0,172478500277.0,0.0,0.0,,,
2022-02-03,879953.0,86400.0,100.0,437361734.0,38478412307.0,0.0,0.0,406462314.0,204868975516.0,0.0,0.0,,,
2022-02-20,879954.0,86400.0,100.0,170916086.0,19889341979.0,66748.0,5192640.0,230056060.0,89396779249.0,0.0,0.0,,,
2022-03-07,879826.0,86400.0,100.0,1656463428.0,145696139348.0,61334.0,4771940.0,1416964900.0,609672459370.0,0.0,0.0,,,
2022-02-12,879974.0,86400.0,100.0,194368461.0,19690058889.0,66569.0,5179286.0,241356378.0,102052198480.0,0.0,0.0,,,
2022-02-19,879935.0,86400.0,100.0,946603238.0,86621701739.0,66893.0,5204654.0,940920954.0,402811418329.0,0.0,0.0,,,
2022-03-15,879911.0,86400.0,100.0,344667487.0,32658504680.0,0.0,0.0,434613111.0,204664401247.0,0.0,0.0,,,
2022-03-10,879884.0,82800.0,95.83333333333333,137674599.0,11791943852.0,64123.0,4989080.0,127786716.0,49091009783.0,0.0,0.0,,,
2022-02-06,879975.0,86400.0,100.0,463046357.0,41927559894.0,0.0,0.0,404371412.0,189601215181.0,0.0,0.0,,,
2022-03-03,879954.0,86400.0,100.0,167203839.0,15064906819.0,66773.0,5195146.0,223522750.0,85022138987.0,0.0,0.0,,,
2022-03-11,879892.0,86400.0,100.0,229776167.0,21024245980.0,66901.0,5205110.0,318373618.0,134428458770.0,0.0,0.0,,,
2022-03-12,879785.0,68400.0,79.16666666666667,37105035.0,3636007535.0,47828.0,3722280.0,73406269.0,26184685379.0,0.0,0.0,,,
2022-02-18,879974.0,86400.0,100.0,186684338.0,18609398774.0,66743.0,5193298.0,235264560.0,98255494508.0,0.0,0.0,,,
2022-03-03,879899.0,86400.0,100.0,1689144431.0,161419759395.0,66511.0,5174784.0,1665666276.0,761135107634.0,0.0,0.0,,,
2022-03-02,879905.0,86400.0,100.0,197559184.0,18217967477.0,58628.0,4562360.0,296753089.0,103900657324.0,0.0,0.0,,,
2022-02-12,879851.0,86400.0,100.0,270445253.0,24233262076.0,61352.0,4773150.0,251412842.0,111885924429.0,0.0,0.0,,,
