NE Name,fdn,BEAR,FLAG,MOIndex,className,name,neID,IP,MASK
3G_ADONKIA,"NE=1023,OMCH=MASTER",IPV4,MASTER,779_MASTER,BTS3900OMCH,"Standby Status=MASTER, Bearer Type=IPV4",779,,
3G_ALKALIA,"NE=1346,OMCH=MASTER",IPV4,MASTER,1102_MASTER,BTS3900OMCH,"Standby Status=MASTER, Bearer Type=IPV4",1102,10.18.20.38,255.255.255.248
3G_ALLENTOWN,"NE=986,OMCH=MASTER",IPV4,MASTER,742_MASTER,BTS3900OMCH,"Standby Status=MASTER, Bearer Type=IPV4",742,,
3G_ABERDEEN,"NE=339,OMCH=MASTER",IPV4,MASTER,85_MASTER,BTS3900OMCH,"Standby Status=MASTER, Bearer Type=IPV4",85,,
3G_ADAMSTREET,"NE=1071,OMCH=MASTER",IPV4,MASTER,827_MASTER,BTS3900OMCH,"Standby Status=MASTER, Bearer Type=IPV4",827,10.18.17.141,255.255.255.248
3G_ADDAX,"NE=885,OMCH=MASTER",IPV4,MASTER,641_MASTER,BTS3900OMCH,"Standby Status=MASTER, Bearer Type=IPV4",641,,
