begintime,duration,object,20001349,20001350,20001351,20001352,20001353,20001354,20001355,20001356,20001357,20001358,20001359,20001360,20001361,20001362,20001363,20001364,20001365,20001366,20001367,20001368,20001369
2021-09-26 21:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3",1822.0,0.0,,,900.0,,,,,,,,,,,,,,,385393.0,
2021-09-26 20:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1",4689.0,0.0,,,900.0,,,,,,,,,,,,,,,775406.0,
2021-09-26 20:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3",0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.0,
2021-09-26 21:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1",3460.0,0.0,,,900.0,,,,,,,,,,,,,,,749877.0,
2021-09-26 21:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3",0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.0,
2021-09-26 20:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1",4760.0,0.0,,,900.0,,,,,,,,,,,,,,,426914.0,
2021-09-26 20:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3",2462.0,0.0,,,900.0,,,,,,,,,,,,,,,394957.0,
2021-09-26 20:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1",4875.0,0.0,,,900.0,,,,,,,,,,,,,,,773109.0,
2021-09-26 20:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3",0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.0,
2021-09-26 21:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1",3923.0,0.0,,,900.0,,,,,,,,,,,,,,,432225.0,
