begintime,ne_name,ne_type,vendor,integrity,btsDacWordValue,id
2022-03-11,"MRBTS-5023,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1956.0,1
2022-03-11,"MRBTS-5044,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1920.0,2
2022-03-11,"MRBTS-5045,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1897.0,3
2022-03-11,"MRBTS-5050,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1964.0,4
2022-03-11,"MRBTS-5062,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,2012.0,5
2022-03-11,"MRBTS-5078,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1936.0,6
2022-03-11,"MRBTS-5079,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1903.0,7
2022-03-11,"MRBTS-5080,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1808.0,8
2022-03-11,"MRBTS-5081,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1875.0,9
2022-03-11,"MRBTS-5082,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1935.0,10
2022-03-11,"MRBTS-5083,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1944.0,11
2022-03-11,"MRBTS-5084,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,2019.0,12
2022-03-11,"MRBTS-5085,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1946.0,13
2022-03-11,"MRBTS-5086,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1922.0,14
2022-03-11,"MRBTS-5089,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1552.0,15
2022-03-11,"MRBTS-5090,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,2002.0,16
2022-03-11,"MRBTS-5091,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1952.0,17
2022-03-11,"MRBTS-5102,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1924.0,18
2022-03-11,"MRBTS-5200,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,45.45,"1931.0,1938.0",19
2022-03-12,"MRBTS-5023,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1966.0,20
2022-03-12,"MRBTS-5044,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1922.0,21
2022-03-12,"MRBTS-5045,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1892.0,22
2022-03-12,"MRBTS-5050,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,97.36,1956.0,23
2022-03-12,"MRBTS-5062,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,2007.0,24
2022-03-12,"MRBTS-5078,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1936.0,25
2022-03-12,"MRBTS-5079,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1903.0,26
2022-03-12,"MRBTS-5080,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1818.0,27
2022-03-12,"MRBTS-5081,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1875.0,28
2022-03-12,"MRBTS-5082,EQM-1,APEQM-1,CABINET-1,SMOD-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD,Nokia,100.0,1935.0,29
