begintime,sk_object,duration,M8013C80,M8013C81,M8013C5,M8013C6,M8013C10,M8013C11,M8013C7,M8013C9,M8013C0,M8013C1,M8013C2,M8013C3,M8013C4,M8013C12,M8013C13,M8013C15,M8013C16,M8013C17,M8013C18,M8013C19,M8013C21,M8013C24,M8013C25,M8013C26,M8013C27,M8013C28,M8013C29,M8013C30,M8013C31,M8013C32,M8013C33,M8013C34,M8013C35,M8013C36,M8013C37,M8013C38,M8013C39,M8013C40,M8013C41,M8013C42,M8013C43,M8013C44,M8013C45,M8013C46,M8013C47,M8013C48,M8013C49,M8013C50,M8013C51,M8013C52,M8013C53,M8013C54,M8013C55,M8013C56,M8013C57,M8013C58,M8013C60,M8013C69,M8013C61,M8013C62,M8013C63,M8013C64,M8013C65,M8013C66,M8013C67,M8013C68,M8013C70,M8013C71,M8013C72,M8013C73,M8013C74,M8013C75,M8013C76,M8013C77,M8013C78,M8013C79,M8013C82,M8013C83,M8013C84,M8013C85,M8013C86,M8013C87,M8013C88,M8013C89,M8013C90,M8013C91,M8013C92,M8013C93,M8013C94,M8013C95,M8013C96,M8013C97,M8013C99,M8013C100,M8013C101,M8013C102,M8013C103,M8013C104,M8013C105,M8013C106,M8013C107,M8013C108,M8013C109,M8013C110,M8013C111,M8013C112,M8013C113,M8013C114,M8013C115,M8013C116,M8013C117,M8013C118,M8013C119,M8013C121,M8013C122,M8013C123,M8013C124
2022-03-11 21:47:00,872.0,13,0.0,0.0,2634.0,8.0,16.0,0.0,0.0,1057.0,0.0,0.0,3.0,0.0,0.0,1.0,1489.0,5.0,0.0,1058.0,752.0,831.0,0.0,23690890.0,42975537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.0,829.0,752.0,0.0,0.0,0.0,0.0,0.0,2634.0,2632.0,1707.0,44.0,1700.0,44.0,7.0,75.0,75.0,75.0,75.0,1494.0,1362.0,1.0,0.0,0.0,0.0,0.0,0.0,1397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,0.0,0.0,0.0,0.0,1058.0,752.0,835.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,1.0,78.0,0.0,26.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2022-03-11 21:47:00,875.0,13,0.0,0.0,1184.0,4.0,2.0,0.0,0.0,593.0,0.0,0.0,3.0,0.0,0.0,1.0,549.0,1.0,0.0,419.0,277.0,493.0,0.0,9620026.0,17723723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,491.0,277.0,0.0,0.0,0.0,0.0,0.0,1184.0,1182.0,824.0,11.0,820.0,11.0,4.0,26.0,26.0,26.0,26.0,550.0,509.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,422.0,277.0,493.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,1.0,74.0,0.0,16.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-03-11 21:47:00,883.0,13,0.0,0.0,2037.0,23.0,13.0,0.0,0.0,798.0,0.0,0.0,7.0,1.0,0.0,3.0,976.0,1.0,0.0,782.0,614.0,664.0,0.0,6428740.0,14752069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0,658.0,614.0,0.0,0.0,0.0,0.0,0.0,2037.0,2035.0,1349.0,36.0,1336.0,35.0,11.0,30.0,29.0,30.0,29.0,977.0,836.0,0.0,0.0,0.0,0.0,0.0,0.0,1081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,76.0,0.0,0.0,0.0,0.0,783.0,614.0,666.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,3.0,187.0,2.0,43.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0
2022-03-11 21:47:00,885.0,13,0.0,0.0,5097.0,16.0,27.0,0.0,0.0,1790.0,0.0,0.0,12.0,0.0,0.0,1.0,3215.0,9.0,0.0,1741.0,1660.0,1712.0,0.0,62448473.0,90622340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1727.0,1710.0,1660.0,0.0,0.0,0.0,0.0,0.0,5097.0,5095.0,3579.0,81.0,3564.0,81.0,15.0,111.0,111.0,111.0,111.0,3224.0,3014.0,3.0,0.0,0.0,0.0,0.0,0.0,3002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,9.0,0.0,0.0,0.0,0.0,1741.0,1662.0,1715.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,1.0,98.0,0.0,40.0,0.0,2.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2022-03-11 21:47:00,890.0,13,0.0,0.0,988.0,8.0,3.0,0.0,0.0,171.0,0.0,0.0,1.0,0.0,0.0,4.0,810.0,1.0,0.0,156.0,394.0,446.0,0.0,20373021.0,30363951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,445.0,393.0,0.0,0.0,0.0,0.0,0.0,988.0,987.0,856.0,6.0,854.0,6.0,2.0,14.0,14.0,14.0,14.0,811.0,783.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,0.0,0.0,0.0,158.0,394.0,446.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,4.0,13.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-03-11 21:47:00,895.0,13,0.0,0.0,458.0,1.0,0.0,0.0,0.0,141.0,0.0,0.0,1.0,0.0,0.0,1.0,316.0,0.0,0.0,122.0,159.0,178.0,0.0,8276605.0,11471839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,178.0,159.0,0.0,0.0,0.0,0.0,0.0,458.0,458.0,355.0,11.0,353.0,11.0,2.0,21.0,21.0,21.0,21.0,316.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,122.0,159.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,16.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
2022-03-12 05:55:00,873.0,5,0.0,0.0,34.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,14.0,6.0,14.0,0.0,244955.0,864013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,14.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 05:55:00,876.0,5,0.0,0.0,101.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,24.0,23.0,54.0,0.0,166137.0,1426214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,54.0,23.0,0.0,0.0,0.0,0.0,0.0,98.0,96.0,74.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,2.0,0.0,24.0,23.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 05:55:00,884.0,5,0.0,0.0,1096.0,0.0,4.0,0.0,0.0,425.0,0.0,0.0,1.0,0.0,0.0,0.0,600.0,3.0,0.0,435.0,209.0,452.0,0.0,2659469.0,14504399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,452.0,209.0,0.0,0.0,0.0,0.0,0.0,1063.0,1019.0,606.0,3.0,605.0,3.0,1.0,2.0,2.0,2.0,2.0,603.0,593.0,0.0,0.0,0.0,3.0,0.0,0.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,2.0,0.0,0.0,44.0,0.0,435.0,209.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 05:55:00,886.0,5,0.0,0.0,666.0,0.0,1.0,0.0,0.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,0.0,0.0,362.0,138.0,166.0,0.0,2869261.0,4992597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,166.0,138.0,0.0,0.0,0.0,0.0,0.0,651.0,638.0,293.0,2.0,293.0,2.0,0.0,1.0,1.0,1.0,1.0,296.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,1.0,0.0,0.0,15.0,0.0,362.0,138.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
