measObjLdn,duration,begin_time,20007672.0,20007673.0
"ManagedElement=LTESite1234,Equipment=1,FieldReplaceableUnit=0900-1-RRUW-1,EnergyMeter=1",900.0,2024-05-02 06:00:00,"112,101,104,100,132,106,104,98,111,145,98,102,105,100,104,101,105,116,99,105,98,108,109,102,121,121,105,112,118,104,122,117,108,105,131,118,117,101,103,109,104,126,151,115,115,109,104,101,117,142,111,101,100,99,113,126,120,113,140,122,101,114,105,100,97,99,106,100,97,105,101,97,101,101,97,99,106,101,109,175,112,111,108,111,131,119,129,106,100,99,106,100,119,101,106,100,100,115,125,105,104,107,98,102,98,120,120,103,101,105,96,104,133,113,101,99,102,102,101,101,104,123,122,120,101,106,122,107,122,100,108,110,121,117,110,124,105,103,108,103,110,139,128,126,123,137,134,128,135,127","54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,55,54,54,54,54,55,54,54,54,54,55,54,54,54,54,54,55,54,55,54,54,54,55,55,55,55,55,55,55,54,55,55,55,55,55,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54"
"ManagedElement=LTESite1234,Equipment=1,FieldReplaceableUnit=0900-2-RRUW-1,EnergyMeter=1",900.0,2024-05-02 06:00:00,"126,122,107,120,113,118,131,118,120,138,114,111,120,140,118,112,104,106,109,110,119,113,126,108,115,120,130,122,109,127,124,137,214,119,163,118,138,120,136,118,137,143,157,138,122,116,138,140,132,106,116,154,160,136,157,127,148,128,128,129,116,111,114,123,133,137,129,117,144,119,135,129,134,134,129,149,133,123,123,123,121,132,108,113,122,118,108,108,118,149,124,122,113,119,130,140,128,143,122,112,124,154,126,142,122,129,112,154,143,114,110,117,139,125,117,129,143,113,130,114,109,122,140,123,106,121,132,123,128,124,111,104,104,132,150,124,144,124,120,122,125,136,138,151,127,113,134,133,133,108","54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54"
"ManagedElement=LTESite1234,Equipment=1,FieldReplaceableUnit=0900-3-RRUW-1,EnergyMeter=1",900.0,2024-05-02 06:00:00,"100,106,97,102,100,117,130,120,109,108,111,104,146,127,166,157,108,119,107,108,114,104,101,107,106,105,105,110,105,118,109,107,107,98,104,106,99,101,104,99,99,101,97,99,101,102,98,101,127,101,112,99,97,99,101,102,97,101,96,98,101,103,99,98,104,98,98,106,102,99,97,99,96,98,98,97,100,101,99,102,98,98,101,98,108,118,111,115,118,121,129,142,131,97,102,172,109,103,101,102,104,102,98,103,105,103,99,104,113,123,118,114,111,106,98,108,100,99,99,104,105,100,98,103,107,103,104,104,123,99,113,108,99,99,103,106,109,98,103,105,98,103,101,106,104,98,103,105,101,120","54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,55,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,55,55,55,55,55,55,55,55,55,54,54,55,55,55,54,54,55,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54"
"ManagedElement=LTESite1234,Equipment=1,FieldReplaceableUnit=1,EnergyMeter=1",900.0,2024-05-02 06:00:00,"97,98,98,97,97,97,97,98,97,97,97,97,97,97,98,97,98,97,97,98,97,97,97,97,97,97,97,97,97,97,97,96,97,97,97,97,97,97,97,97,98,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,98,97,97,97,97,97,97,97,97,97,97,97,97,96,97,97,97,97,97,97,96,97,97,97,97,97,97,97,96,97,98,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,98,97,97,97,97,97,97,98,97,98,97,97,97,97,97,97,97,97,98,97,97,97,97,97,98,98,97,97","48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48"
"ManagedElement=LTESite1234,Equipment=1,FieldReplaceableUnit=1800-1-RRUW-1,EnergyMeter=1",900.0,2024-05-02 06:00:00,"271,238,231,230,245,228,213,216,224,224,261,237,222,216,208,213,210,227,239,211,218,226,207,209,214,262,231,246,222,216,242,231,204,202,273,273,301,273,311,283,237,219,216,255,240,243,220,209,206,254,254,211,196,195,229,227,275,223,231,215,202,213,213,213,206,201,197,220,196,196,204,198,218,301,289,254,226,219,207,235,212,202,248,237,227,230,234,211,211,215,223,222,228,233,259,268,220,218,248,226,221,224,253,246,226,222,238,217,220,219,216,216,227,244,244,218,230,232,240,228,235,263,239,239,249,237,233,239,247,246,229,215,230,270,291,245,243,255,237,219,225,225,234,248,254,231,256,288,267,228","54,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,54,54,54,54,54,54,54,54,54,54"
"ManagedElement=LTESite1234,Equipment=1,FieldReplaceableUnit=1800-2-RRUW-1,EnergyMeter=1",900.0,2024-05-02 06:00:00,"251,252,224,230,262,250,255,263,259,233,238,250,262,235,227,249,226,224,235,235,245,241,251,244,251,284,300,310,247,257,233,248,263,243,257,233,226,287,266,302,288,266,257,244,231,218,218,215,222,222,229,283,264,262,245,243,231,224,237,305,234,219,210,218,227,229,233,238,222,233,224,220,220,297,326,279,249,251,283,241,245,268,260,255,245,235,232,233,234,224,235,241,244,223,222,236,249,245,235,235,230,233,246,232,277,240,247,238,235,237,262,259,267,259,260,288,268,262,259,257,239,239,264,272,233,241,241,261,258,272,252,251,254,236,276,262,248,252,238,225,247,234,256,301,316,242,255,267,240,238","55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55"
"ManagedElement=LTESite1234,Equipment=1,FieldReplaceableUnit=1800-3-RRUW-1,EnergyMeter=1",900.0,2024-05-02 06:00:00,"224,218,201,200,194,193,209,231,198,198,202,203,194,208,204,199,197,201,210,228,208,208,200,206,205,194,202,202,203,206,198,201,207,206,197,199,201,224,232,229,215,214,223,218,215,213,253,199,199,199,195,200,222,223,236,224,220,233,213,207,209,198,195,196,196,197,194,195,193,192,192,194,196,192,192,192,201,200,199,201,203,196,198,197,205,211,207,206,218,237,220,224,278,216,209,223,249,206,209,211,213,213,216,208,210,206,205,206,208,222,225,224,208,214,227,208,305,267,202,206,208,209,202,200,203,204,204,204,201,210,200,202,209,203,206,205,208,207,208,205,207,206,205,204,199,199,200,199,200,202","54,54,54,54,54,54,54,54,54,54,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54"
"ManagedElement=LTESite1234,Equipment=1,FieldReplaceableUnit=2100-1-RRUW-1,EnergyMeter=1",900.0,2024-05-02 06:00:00,"242,270,286,340,261,253,236,288,260,291,260,230,248,275,298,235,240,254,237,281,261,262,363,232,238,257,251,279,321,347,331,272,240,371,261,245,342,392,340,370,298,314,338,348,416,385,343,266,387,344,308,280,324,299,370,273,337,362,319,298,282,310,290,307,277,242,239,245,355,280,257,236,262,289,264,267,282,284,282,353,236,265,246,287,268,266,262,271,225,255,259,250,303,343,319,237,228,231,288,243,234,244,271,267,242,235,346,306,246,250,331,256,265,286,279,295,272,236,219,221,229,248,257,269,251,270,237,225,345,294,232,246,241,267,329,405,380,274,235,226,288,344,293,264,249,250,234,232,267,315","54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54"
"ManagedElement=LTESite1234,Equipment=1,FieldReplaceableUnit=2100-2-RRUW-1,EnergyMeter=1",900.0,2024-05-02 06:00:00,"324,447,123,343,365,462,370,484,498,502,501,518,453,365,410,470,355,383,377,372,329,329,357,365,414,438,482,437,427,354,123,335,416,329,450,123,384,493,486,496,512,516,572,530,346,371,368,405,317,354,385,421,407,452,416,361,336,347,346,481,406,370,338,380,404,299,310,331,374,350,403,323,415,538,539,434,463,373,397,372,394,351,352,379,371,343,332,285,348,336,383,320,380,325,359,416,425,384,369,352,413,454,444,351,350,320,350,369,383,317,378,410,485,355,327,351,396,394,419,391,315,392,379,333,430,485,353,480,379,348,323,299,340,420,343,324,400,450,385,425,352,123,388,412,371,346,351,361,361,380","53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53"
"ManagedElement=LTESite1234,Equipment=1,FieldReplaceableUnit=2100-3-RRUW-1,EnergyMeter=1",900.0,2024-05-02 06:00:00,"249,230,209,214,254,243,264,216,271,218,240,229,249,239,228,266,237,219,259,269,221,242,319,268,241,286,301,223,227,226,222,220,221,227,210,233,232,228,253,240,257,262,248,301,262,306,279,285,234,249,237,241,227,228,222,220,215,233,203,246,360,282,251,211,251,306,261,320,288,223,220,211,223,236,207,226,233,235,225,264,260,274,302,265,264,245,267,272,299,281,296,352,370,239,234,390,254,259,240,287,271,274,339,298,246,278,295,237,326,313,296,251,269,223,249,285,242,251,259,266,240,276,280,266,264,294,371,335,390,375,400,347,299,308,273,299,265,266,299,401,426,369,344,241,233,283,315,265,309,307","54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,55,55,54,55,55,55,55,55,55,55,55,55,55,55,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,54,54,54,55,55,54,54,54,54,54,55,54,55,54,55,54,54,55,54,54,54,54,55,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54"
