begintime,sk_object,1593835630,1593835632,1593835633,1593835634,1593835679,1593835680,1593835681,1593835682,duration
2022-03-01 00:00:00,882388.0,0.0,5.0,4.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882389.0,0.0,14.0,12.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882390.0,0.0,4.0,3.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882391.0,0.0,6.0,3.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882392.0,0.0,66.0,45.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882393.0,0.0,4.0,1.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882394.0,0.0,4.0,2.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882395.0,0.0,4.0,3.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882396.0,0.0,2.0,1.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882397.0,0.0,4.0,2.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882398.0,0.0,8.0,3.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882399.0,0.0,13.0,8.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882401.0,0.0,3.0,2.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882402.0,0.0,3.0,1.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882403.0,0.0,5.0,1.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882404.0,0.0,6.0,3.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882405.0,0.0,5.0,2.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882406.0,0.0,11.0,7.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882407.0,0.0,12.0,9.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882408.0,0.0,3.0,3.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882409.0,0.0,5.0,4.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882410.0,0.0,6.0,3.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882411.0,0.0,4.0,4.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882412.0,0.0,8.0,4.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882413.0,0.0,11.0,8.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882414.0,0.0,5.0,1.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882415.0,0.0,6.0,5.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882416.0,0.0,3.0,1.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882417.0,0.0,6.0,2.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882418.0,0.0,4.0,3.0,0.0,,,,,PT3600S
2022-03-01 00:00:00,882419.0,0.0,2.0,1.0,0.0,,,,,PT3600S
