begintime,sk_object,duration,M8072C28,M8072C29,M8072C0,M8072C1,M8072C2,M8072C3,M8072C4,M8072C5,M8072C6,M8072C30,M8072C7,M8072C8,M8072C9,M8072C10,M8072C11,M8072C12,M8072C13,M8072C31,M8072C32,M8072C33
2022-03-13 08:00:00,22597.0,15,50.0,50.0,216.0,0.0,3.0,0.0,0.0,0.0,0.0,50.0,1.0,1.0,0.0,213.0,210.0,1.0,0.0,0.0,0.0,0.0
2022-03-11 16:00:00,22558.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 02:15:00,22515.0,15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 02:00:00,22559.0,15,6.0,6.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,92.0,93.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 10:30:00,22574.0,15,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 00:45:00,22533.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 17:30:00,22574.0,15,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 01:45:00,22532.0,15,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 05:45:00,22519.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 03:30:00,22534.0,15,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 14:00:00,22550.0,15,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 03:15:00,22533.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 15:30:00,22523.0,15,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 00:15:00,22516.0,15,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 21:45:00,22565.0,15,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 22:15:00,22571.0,15,1.0,1.0,116.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,6.0,0.0,112.0,110.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 06:45:00,22541.0,15,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 22:15:00,22544.0,15,26.0,24.0,441.0,0.0,20.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,421.0,419.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 21:15:00,22568.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 04:45:00,22587.0,15,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 05:00:00,22541.0,15,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 12:00:00,22577.0,15,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 13:45:00,22532.0,15,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,172.0,172.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 20:45:00,22552.0,15,0.0,0.0,214.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,212.0,211.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 08:30:00,22552.0,15,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,177.0,177.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 13:00:00,22512.0,15,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 11:00:00,22533.0,15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 05:45:00,22567.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 08:15:00,22559.0,15,21.0,21.0,713.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,713.0,712.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 22:00:00,22554.0,15,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 12:45:00,22566.0,15,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 13:15:00,22549.0,15,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 15:45:00,22566.0,15,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 14:00:00,22516.0,15,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,94.0,90.0,2.0,0.0,0.0,0.0,0.0
2022-03-11 03:00:00,22597.0,15,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 05:45:00,22601.0,15,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 12:15:00,22554.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 15:45:00,22555.0,15,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,89.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 14:30:00,22599.0,15,0.0,0.0,77.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,77.0,75.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 10:15:00,22530.0,15,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 12:15:00,22601.0,15,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,127.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 07:30:00,22562.0,15,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 10:00:00,22537.0,15,55.0,54.0,288.0,0.0,1.0,0.0,0.0,0.0,0.0,53.0,0.0,1.0,0.0,287.0,287.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 06:00:00,22527.0,15,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 13:30:00,22589.0,15,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 21:15:00,22575.0,15,0.0,0.0,151.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 18:00:00,22587.0,15,23.0,23.0,168.0,0.0,1.0,0.0,0.0,7.0,0.0,23.0,0.0,1.0,0.0,167.0,148.0,7.0,0.0,0.0,0.0,0.0
2022-03-12 22:45:00,22538.0,15,0.0,0.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 21:30:00,22528.0,15,0.0,0.0,29.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 11:00:00,22555.0,15,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,76.0,2.0,0.0,0.0,0.0,0.0
2022-03-12 10:15:00,22512.0,15,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
