NE Name,fdn,MOIndex,NODEID,NODENAME,PRODUCTTYPE,className,name,neID
3G_ADONKIA,"NE=1023,NODE=only",779,1,Node,DBS3900_WCDMA,BTS3900NODE,NODE,779
3G_ALKALIA,"NE=1346,NODE=only",1102,1,Node,DBS3900,BTS3900NODE,NODE,1102
3G_ALLENTOWN,"NE=986,NODE=only",742,1,Node,DBS3900_WCDMA,BTS3900NODE,NODE,742
3G_ABERDEEN,"NE=339,NODE=only",85,1,Node,DBS3900_WCDMA,BTS3900NODE,NODE,85
3G_ADAMSTREET,"NE=1071,NODE=only",827,1,Node,DBS5900,BTS3900NODE,NODE,827
3G_ADDAX,"NE=885,NODE=only",641,1,Node,DBS3900_WCDMA,BTS3900NODE,NODE,641
