begintime,sk_object,1542455881,1542455397,1542455401,1542455404,1542455405,1542455393,1542455396,1542455400,1542455392,1542455872,1542455873,1542455874,1542455875,1542455876,1542455877,1542455878,1542455879,1542455880,duration
2022-03-01,7729420.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729421.0,,0.0,31487.0,182.0,102072.0,0.0,0.0,132.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729422.0,,0.0,11509.0,250.0,249908.0,0.0,0.0,40.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729423.0,,0.0,1542.0,21.0,1814.0,0.0,0.0,17.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729424.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729425.0,,0.0,22266650.0,347748.0,446964291.0,0.0,0.0,136443.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729426.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729427.0,,0.0,146224.0,211.0,101851.0,0.0,0.0,388.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729428.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729429.0,,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729430.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729431.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729432.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729433.0,,0.0,282132.0,337.0,308080.0,0.0,0.0,360.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729434.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729435.0,,0.0,59968.0,355.0,249869.0,0.0,0.0,109.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729436.0,,0.0,572372.0,826.0,879976.0,0.0,0.0,654.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729437.0,,0.0,969213896.0,7705717.0,9060100323.0,0.0,0.0,3693831.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729438.0,,0.0,311608.0,398.0,372206.0,0.0,0.0,387.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729439.0,,0.0,72.0,31.0,17353.0,0.0,0.0,2.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729440.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729442.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729443.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729444.0,,0.0,372242.0,387.0,311608.0,0.0,0.0,399.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729445.0,,0.0,4489.0,10.0,7496.0,0.0,0.0,7.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729446.0,,0.0,1312.0,6.0,7122.0,0.0,0.0,3.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729447.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729448.0,,0.0,316701.0,418.0,165529.0,0.0,0.0,380.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729449.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729450.0,,0.0,32084.0,138.0,111449.0,0.0,0.0,121.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729451.0,,0.0,988.0,46.0,4357.0,0.0,0.0,26.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729452.0,,0.0,0.0,2.0,132.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729453.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729454.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729455.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
