begintime,sk_object,duration,integrity,M8018C4,M8018C0,M8018C1,M8018C5,M8018C6,M8018C7,M8018C8,M8018C9,M8018C10,M8018C11
2022-03-13 13:00:00,20347.0,60.0,100.0,0.0,20.25,33.0,0.0,0.0,0.0,73720.0,3600.0,0.0,0.0
2022-03-13 13:00:00,20355.0,60.0,100.0,0.0,191.5,235.0,0.0,0.0,0.0,689702.0,3600.0,0.0,0.0
2022-03-16 03:00:00,20337.0,60.0,100.0,0.0,33.0,45.0,0.0,0.0,0.0,118266.0,3600.0,0.0,0.0
2022-03-16 11:00:00,20348.0,60.0,100.0,0.0,296.0,342.0,0.0,0.0,0.0,1065075.0,3600.0,0.0,0.0
2022-03-18 10:00:00,20341.0,60.0,100.0,0.0,146.75,169.0,0.0,0.0,0.0,528204.0,3600.0,0.0,0.0
2022-03-17 02:00:00,20342.0,60.0,100.0,0.0,21.75,37.0,0.0,0.0,0.0,78375.0,3600.0,0.0,0.0
2022-03-12 09:00:00,20340.0,60.0,100.0,0.0,12.0,20.0,0.0,0.0,0.0,42771.0,3600.0,0.0,0.0
2022-03-15 07:00:00,20351.0,60.0,100.0,0.0,26.5,38.0,0.0,0.0,0.0,95891.0,3600.0,0.0,0.0
2022-03-17 00:00:00,20339.0,60.0,100.0,0.0,58.5,86.0,0.0,0.0,0.0,209413.0,3600.0,0.0,0.0
2022-03-15 05:00:00,20338.0,60.0,100.0,0.0,12.0,23.0,0.0,0.0,0.0,43001.0,3600.0,0.0,0.0
2022-03-18 04:00:00,20341.0,60.0,100.0,0.0,47.25,68.0,0.0,0.0,0.0,170595.0,3600.0,0.0,0.0
2022-03-12 20:00:00,20341.0,60.0,100.0,0.0,220.75,269.0,0.0,0.0,0.0,794884.0,3600.0,0.0,0.0
2022-03-16 22:00:00,20337.0,60.0,100.0,0.0,160.5,197.0,0.0,0.0,0.0,577412.0,3600.0,0.0,0.0
2022-03-12 03:00:00,20337.0,60.0,100.0,0.0,31.25,59.0,0.0,0.0,0.0,113266.0,3600.0,0.0,0.0
2022-03-11 17:00:00,20353.0,60.0,100.0,0.0,211.25,251.0,0.0,0.0,0.0,760114.0,3600.0,0.0,0.0
2022-03-17 21:00:00,20349.0,60.0,100.0,0.0,450.5,496.0,0.0,0.0,0.0,1622434.0,3600.0,0.0,0.0
2022-03-16 02:00:00,20355.0,60.0,100.0,0.0,80.25,118.0,0.0,0.0,0.0,289064.0,3600.0,0.0,0.0
2022-03-18 08:00:00,20353.0,60.0,100.0,0.0,227.5,267.0,0.0,0.0,0.0,818592.0,3600.0,0.0,0.0
2022-03-17 05:00:00,20355.0,60.0,100.0,0.0,74.0,99.0,0.0,0.0,0.0,267630.0,3600.0,0.0,0.0
2022-03-15 02:00:00,20352.0,60.0,100.0,0.0,16.75,26.0,0.0,0.0,0.0,59190.0,3600.0,0.0,0.0
2022-03-18 10:00:00,20343.0,60.0,100.0,0.0,232.0,275.0,0.0,0.0,0.0,834508.0,3600.0,0.0,0.0
2022-03-15 16:00:00,20345.0,60.0,100.0,0.0,305.25,349.0,0.0,0.0,0.0,1098399.0,3600.0,0.0,0.0
2022-03-11 10:00:00,20342.0,60.0,100.0,0.0,67.75,92.0,0.0,0.0,0.0,243083.0,3600.0,0.0,0.0
2022-03-17 14:00:00,20337.0,60.0,100.0,0.0,83.5,105.0,0.0,0.0,0.0,300246.0,3600.0,0.0,0.0
2022-03-12 07:00:00,20340.0,60.0,100.0,0.0,5.5,11.0,0.0,0.0,0.0,19446.0,3600.0,0.0,0.0
2022-03-12 18:00:00,20337.0,60.0,100.0,0.0,101.5,126.0,0.0,0.0,0.0,365247.0,3600.0,0.0,0.0
2022-03-12 01:00:00,20348.0,60.0,100.0,0.0,161.75,212.0,0.0,0.0,0.0,583180.0,3600.0,0.0,0.0
2022-03-13 08:00:00,20355.0,60.0,100.0,0.0,170.25,203.0,0.0,0.0,0.0,613103.0,3600.0,0.0,0.0
2022-03-11 19:00:00,20342.0,60.0,100.0,0.0,68.75,89.0,0.0,0.0,0.0,247203.0,3600.0,0.0,0.0
2022-03-16 21:00:00,20346.0,60.0,100.0,0.0,249.0,283.0,0.0,0.0,0.0,897140.0,3600.0,0.0,0.0
2022-03-11 13:00:00,20340.0,60.0,100.0,0.0,9.75,16.0,0.0,0.0,0.0,35070.0,3600.0,0.0,0.0
2022-03-17 11:00:00,20350.0,60.0,100.0,0.0,50.5,70.0,0.0,0.0,0.0,181365.0,3600.0,0.0,0.0
2022-03-13 13:00:00,20337.0,60.0,100.0,0.0,108.5,137.0,0.0,0.0,0.0,391117.0,3600.0,0.0,0.0
2022-03-17 19:00:00,20339.0,60.0,100.0,0.0,100.5,130.0,0.0,0.0,0.0,361851.0,3600.0,0.0,0.0
2022-03-13 03:00:00,20351.0,60.0,100.0,0.0,18.5,25.0,0.0,0.0,0.0,65700.0,3600.0,0.0,0.0
2022-03-15 23:00:00,20340.0,60.0,100.0,0.0,8.5,14.0,0.0,0.0,0.0,30612.0,3600.0,0.0,0.0
2022-03-16 12:00:00,20341.0,60.0,100.0,0.0,102.0,131.0,0.0,0.0,0.0,367435.0,3600.0,0.0,0.0
2022-03-15 15:00:00,20347.0,60.0,100.0,0.0,20.75,31.0,0.0,0.0,0.0,74787.0,3600.0,0.0,0.0
2022-03-11 01:00:00,20338.0,60.0,100.0,0.0,14.5,25.0,0.0,0.0,0.0,52291.0,3600.0,0.0,0.0
2022-03-16 22:00:00,20348.0,60.0,100.0,0.0,457.25,526.0,0.0,0.0,0.0,1646946.0,3600.0,0.0,0.0
2022-03-11 09:00:00,20345.0,60.0,100.0,0.0,321.25,363.0,0.0,0.0,0.0,1156837.0,3600.0,0.0,0.0
2022-03-18 13:00:00,20339.0,60.0,100.0,0.0,77.75,99.0,0.0,0.0,0.0,280285.0,3600.0,0.0,0.0
2022-03-13 12:00:00,20352.0,60.0,100.0,0.0,63.75,83.0,0.0,0.0,0.0,229803.0,3600.0,0.0,0.0
2022-03-16 07:00:00,20337.0,60.0,100.0,0.0,79.5,104.0,0.0,0.0,0.0,286758.0,3600.0,0.0,0.0
2022-03-16 09:00:00,20349.0,60.0,100.0,0.0,325.0,374.0,0.0,0.0,0.0,1169364.0,3600.0,0.0,0.0
2022-03-16 05:00:00,20343.0,60.0,100.0,0.0,107.25,141.0,0.0,0.0,0.0,386686.0,3600.0,0.0,0.0
2022-03-15 22:00:00,20343.0,60.0,100.0,0.0,384.75,455.0,0.0,0.0,0.0,1384904.0,3600.0,0.0,0.0
2022-03-15 03:00:00,20351.0,60.0,100.0,0.0,11.5,20.0,0.0,0.0,0.0,41036.0,3600.0,0.0,0.0
2022-03-17 06:00:00,20341.0,60.0,100.0,0.0,74.5,107.0,0.0,0.0,0.0,267824.0,3600.0,0.0,0.0
2022-03-17 03:00:00,20340.0,60.0,100.0,0.0,4.0,7.0,0.0,0.0,0.0,14614.0,3600.0,0.0,0.0
2022-03-13 04:00:00,20347.0,60.0,100.0,0.0,7.0,14.0,0.0,0.0,0.0,25512.0,3600.0,0.0,0.0
2022-03-15 09:00:00,20355.0,60.0,100.0,0.0,201.5,239.0,0.0,0.0,0.0,725842.0,3600.0,0.0,0.0
2022-03-12 11:00:00,20353.0,60.0,100.0,0.0,208.25,241.0,0.0,0.0,0.0,749920.0,3600.0,0.0,0.0
2022-03-16 19:00:00,20349.0,60.0,100.0,0.0,339.25,404.0,0.0,0.0,0.0,1221724.0,3600.0,0.0,0.0
2022-03-15 13:00:00,20341.0,60.0,100.0,0.0,120.0,145.0,0.0,0.0,0.0,431210.0,3600.0,0.0,0.0
2022-03-17 00:00:00,20338.0,60.0,100.0,0.0,16.75,27.0,0.0,0.0,0.0,59758.0,3600.0,0.0,0.0
2022-03-12 20:00:00,20337.0,60.0,100.0,0.0,161.5,189.0,0.0,0.0,0.0,581963.0,3600.0,0.0,0.0
2022-03-15 04:00:00,20343.0,60.0,100.0,0.0,79.0,113.0,0.0,0.0,0.0,284661.0,3600.0,0.0,0.0
2022-03-18 13:00:00,20340.0,60.0,100.0,0.0,11.75,20.0,0.0,0.0,0.0,42414.0,3600.0,0.0,0.0
2022-03-18 05:00:00,20342.0,60.0,100.0,0.0,23.0,35.0,0.0,0.0,0.0,82457.0,3600.0,0.0,0.0
2022-03-15 02:00:00,20346.0,60.0,100.0,0.0,53.0,72.0,0.0,0.0,0.0,191388.0,3600.0,0.0,0.0
2022-03-12 00:00:00,20352.0,60.0,100.0,0.0,29.25,42.0,0.0,0.0,0.0,104691.0,3600.0,0.0,0.0
2022-03-17 03:00:00,20339.0,60.0,100.0,0.0,25.5,38.0,0.0,0.0,0.0,91942.0,3600.0,0.0,0.0
2022-03-15 02:00:00,20341.0,60.0,100.0,0.0,68.25,89.0,0.0,0.0,0.0,246018.0,3600.0,0.0,0.0
2022-03-11 21:00:00,20346.0,60.0,100.0,0.0,257.75,287.0,0.0,0.0,0.0,927946.0,3600.0,0.0,0.0
2022-03-12 15:00:00,20340.0,60.0,100.0,0.0,21.5,30.0,0.0,0.0,0.0,77262.0,3600.0,0.0,0.0
2022-03-12 05:00:00,20344.0,60.0,100.0,0.0,60.75,157.0,0.0,0.0,0.0,218962.0,3600.0,0.0,0.0
2022-03-11 09:00:00,20340.0,60.0,100.0,0.0,8.5,15.0,0.0,0.0,0.0,30391.0,3600.0,0.0,0.0
2022-03-16 06:00:00,20350.0,60.0,100.0,0.0,17.25,33.0,0.0,0.0,0.0,61859.0,3600.0,0.0,0.0
2022-03-17 22:00:00,20341.0,60.0,100.0,0.0,216.5,255.0,0.0,0.0,0.0,779280.0,3600.0,0.0,0.0
2022-03-13 14:00:00,20353.0,60.0,100.0,0.0,209.25,285.0,0.0,0.0,0.0,753632.0,3600.0,0.0,0.0
2022-03-12 07:00:00,20352.0,60.0,100.0,0.0,35.0,52.0,0.0,0.0,0.0,125676.0,3600.0,0.0,0.0
2022-03-13 11:00:00,20337.0,60.0,100.0,0.0,104.25,125.0,0.0,0.0,0.0,375749.0,3600.0,0.0,0.0
2022-03-12 14:00:00,20348.0,60.0,100.0,0.0,324.5,367.0,0.0,0.0,0.0,1167386.0,3600.0,0.0,0.0
2022-03-11 06:00:00,20337.0,60.0,100.0,0.0,47.0,77.0,0.0,0.0,0.0,170189.0,3600.0,0.0,0.0
2022-03-12 16:00:00,20341.0,60.0,100.0,0.0,139.5,165.0,0.0,0.0,0.0,502498.0,3600.0,0.0,0.0
2022-03-17 03:00:00,20354.0,60.0,100.0,0.0,13.5,51.0,0.0,0.0,0.0,49191.0,3600.0,0.0,0.0
2022-03-16 01:00:00,20351.0,60.0,100.0,0.0,10.5,17.0,0.0,0.0,0.0,37465.0,3600.0,0.0,0.0
2022-03-16 10:00:00,20340.0,60.0,100.0,0.0,11.75,19.0,0.0,0.0,0.0,42778.0,3600.0,0.0,0.0
2022-03-18 08:00:00,20347.0,60.0,100.0,0.0,15.0,24.0,0.0,0.0,0.0,54169.0,3600.0,0.0,0.0
2022-03-15 16:00:00,20355.0,60.0,100.0,0.0,182.5,225.0,0.0,0.0,0.0,657111.0,3600.0,0.0,0.0
2022-03-15 13:00:00,20343.0,60.0,100.0,0.0,204.75,248.0,0.0,0.0,0.0,736848.0,3600.0,0.0,0.0
