begintime,sk_object,1282438822,1282438823,1282438847,1282438848,1282454549,1282454554,duration
2022-03-02 08:00:00,7525853.0,25.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-02 08:00:00,7525854.0,71.0,17.0,19.0,18.0,0.0,0.0,PT3600S
2022-03-02 09:00:00,7525853.0,24.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-02 09:00:00,7525854.0,55.0,14.0,21.0,18.0,0.0,0.0,PT3600S
2022-03-02 10:00:00,7525853.0,25.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-02 10:00:00,7525854.0,54.0,14.0,19.0,18.0,0.0,0.0,PT3600S
2022-03-02 11:00:00,7525853.0,26.0,5.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-02 11:00:00,7525854.0,79.0,19.0,24.0,18.0,0.0,0.0,PT3600S
2022-03-02 13:00:00,7525853.0,25.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-02 13:00:00,7525854.0,64.0,16.0,24.0,18.0,0.0,0.0,PT3600S
2022-03-02 14:00:00,7525853.0,25.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-02 14:00:00,7525854.0,56.0,13.0,20.0,18.0,0.0,0.0,PT3600S
2022-03-02 15:00:00,7525853.0,25.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-02 15:00:00,7525854.0,58.0,14.0,21.0,17.0,0.0,0.0,PT3600S
2022-03-02 20:00:00,7525853.0,27.0,6.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-02 20:00:00,7525854.0,59.0,15.0,18.0,17.0,0.0,0.0,PT3600S
2022-03-03 01:00:00,7525853.0,25.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-03 01:00:00,7525854.0,58.0,9.0,23.0,17.0,0.0,0.0,PT3600S
2022-03-03 02:00:00,7525853.0,25.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-03 02:00:00,7525854.0,61.0,11.0,23.0,17.0,0.0,0.0,PT3600S
2022-03-03 03:00:00,7525853.0,28.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-03 03:00:00,7525854.0,93.0,11.0,23.0,17.0,0.0,0.0,PT3600S
2022-03-02 12:00:00,7525853.0,39.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-02 12:00:00,7525854.0,55.0,14.0,19.0,18.0,0.0,0.0,PT3600S
2022-03-02 16:00:00,7525853.0,26.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-02 16:00:00,7525854.0,56.0,13.0,19.0,17.0,0.0,0.0,PT3600S
2022-03-02 17:00:00,7525853.0,25.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-02 17:00:00,7525854.0,55.0,14.0,18.0,17.0,0.0,0.0,PT3600S
2022-03-02 18:00:00,7525853.0,25.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-02 18:00:00,7525854.0,62.0,14.0,18.0,17.0,0.0,0.0,PT3600S
2022-03-02 19:00:00,7525853.0,26.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-02 19:00:00,7525854.0,72.0,16.0,24.0,17.0,0.0,0.0,PT3600S
2022-03-02 21:00:00,7525853.0,33.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-02 21:00:00,7525854.0,57.0,14.0,18.0,17.0,0.0,0.0,PT3600S
2022-03-02 22:00:00,7525853.0,24.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-02 22:00:00,7525854.0,54.0,10.0,18.0,17.0,0.0,0.0,PT3600S
2022-03-02 23:00:00,7525853.0,28.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-02 23:00:00,7525854.0,50.0,8.0,18.0,17.0,0.0,0.0,PT3600S
2022-03-03 00:00:00,7525853.0,44.0,6.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-03 00:00:00,7525854.0,47.0,8.0,18.0,17.0,0.0,0.0,PT3600S
2022-03-03 04:00:00,7525853.0,26.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-03 04:00:00,7525854.0,81.0,9.0,23.0,16.0,0.0,0.0,PT3600S
2022-03-03 05:00:00,7525853.0,42.0,6.0,8.0,6.0,0.0,0.0,PT3600S
2022-03-03 05:00:00,7525854.0,78.0,9.0,23.0,17.0,0.0,0.0,PT3600S
2022-03-03 06:00:00,7525853.0,25.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-03 06:00:00,7525854.0,79.0,8.0,22.0,18.0,0.0,0.0,PT3600S
2022-03-03 07:00:00,7525853.0,25.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-03 07:00:00,7525854.0,49.0,9.0,19.0,18.0,0.0,0.0,PT3600S
2022-03-03 08:00:00,7525853.0,25.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-03 08:00:00,7525854.0,52.0,12.0,19.0,18.0,0.0,0.0,PT3600S
2022-03-03 09:00:00,7525853.0,25.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-03 09:00:00,7525854.0,86.0,15.0,22.0,18.0,0.0,0.0,PT3600S
2022-03-03 10:00:00,7525853.0,25.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-03 10:00:00,7525854.0,55.0,14.0,19.0,18.0,0.0,0.0,PT3600S
2022-03-03 11:00:00,7525853.0,26.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-03 11:00:00,7525854.0,92.0,16.0,26.0,18.0,0.0,0.0,PT3600S
2022-03-03 12:00:00,7525853.0,41.0,6.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-03 12:00:00,7525854.0,54.0,14.0,19.0,18.0,0.0,0.0,PT3600S
2022-03-03 13:00:00,7525853.0,25.0,5.0,7.0,7.0,0.0,0.0,PT3600S
2022-03-03 13:00:00,7525854.0,55.0,13.0,19.0,18.0,0.0,0.0,PT3600S
2022-03-03 14:00:00,7525853.0,31.0,5.0,7.0,7.0,0.0,0.0,PT3600S
2022-03-03 14:00:00,7525854.0,79.0,16.0,24.0,17.0,0.0,0.0,PT3600S
2022-03-03 15:00:00,7525853.0,26.0,6.0,7.0,6.0,0.0,0.0,PT3600S
