begintime,sk_object,duration,M8038C0,M8038C1,M8038C2,M8038C3,M8038C4,M8038C5,M8038C6,M8038C7,M8038C8,M8038C9,M8038C10,M8038C11,M8038C12,M8038C13,M8038C14,M8038C15,M8038C16,M8038C17,M8038C18,M8038C19,M8038C20,M8038C21,M8038C22,M8038C23,M8038C24,M8038C25,M8038C26,M8038C27,M8038C28,M8038C29,M8038C30,M8038C31,M8038C32,M8038C33,M8038C34,M8038C35,M8038C36,M8038C37,M8038C38,M8038C39,M8038C40,M8038C41,M8038C42,M8038C43,M8038C44,M8038C45,M8038C46,M8038C47,M8038C48,M8038C49,M8038C50,M8038C51,M8038C52,M8038C53,M8038C54,M8038C55,M8038C56,M8038C57,M8038C58,M8038C59,M8038C60,M8038C61,M8038C62,M8038C63,M8038C64,M8038C65,M8038C66
2022-03-11 01:15:00,21683.0,15,25809.0,900.0,896049126.0,160628.0,213607115.0,195684.0,1535279.0,900000.0,1790309.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286424.0,390.0,1615511496.0,1515609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434600.0,177.0,5064845920.0,839787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25868667.0,23884083.0,0.0,,6.0,900.0,0.0,209.0,900.0,,,,,,,,,
2022-03-11 01:15:00,21684.0,15,5281.0,900.0,271960141.0,37143.0,13392622.0,48666.0,209436.0,900000.0,452570.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41008.0,38.0,50297008.0,222224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563493696.0,35579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598117.0,3861543.0,0.0,,93.0,900.0,0.0,119.0,900.0,,,,,,,,,
2022-03-11 01:15:00,21685.0,15,138.0,900.0,15606.0,4558.0,7906.0,5675.0,439.0,900000.0,7188.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49888.0,1942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82920.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9036.0,10982.0,0.0,,0.0,900.0,0.0,100.0,900.0,,,,,,,,,
2022-03-11 01:15:00,21686.0,15,21283.0,900.0,241580732.0,123041.0,64747383.0,139666.0,875769.0,900000.0,648300.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3776.0,6.0,426798048.0,408182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1142695792.0,251349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3473022.0,10371172.0,0.0,,147.0,900.0,0.0,137.0,900.0,,,,,,,,,
2022-03-11 01:15:00,21687.0,15,17335.0,900.0,458175862.0,106869.0,24031447.0,106512.0,1038207.0,900000.0,694709.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100957136.0,462902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2646592360.0,673642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2169389.0,19225371.0,0.0,,80.0,900.0,0.0,139.0,900.0,,,,,,,,,
2022-03-11 01:15:00,21688.0,15,5808.0,900.0,94480674.0,28499.0,9850586.0,26641.0,162407.0,900000.0,1007442.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12879408.0,9186.0,45080880.0,35556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2667112.0,406.0,543221296.0,22592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432291.0,1226499.0,0.0,,0.0,900.0,0.0,105.0,900.0,,,,,,,,,
2022-03-11 01:15:00,21689.0,15,20826.0,900.0,463506656.0,111656.0,29650044.0,177122.0,827162.0,900000.0,780224.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137182720.0,513498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2403811928.0,365768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2646105.0,13534487.0,0.0,,1.0,900.0,0.0,144.0,900.0,,,,,,,,,
2022-03-11 01:15:00,21690.0,15,9365.0,900.0,143728774.0,75169.0,11051836.0,91376.0,376871.0,900000.0,395954.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56530696.0,271090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645486808.0,110156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175359.0,4783478.0,0.0,,303.0,900.0,0.0,119.0,900.0,,,,,,,,,
2022-03-11 01:15:00,21691.0,15,7573.0,900.0,47298385.0,48163.0,8870528.0,104191.0,180837.0,900000.0,227418.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50839752.0,126688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68939472.0,13200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1191044.0,920665.0,0.0,,1.0,900.0,0.0,110.0,900.0,,,,,,,,,
2022-03-11 01:15:00,21692.0,15,81065.0,900.0,1439219603.0,435009.0,134164054.0,495316.0,18538607.0,900000.0,5986522.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22609688.0,77512.0,649369032.0,2896707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279080064.0,217717.0,9559375680.0,15556753.0,0.0,0.0,6968.0,24.0,0.0,0.0,0.0,12525781.0,41239454.0,0.0,,1.0,900.0,0.0,567.0,900.0,,,,,,,,,
2022-03-11 01:15:00,21693.0,15,3171.0,900.0,9033356.0,40724.0,1557370.0,43289.0,28439.0,900000.0,81803.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17364304.0,39082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67947512.0,8769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439799.0,317421.0,0.0,,0.0,899.0,0.0,101.0,899.0,,,,,,,,,
2022-03-11 01:15:00,21694.0,15,426.0,900.0,144477.0,6068.0,50946.0,4699.0,11672.0,900000.0,1180.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261592.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250384.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16723.0,292370.0,0.0,,0.0,900.0,0.0,100.0,900.0,,,,,,,,,
2022-03-11 01:15:00,21695.0,15,10279.0,900.0,283138050.0,62682.0,21542470.0,65783.0,403580.0,900000.0,287894.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77392416.0,151898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312047488.0,64002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447168.0,5803260.0,0.0,,1.0,900.0,0.0,113.0,900.0,,,,,,,,,
2022-03-11 01:15:00,21696.0,15,4168.0,900.0,102780065.0,21673.0,66794600.0,13575.0,266993.0,900000.0,339111.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435254912.0,318544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238603776.0,34688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4390511.0,2609404.0,0.0,,1.0,900.0,0.0,107.0,900.0,,,,,,,,,
2022-03-11 01:15:00,21697.0,15,626.0,900.0,73058.0,4169.0,38453.0,5115.0,2537.0,900000.0,13158.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240832.0,79286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74152.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32047.0,2961.0,0.0,,0.0,900.0,0.0,100.0,900.0,,,,,,,,,
