begintime,ne_name,sum_L.Thrp.bits.DL,contribution,count,target_without_worst_nes
2022-03-09,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET, Local Cell ID=7, Cell Name=4G_KENNEDYSTREET-7, eNodeB ID=5027, Cell FDD TDD indication=CELL_FDD",16874643464.0,0.0014783890195116188,145,10206449197560.0
2022-03-09,"4G_KENEMATOWN/Cell:eNodeB Function Name=4G_KENEMATOWN, Local Cell ID=3, Cell Name=4G_KENEMATOWN-3, eNodeB ID=5057, Cell FDD TDD indication=CELL_FDD",17149788664.0,0.0015024945150332947,146,10189299408896.0
2022-03-09,"4G_OAU_II/Cell:eNodeB Function Name=4G_OAU_II, Local Cell ID=1, Cell Name=4G_OAU_II-1, eNodeB ID=5013, Cell FDD TDD indication=CELL_FDD",17322418896.0,0.00151761866506165,147,10171976990000.0
2022-03-09,"4G_KROOTOWNROAD/Cell:eNodeB Function Name=4G_KROOTOWNROAD, Local Cell ID=2, Cell Name=4G_KROOTOWNROAD-2, eNodeB ID=5070, Cell FDD TDD indication=CELL_FDD",17384756672.0,0.001523080083179063,148,10154592233328.0
2022-03-09,"4G_YOUYIBUILDING/Cell:eNodeB Function Name=4G_YOUYIBUILDING, Local Cell ID=6, Cell Name=4G_YOUYIBUILDING-6, eNodeB ID=5018, Cell FDD TDD indication=CELL_FDD",17662608880.0,0.0015474227399131502,149,10136929624448.0
2022-03-09,"4G_KROOTOWNROAD/Cell:eNodeB Function Name=4G_KROOTOWNROAD, Local Cell ID=1, Cell Name=4G_KROOTOWNROAD-1, eNodeB ID=5070, Cell FDD TDD indication=CELL_FDD",17794007432.0,0.0015589345787778322,150,10119135617016.0
2022-03-09,"4G_CLINETOWN/Cell:eNodeB Function Name=4G_CLINETOWN, Local Cell ID=6, Cell Name=4G_CLINETOWN-6, eNodeB ID=5029, Cell FDD TDD indication=CELL_FDD",17806526880.0,0.0015600314087341528,151,10101329090136.0
2022-03-09,"4G_DUKESTREET_II/Cell:eNodeB Function Name=4G_DUKESTREET_II, Local Cell ID=7, Cell Name=4G_DUKESTREET_II-7, eNodeB ID=5010, Cell FDD TDD indication=CELL_FDD",18034018584.0,0.0015799619772194123,152,10083295071552.0
2022-03-09,"4G_DWARZK/Cell:eNodeB Function Name=4G_DWARZK, Local Cell ID=1, Cell Name=4G_DWARZK-1, eNodeB ID=5024, Cell FDD TDD indication=CELL_FDD",18202121448.0,0.001594689484133336,153,10065092950104.0
2022-03-09,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA, Local Cell ID=6, Cell Name=4G_ADONKIA-6, eNodeB ID=5059, Cell FDD TDD indication=CELL_FDD",18432322280.0,0.0016148573995643956,154,10046660627824.0
2022-03-09,"4G_SPURROADMILITARY/Cell:eNodeB Function Name=4G_SPURROADMILITARY, Local Cell ID=7, Cell Name=4G_SPURROADMILITARY-7, eNodeB ID=5067, Cell FDD TDD indication=CELL_FDD",18503122016.0,0.0016210601707524223,155,10028157505808.0
2022-03-09,"4G_DUNDASTREET/Cell:eNodeB Function Name=4G_DUNDASTREET, Local Cell ID=3, Cell Name=4G_DUNDASTREET-3, eNodeB ID=5020, Cell FDD TDD indication=CELL_FDD",18837558560.0,0.001650360186212175,156,10009319947248.0
2022-03-09,"4G_SPURROAD_II/Cell:eNodeB Function Name=4G_SPURROAD_II, Local Cell ID=8, Cell Name=4G_SPURROAD_II-8, eNodeB ID=5001, Cell FDD TDD indication=CELL_FDD",19296476056.0,0.0016905659889833906,157,9990023471192.0
2022-03-09,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN, Local Cell ID=6, Cell Name=4G_ABERDEEN-6, eNodeB ID=5104, Cell FDD TDD indication=CELL_FDD",19297074248.0,0.001690618396637884,158,9970726396944.0
2022-03-09,"4G_MARAMPA/Cell:eNodeB Function Name=4G_MARAMPA, Local Cell ID=2, Cell Name=4G_MARAMPA-2, eNodeB ID=5107, Cell FDD TDD indication=CELL_FDD",19315226784.0,0.0016922087419364937,159,9951411170160.0
2022-03-09,"4G_LAKKA_II/Cell:eNodeB Function Name=4G_LAKKA_II, Local Cell ID=1, Cell Name=4G_LAKKA_II-1, eNodeB ID=5103, Cell FDD TDD indication=CELL_FDD",19496970184.0,0.0017081312974264464,160,9931914199976.0
2022-03-09,"4G_KROOTOWNROAD/Cell:eNodeB Function Name=4G_KROOTOWNROAD, Local Cell ID=7, Cell Name=4G_KROOTOWNROAD-7, eNodeB ID=5070, Cell FDD TDD indication=CELL_FDD",19552272696.0,0.001712976355437102,161,9912361927280.0
2022-03-09,"4G_KISSYSHELL_II/Cell:eNodeB Function Name=4G_KISSYSHELL_II, Local Cell ID=7, Cell Name=4G_KISSYSHELL_II-7, eNodeB ID=5037, Cell FDD TDD indication=CELL_FDD",19555835432.0,0.0017132884870559451,162,9892806091848.0
2022-03-09,"4G_SWISSHOTEL/Cell:eNodeB Function Name=4G_SWISSHOTEL, Local Cell ID=3, Cell Name=4G_SWISSHOTEL-3, eNodeB ID=5055, Cell FDD TDD indication=CELL_FDD",19563981952.0,0.001714002204400014,163,9873242109896.0
2022-03-09,"4G_DWARZK/Cell:eNodeB Function Name=4G_DWARZK, Local Cell ID=3, Cell Name=4G_DWARZK-3, eNodeB ID=5024, Cell FDD TDD indication=CELL_FDD",19566431976.0,0.0017142168512212558,164,9853675677920.0
2022-03-09,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK, Local Cell ID=6, Cell Name=4G_ROCKELBANK-6, eNodeB ID=5038, Cell FDD TDD indication=CELL_FDD",19696638776.0,0.0017256242805868845,165,9833979039144.0
2022-03-09,"4G_BARGBORHILL_II/Cell:eNodeB Function Name=4G_BARGBORHILL_II, Local Cell ID=1, Cell Name=4G_BARGBORHILL_II-1, eNodeB ID=5042, Cell FDD TDD indication=CELL_FDD",19766815312.0,0.0017317724531673063,166,9814212223832.0
2022-03-09,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II, Local Cell ID=1, Cell Name=4G_COLEFARM_II-1, eNodeB ID=5008, Cell FDD TDD indication=CELL_FDD",19872232336.0,0.001741008048045721,167,9794339991496.0
2022-03-09,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET, Local Cell ID=8, Cell Name=4G_DILLET-8, eNodeB ID=5069, Cell FDD TDD indication=CELL_FDD",20020404728.0,0.0017539894445294396,168,9774319586768.0
2022-03-09,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN, Local Cell ID=6, Cell Name=4G_ALLENTOWN-6, eNodeB ID=5021, Cell FDD TDD indication=CELL_FDD",20247442216.0,0.0017738802191104117,169,9754072144552.0
2022-03-09,"4G_CITYROAD/Cell:eNodeB Function Name=4G_CITYROAD, Local Cell ID=2, Cell Name=4G_CITYROAD-2, eNodeB ID=5040, Cell FDD TDD indication=CELL_FDD",20429377224.0,0.0017898195613943405,170,9733642767328.0
2022-03-09,"4G_RUTILE_II/Cell:eNodeB Function Name=4G_RUTILE_II, Local Cell ID=1, Cell Name=4G_RUTILE_II-1, eNodeB ID=5048, Cell FDD TDD indication=CELL_FDD",20593309576.0,0.0018041816893798325,171,9713049457752.0
2022-03-09,"4G_REGENT/Cell:eNodeB Function Name=4G_REGENT, Local Cell ID=2, Cell Name=4G_REGENT-2, eNodeB ID=5125, Cell FDD TDD indication=CELL_FDD",20599879872.0,0.0018047573135986236,172,9692449577880.0
2022-03-09,"4G_SPURROAD_II/Cell:eNodeB Function Name=4G_SPURROAD_II, Local Cell ID=1, Cell Name=4G_SPURROAD_II-2, eNodeB ID=5001, Cell FDD TDD indication=CELL_FDD",20754121920.0,0.0018182704731860636,173,9671695455960.0
2022-03-09,"4G_BARGBORHILL_II/Cell:eNodeB Function Name=4G_BARGBORHILL_II, Local Cell ID=2, Cell Name=4G_BARGBORHILL_II-2, eNodeB ID=5042, Cell FDD TDD indication=CELL_FDD",20903232336.0,0.0018313340500361167,174,9650792223624.0
2022-03-09,"4G_DUKESTREET_II/Cell:eNodeB Function Name=4G_DUKESTREET_II, Local Cell ID=6, Cell Name=4G_DUKESTREET_II-6, eNodeB ID=5010, Cell FDD TDD indication=CELL_FDD",21154844576.0,0.0018533778208324773,175,9629637379048.0
2022-03-09,"4G_SWISSHOTEL/Cell:eNodeB Function Name=4G_SWISSHOTEL, Local Cell ID=6, Cell Name=4G_SWISSHOTEL-6, eNodeB ID=5055, Cell FDD TDD indication=CELL_FDD",21247916648.0,0.0018615318733647007,176,9608389462400.0
2022-03-09,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN, Local Cell ID=2, Cell Name=4G_BOTOWN-2, eNodeB ID=5041, Cell FDD TDD indication=CELL_FDD",21618280480.0,0.0018939794817317253,177,9586771181920.0
2022-03-09,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE, Local Cell ID=6, Cell Name=4G_BYRNELANECOLLIGATE-6, eNodeB ID=5056, Cell FDD TDD indication=CELL_FDD",21656583680.0,0.0018973352285013068,178,9565114598240.0
2022-03-09,"4G_LOKKOHTOWN/Cell:eNodeB Function Name=4G_LOKKOHTOWN, Local Cell ID=6, Cell Name=4G_LOKKOHTOWN-6, eNodeB ID=5022, Cell FDD TDD indication=CELL_FDD",21812371592.0,0.0019109838213717159,179,9543302226648.0
2022-03-09,"4G_MURRAYTOWNBARRACKS/Cell:eNodeB Function Name=4G_MURRAYTOWNBARRACKS, Local Cell ID=8, Cell Name=4G_MURRAYTOWNBARRACKS-8, eNodeB ID=5012, Cell FDD TDD indication=CELL_FDD",21869539744.0,0.001915992328269232,180,9521432686904.0
2022-03-09,"4G_WILKINSONROAD/Cell:eNodeB Function Name=4G_WILKINSONROAD, Local Cell ID=6, Cell Name=4G_WILKINSONROAD-6, eNodeB ID=5005, Cell FDD TDD indication=CELL_FDD",21972960808.0,0.0019250530569139583,181,9499459726096.0
2022-03-09,"4G_LUNSAR_II/Cell:eNodeB Function Name=4G_LUNSAR_II, Local Cell ID=3, Cell Name=4G_LUNSAR_II-3, eNodeB ID=5047, Cell FDD TDD indication=CELL_FDD",22004521640.0,0.0019278181042214758,182,9477455204456.0
2022-03-09,"4G_SUSSEX_II/Cell:eNodeB Function Name=4G_SUSSEX_II, Local Cell ID=1, Cell Name=4G_SUSSEX_II-1, eNodeB ID=5074, Cell FDD TDD indication=CELL_FDD",22154811120.0,0.0019409849789737703,183,9455300393336.0
2022-03-09,"4G_KOSSOHTOWN_II/Cell:eNodeB Function Name=4G_KOSSOHTOWN_II, Local Cell ID=7, Cell Name=4G_KOSSOHTOWN_II-7, eNodeB ID=5031, Cell FDD TDD indication=CELL_FDD",22184569512.0,0.001943592114352066,184,9433115823824.0
2022-03-09,"4G_IMATT_II/Cell:eNodeB Function Name=4G_IMATT_II, Local Cell ID=3, Cell Name=4G_IMATT_II-3, eNodeB ID=5030, Cell FDD TDD indication=CELL_FDD",22784892416.0,0.0019961864575349796,185,9410330931408.0
