NE Name,fdn,ADLDACT,ADMODE,ADVER1,ADVER2,AUTOTYPE,BTSID,CVER,IDTYPE,MOIndex,PATCHNO1,PV,RVER,STTYPE,SoftwareVersion,VVER,className,name,neID
FTBSC02,"NE=280,BTSAUTODLDACTINFO=114",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,114,0,BYID,26_114,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=114,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=143",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,143,0,BYID,26_143,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=143,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=149",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,149,0,BYID,26_149,0,0,0,BTS3900_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=149,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=176",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,176,0,BYID,26_176,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=176,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=178",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,178,0,BYID,26_178,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=178,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=186",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,186,0,BYID,26_186,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=186,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=212",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,212,0,BYID,26_212,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=212,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=213",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,213,0,BYID,26_213,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=213,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=217",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,217,0,BYID,26_217,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=217,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=228",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,228,0,BYID,26_228,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=228,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=231",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,231,0,BYID,26_231,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=231,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=234",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,234,0,BYID,26_234,0,0,0,BTS3900_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=234,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=236",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,236,0,BYID,26_236,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=236,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=239",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,239,0,BYID,26_239,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=239,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=246",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,246,0,BYID,26_246,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=246,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=251",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,251,0,BYID,26_251,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=251,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=276",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,276,0,BYID,26_276,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=276,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=280",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,280,0,BYID,26_280,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=280,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=288",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,288,0,BYID,26_288,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=288,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=600",ON,COMMON_DLD,BTS3900V100R011C10SP320,0,BTSAUTODLDACT,600,10,BYID,26_600,32,0,11,BTS3900A_GSM,BTS3900V100R011C10SP320_0_0,100,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=600,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=292",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,292,0,BYID,26_292,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=292,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=294",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,294,0,BYID,26_294,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=294,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=299",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,299,0,BYID,26_299,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=299,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=110",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,110,0,BYID,26_110,0,0,0,BTS3900_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=110,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=111",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,111,0,BYID,26_111,0,0,0,BTS3900_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=111,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=124",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,124,0,BYID,26_124,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=124,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=125",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,125,0,BYID,26_125,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=125,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=103",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,103,0,BYID,26_103,0,0,0,BTS3900_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=103,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=198",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,198,0,BYID,26_198,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=198,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=187",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,187,0,BYID,26_187,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=187,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=162",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,162,0,BYID,26_162,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=162,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=200",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,200,0,BYID,26_200,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=200,26
