begintime,sk_object,duration,integrity,M8051C28,M8051C29,M8051C189,M8051C190,M8051C30,M8051C57,M8051C58,M8051C68,M8051C69,M8051C80,M8051C2,M8051C19,M8051C0,M8051C1,M8051C3,M8051C4,M8051C5,M8051C6,M8051C7,M8051C8,M8051C9,M8051C10,M8051C11,M8051C12,M8051C13,M8051C14,M8051C15,M8051C16,M8051C17,M8051C18,M8051C20,M8051C21,M8051C22,M8051C23,M8051C24,M8051C25,M8051C26,M8051C27,M8051C31,M8051C32,M8051C33,M8051C34,M8051C35,M8051C36,M8051C37,M8051C38,M8051C70,M8051C39,M8051C40,M8051C41,M8051C42,M8051C43,M8051C44,M8051C45,M8051C46,M8051C47,M8051C48,M8051C49,M8051C50,M8051C51,M8051C52,M8051C53,M8051C54,M8051C55,M8051C56,M8051C59,M8051C60,M8051C61,M8051C62,M8051C63,M8051C64,M8051C65,M8051C66,M8051C67,M8051C71,M8051C72,M8051C73,M8051C74,M8051C75,M8051C76,M8051C77,M8051C78,M8051C79,M8051C81,M8051C82,M8051C83,M8051C84,M8051C85,M8051C86,M8051C87,M8051C88,M8051C89,M8051C90,M8051C91,M8051C92,M8051C93,M8051C94,M8051C95,M8051C96,M8051C97,M8051C98,M8051C99,M8051C100,M8051C101,M8051C102,M8051C103,M8051C104,M8051C105,M8051C106,M8051C107,M8051C108,M8051C109,M8051C110,M8051C111,M8051C112,M8051C113,M8051C114,M8051C115,M8051C116,M8051C117,M8051C118,M8051C119,M8051C120,M8051C121,M8051C130,M8051C122,M8051C123,M8051C124,M8051C125,M8051C126,M8051C127,M8051C128,M8051C129,M8051C131,M8051C132,M8051C133,M8051C134,M8051C135,M8051C136,M8051C137,M8051C138,M8051C139,M8051C140,M8051C141,M8051C142,M8051C143,M8051C144,M8051C145,M8051C146,M8051C147,M8051C148,M8051C149,M8051C150,M8051C151,M8051C152,M8051C153,M8051C154,M8051C155,M8051C156,M8051C157,M8051C158,M8051C159,M8051C160,M8051C161,M8051C162,M8051C188,M8051C163,M8051C164,M8051C165,M8051C166,M8051C167,M8051C168,M8051C169,M8051C171,M8051C172,M8051C176,M8051C177,M8051C178,M8051C179,M8051C180,M8051C181,M8051C182,M8051C183,M8051C184,M8051C185,M8051C186,M8051C187,M8051C191,M8051C192,M8051C193,M8051C194,M8051C195,M8051C196,M8051C197,M8051C198,M8051C199,M8051C200,M8051C212,M8051C213,M8051C214,M8051C215
2022-03-11,21875.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,1.71875,10.0,0.07291666666666667,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.2604166666666667,0.1875,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59375,0.0,0.041666666666666664,0.0,0.0,0.23958333333333334,0.020833333333333332,0.0,0.0,0.0,1.0,8.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.7708333333333334,1.8020833333333333,10.0,0.0,155824.0,86399.0,149385.0,86399.0,1.71875,1.7083333333333333,0.08333333333333333,1.09375,0.7708333333333334,0.052083333333333336,0.08333333333333333,0.0,0.0625,0.0,0.0,0.0,10.0,3.0,7.0,3.0,0.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,86400.0,,0.0,107.375,17512394.0,86400000.0,4420456.0,86400000.0,10348675.0,86400000.0,2726536.0,86400000.0,102.21875,5.0,107.375,6.0,0.0,0.0,0.0,0.0,102.21875,0.0,0.0,0.0,0.0,,10.0625,0.0,4.177083333333333,0.0,0.0,132.95833333333334,8.0,0.0,0.0,0.0,0.0,193.53125,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,1.59375,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-11,21891.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,2.84375,14.0,0.3125,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.010416666666666666,0.020833333333333332,0.010416666666666666,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.6770833333333335,0.0,0.13541666666666666,0.0,0.0,0.8020833333333334,0.0,0.0,0.0,0.0,1.0,14.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.010416666666666666,2.875,14.0,0.0,253857.0,86399.0,252381.0,86399.0,2.84375,2.5208333333333335,0.8333333333333334,0.8541666666666666,0.010416666666666666,0.3125,0.34375,0.17708333333333334,0.21875,0.0,0.0,0.0,14.0,5.0,12.0,3.0,0.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,86400.0,,0.0,103.58333333333333,11429692.0,86400000.0,11202706.0,86400000.0,4861938.0,86400000.0,11025146.0,86400000.0,103.95833333333333,6.0,103.58333333333333,7.0,0.0,0.0,0.0,0.0,103.95833333333333,0.5833333333333334,0.0,0.0,0.0,,29.802083333333332,375.34375,0.22916666666666666,3.1770833333333335,0.0,160.14583333333334,11.0,0.0,0.0,0.0,13.0,292.5,15.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.020833333333333332,1.0,0.0,0.0,372.1145833333333,13.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-11,21839.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,68.59375,137.0,5.645833333333333,0.0,130.0,0.0,0.0,0.625,0.21875,0.0,0.6666666666666666,1.2291666666666667,1.6770833333333333,0.0,0.0,0.6041666666666666,0.0,14.416666666666666,0.0,0.0,4.958333333333333,2.4895833333333335,4.3125,63.052083333333336,19.0,0.0,0.0,0.0,27.0,14.0,22.0,0.0,14.0,0.0,0.0,0.23958333333333334,55.208333333333336,0.0,3.21875,0.6354166666666666,0.0,7.197916666666667,2.40625,0.0,0.0,0.0,3.0,110.0,0.0,11.0,4.0,0.0,8.0,1.0,10.0,13.0,0.0,360.7083333333333,69.11458333333333,139.0,0.0,5965540.0,86399.0,5929580.0,86399.0,67.02083333333333,62.291666666666664,8.083333333333334,41.802083333333336,360.7083333333333,3.0,13.125,6.71875,11.010416666666666,0.53125,0.0,0.0,136.0,22.0,91.0,17.0,0.0,20.0,13.0,13.0,30.0,17.0,24.0,5.0,1.0,0.0,0.0,86400.0,,0.0,343.8958333333333,279250270.0,86400000.0,633397808.0,86400000.0,106558691.0,86400000.0,176826011.0,86400000.0,746.1770833333334,54.0,343.8958333333333,39.0,0.0,0.0,0.0,0.0,746.1770833333334,369.375,0.0,0.0,0.0,,1176.71875,958.625,525.8125,922.3229166666666,0.0,2570.9583333333335,80.0,0.0,0.0,0.0,24.0,6075.208333333333,125.0,0.0,0.0,1.84375,0.2916666666666667,0.0,0.0,0.0,,,,,,,,2.0,7.104166666666667,0.0,0.0,137.0,0.0,0.0,0.03125,0.0,0.0,0.0,10.0,2.5833333333333335,10.0,3.2083333333333335,0.0,36.322916666666664,5.0,143.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.9166666666666667,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-11,21840.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,22.0625,52.0,2.4375,0.0,51.0,0.0,0.0,0.23958333333333334,0.0,0.0,0.5104166666666666,0.0,0.4375,0.0,0.0,0.125,0.0,5.520833333333333,0.0,0.0,1.3229166666666667,0.7708333333333334,1.3541666666666667,4.614583333333333,4.53125,0.0,0.0,0.0,14.0,8.0,13.0,0.0,9.0,0.0,0.0,0.052083333333333336,17.40625,0.0,1.2708333333333333,0.0,0.0,0.8645833333333334,0.9791666666666666,0.0,0.0,0.0,1.0,43.0,0.0,8.0,1.0,0.0,6.0,0.0,6.0,6.0,0.0,78.36458333333333,22.3125,52.0,0.0,1927387.0,86399.0,1907277.0,86399.0,21.895833333333332,21.635416666666668,1.6875,15.447916666666666,78.36458333333333,1.5104166666666667,4.479166666666667,2.9166666666666665,4.135416666666667,0.09375,0.0,0.0,52.0,7.0,36.0,10.0,0.0,7.0,5.0,8.0,16.0,11.0,14.0,3.0,1.0,0.0,0.0,86400.0,,0.0,145.63541666666666,72926925.0,86400000.0,80573681.0,86400000.0,35037040.0,86400000.0,42665249.0,86400000.0,156.05208333333334,12.0,145.63541666666666,11.0,0.0,0.0,0.0,0.0,156.05208333333334,132.90625,0.0,0.0,0.0,,416.1041666666667,375.34375,211.86458333333334,372.1041666666667,0.0,624.8020833333334,29.0,0.0,0.0,0.0,13.0,1887.8958333333333,47.0,0.0,0.0,0.5104166666666666,0.5208333333333334,0.0,0.0,0.0,,,,,,,,1.0,2.8854166666666665,0.0,0.0,52.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,5.0,1.0416666666666667,4.0,0.4583333333333333,0.0,3.1770833333333335,2.0,53.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.28125,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-11,21841.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,3.4791666666666665,19.0,0.3229166666666667,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7291666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,3.15625,0.0,0.21875,0.0,0.0,0.625,0.0,0.0,0.0,0.0,1.0,19.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,2.3020833333333335,3.4791666666666665,19.0,0.0,303031.0,86400.0,301109.0,86400.0,3.40625,3.3854166666666665,0.8645833333333334,1.5416666666666667,2.3020833333333335,0.28125,0.22916666666666666,0.0,0.052083333333333336,0.0,0.0,0.0,19.0,8.0,10.0,6.0,0.0,5.0,2.0,5.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,86400.0,,0.0,104.39583333333333,9861470.0,86400000.0,10922640.0,86400000.0,4090153.0,86400000.0,6930026.0,86400000.0,105.39583333333333,6.0,104.39583333333333,5.0,0.0,0.0,0.0,0.0,105.39583333333333,0.10416666666666667,0.0,0.0,0.0,,9.1875,244.80208333333334,0.125,0.3333333333333333,0.0,161.5625,11.0,0.0,0.0,0.0,12.0,355.6041666666667,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,244.45833333333334,12.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-11,21842.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,11.15625,33.0,0.8333333333333334,0.0,33.0,0.0,0.0,0.21875,0.0,0.0,0.07291666666666667,0.0,0.3229166666666667,0.0,0.0,0.020833333333333332,0.0,1.84375,0.0,0.0,0.2604166666666667,0.21875,0.125,11.135416666666666,10.541666666666666,0.0,0.0,0.0,7.0,4.0,7.0,0.0,5.0,0.0,0.0,0.010416666666666666,9.635416666666666,0.0,0.5625,0.10416666666666667,0.0,0.3958333333333333,0.20833333333333334,0.0,0.0,0.0,1.0,30.0,0.0,4.0,1.0,0.0,3.0,0.0,4.0,3.0,0.0,34.84375,11.21875,33.0,0.0,971856.0,86399.0,965127.0,86399.0,11.135416666666666,11.041666666666666,1.2708333333333333,8.166666666666666,34.84375,0.23958333333333334,1.4895833333333333,0.5416666666666666,1.1666666666666667,0.10416666666666667,0.0,0.0,33.0,7.0,26.0,6.0,0.0,4.0,3.0,4.0,7.0,4.0,7.0,2.0,0.0,0.0,0.0,86400.0,,0.0,129.9375,48782931.0,86400000.0,58954568.0,86400000.0,22370172.0,86400000.0,33951058.0,86400000.0,140.23958333333334,11.0,129.9375,9.0,0.0,0.0,0.0,0.0,140.23958333333334,38.3125,0.0,0.0,0.0,,132.625,105.23958333333333,40.677083333333336,99.16666666666667,0.0,372.53125,20.0,0.0,0.0,0.0,7.0,1039.5729166666667,30.0,0.0,0.0,0.10416666666666667,0.0625,0.0,0.0,0.0,,,,,,,,1.0,0.84375,0.0,0.0,33.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,4.0,0.17708333333333334,3.0,0.13541666666666666,0.0,6.03125,2.0,32.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.052083333333333336,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-11,21843.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,20.65625,116.0,1.96875,0.0,106.0,0.0,0.0,0.09375,0.0,0.0,0.6145833333333334,0.3541666666666667,0.20833333333333334,0.0,0.0,0.07291666666666667,0.0,3.5833333333333335,0.0,0.0,2.03125,0.8645833333333334,1.96875,13.239583333333334,3.21875,0.0,0.0,0.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0625,15.927083333333334,0.0,1.3125,0.0,0.0,2.5416666666666665,0.28125,0.0,0.0,0.0,2.0,93.0,0.0,9.0,2.0,0.0,4.0,1.0,10.0,8.0,0.0,188.42708333333334,20.84375,117.0,0.0,1798840.0,86399.0,1784211.0,86399.0,20.010416666666668,18.197916666666668,2.375,12.041666666666666,188.42708333333334,0.4166666666666667,4.697916666666667,3.4479166666666665,4.208333333333333,0.40625,0.0,0.0,112.0,17.0,81.0,16.0,0.0,11.0,8.0,5.0,25.0,15.0,22.0,6.0,1.0,0.0,0.0,86400.0,,0.0,205.36458333333334,132261444.0,86400000.0,83352637.0,86400000.0,53000165.0,86400000.0,43455037.0,86400000.0,159.76041666666666,39.0,205.36458333333334,48.0,0.0,0.0,0.0,0.0,159.76041666666666,0.0,0.0,0.0,0.0,,433.6666666666667,0.0,165.89583333333334,0.0,0.0,650.7395833333334,71.0,0.0,0.0,0.0,0.0,2131.5729166666665,121.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,,,,,,,,1.0,1.4895833333333333,0.0,0.0,116.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,5.0,0.6666666666666666,7.0,0.9895833333333334,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.8541666666666666,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-11,21844.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,50.427083333333336,95.0,2.9166666666666665,0.0,95.0,0.0,0.0,0.8541666666666666,0.0,0.0,0.6770833333333334,0.010416666666666666,0.375,0.0,0.2916666666666667,0.6041666666666666,0.0,7.854166666666667,0.0,0.0,1.1458333333333333,1.9479166666666667,1.2083333333333333,49.979166666666664,49.041666666666664,0.0,0.0,0.0,23.0,11.0,18.0,0.0,13.0,0.0,0.0,0.0,42.53125,0.0,3.4479166666666665,0.0,0.0,3.5208333333333335,1.1458333333333333,0.0,0.0,0.0,1.0,81.0,0.0,12.0,2.0,0.0,7.0,1.0,10.0,7.0,0.0,111.61458333333333,50.75,96.0,0.0,4385445.0,86399.0,4354051.0,86399.0,50.40625,49.635416666666664,6.041666666666667,35.90625,111.61458333333333,0.8020833333333334,7.84375,4.666666666666667,7.072916666666667,0.6145833333333334,0.0,0.0,95.0,16.0,70.0,12.0,0.0,14.0,7.0,6.0,24.0,16.0,22.0,4.0,1.0,1.0,0.0,86400.0,,0.0,313.9895833333333,250400009.0,86400000.0,348239463.0,86400000.0,96252648.0,86400000.0,132664339.0,86400000.0,426.375,38.0,313.9895833333333,23.0,0.0,0.0,0.0,0.0,426.375,212.125,0.0,0.0,0.0,,727.59375,601.5625,248.79166666666666,591.34375,0.0,1744.53125,57.0,0.0,0.0,0.0,18.0,4556.40625,90.0,0.0,0.0,1.125,0.08333333333333333,0.0,0.0,0.0,,,,,,,,2.0,16.21875,0.0,0.0,95.0,0.0625,0.0,0.0625,0.0,0.0,0.0,6.0,1.0833333333333333,6.0,1.0208333333333333,0.0,10.208333333333334,2.0,98.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.28125,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-11,21845.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,23.5625,63.0,1.5833333333333333,0.0,60.0,0.0,0.0,0.375,0.23958333333333334,0.0,0.07291666666666667,0.03125,0.13541666666666666,0.0,0.0,0.020833333333333332,0.0,5.385416666666667,0.0,0.0,0.90625,0.22916666666666666,0.5833333333333334,21.052083333333332,0.34375,0.0,0.0,0.0,12.0,5.0,4.0,0.0,3.0,0.0,0.0,0.020833333333333332,20.75,0.0,1.4479166666666667,0.3333333333333333,0.0,2.0,0.052083333333333336,0.0,0.0,0.0,2.0,54.0,0.0,8.0,4.0,0.0,2.0,1.0,3.0,5.0,0.0,67.20833333333333,23.6875,64.0,0.0,2048672.0,86399.0,2034141.0,86399.0,23.385416666666668,21.854166666666668,6.125,13.1875,67.20833333333333,1.3125,2.84375,0.71875,1.65625,0.0,0.0,0.0,62.0,22.0,39.0,10.0,0.0,11.0,5.0,10.0,13.0,5.0,8.0,3.0,1.0,0.0,0.0,86400.0,,0.0,158.36458333333334,87232225.0,86400000.0,79719243.0,86400000.0,37888557.0,86400000.0,46479037.0,86400000.0,153.5,12.0,158.36458333333334,14.0,0.0,0.0,0.0,0.0,153.5,9.875,0.0,0.0,0.0,,228.80208333333334,1469.3854166666667,48.0,28.677083333333332,0.0,861.6979166666666,36.0,0.0,0.0,0.0,37.0,2378.2291666666665,63.0,0.0,0.0,0.15625,0.020833333333333332,0.0,0.0,0.0,,,,,,,,2.0,4.791666666666667,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.20833333333333334,5.0,0.46875,0.0,1440.6354166666667,36.0,94.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-11,21846.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,45.458333333333336,111.0,3.2291666666666665,0.0,111.0,0.0,0.0,0.4791666666666667,0.03125,0.0,0.7916666666666666,0.08333333333333333,0.4583333333333333,0.0,0.0,0.2604166666666667,0.0,7.916666666666667,0.0,0.0,0.65625,0.71875,0.6145833333333334,6.489583333333333,5.572916666666667,0.0,0.0,0.0,19.0,7.0,18.0,0.0,10.0,0.0,0.0,0.0625,40.447916666666664,0.0,3.0,0.03125,0.0,3.125,0.3854166666666667,0.0,0.0,0.0,2.0,95.0,0.0,13.0,2.0,0.0,4.0,0.0,7.0,5.0,0.0,63.427083333333336,45.8125,111.0,0.0,3956062.0,86399.0,3927969.0,86399.0,45.135416666666664,45.135416666666664,5.427083333333333,33.072916666666664,63.427083333333336,2.0104166666666665,5.010416666666667,3.2291666666666665,4.614583333333333,0.15625,0.0,0.0,111.0,20.0,83.0,12.0,0.0,13.0,4.0,7.0,20.0,14.0,18.0,3.0,1.0,0.0,0.0,86400.0,,0.0,274.1041666666667,208647657.0,86400000.0,335383615.0,86400000.0,76850246.0,86400000.0,136121385.0,86400000.0,416.1041666666667,40.0,274.1041666666667,27.0,0.0,0.0,0.0,0.0,416.1041666666667,130.91666666666666,0.0,0.0,0.0,,470.65625,428.6770833333333,128.03125,419.7916666666667,0.0,1416.6145833333333,63.0,0.0,0.0,0.0,19.0,4209.541666666667,100.0,0.0,0.0,0.041666666666666664,0.23958333333333334,0.0,0.0,0.0,,,,,,,,2.0,0.9270833333333334,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3125,3.0,0.20833333333333334,0.0,8.90625,3.0,116.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.17708333333333334,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
