begintime,sk_object,duration,integrity,M8013C80,M8013C81,M8013C5,M8013C6,M8013C10,M8013C11,M8013C7,M8013C9,M8013C0,M8013C1,M8013C2,M8013C3,M8013C4,M8013C12,M8013C13,M8013C15,M8013C16,M8013C17,M8013C18,M8013C19,M8013C21,M8013C24,M8013C25,M8013C26,M8013C27,M8013C28,M8013C29,M8013C30,M8013C31,M8013C32,M8013C33,M8013C34,M8013C35,M8013C36,M8013C37,M8013C38,M8013C39,M8013C40,M8013C41,M8013C42,M8013C43,M8013C44,M8013C45,M8013C46,M8013C47,M8013C48,M8013C49,M8013C50,M8013C51,M8013C52,M8013C53,M8013C54,M8013C55,M8013C56,M8013C57,M8013C58,M8013C60,M8013C69,M8013C61,M8013C62,M8013C63,M8013C64,M8013C65,M8013C66,M8013C67,M8013C68,M8013C70,M8013C71,M8013C72,M8013C73,M8013C74,M8013C75,M8013C76,M8013C77,M8013C78,M8013C79,M8013C82,M8013C83,M8013C84,M8013C85,M8013C86,M8013C87,M8013C88,M8013C89,M8013C90,M8013C91,M8013C92,M8013C93,M8013C94,M8013C95,M8013C96,M8013C97,M8013C99,M8013C100,M8013C101,M8013C102,M8013C103,M8013C104,M8013C105,M8013C106,M8013C107,M8013C108,M8013C109,M8013C110,M8013C111,M8013C112,M8013C113,M8013C114,M8013C115,M8013C116,M8013C117,M8013C118,M8013C119,M8013C121,M8013C122,M8013C123,M8013C124
2022-03-18 09:00:00,16947.0,60.0,100.0,0.0,0.0,5461.0,16.0,15.0,0.0,0.0,1920.0,0.0,0.0,9.0,0.0,0.0,3.0,3531.0,8.0,0.0,1922.0,1486.0,2069.0,0.0,22819013.0,84375683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1912.0,2064.0,1485.0,0.0,0.0,0.0,0.0,0.0,5461.0,5461.0,3634.0,112.0,3625.0,112.0,9.0,124.0,124.0,124.0,124.0,3539.0,3288.0,4.0,0.0,0.0,0.0,0.0,1.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,7.0,0.0,0.0,0.0,0.0,1923.0,1486.0,2069.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,3.0,20.0,0.0,19.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18 15:00:00,16951.0,60.0,100.0,0.0,0.0,654.0,5.0,4.0,0.0,0.0,259.0,0.0,0.0,1.0,0.0,0.0,0.0,384.0,3.0,0.0,322.0,190.0,147.0,0.0,1417515.0,6697071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,147.0,190.0,0.0,0.0,0.0,0.0,0.0,654.0,654.0,410.0,5.0,408.0,5.0,2.0,5.0,5.0,5.0,5.0,387.0,292.0,2.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,82.0,0.0,0.0,0.0,0.0,322.0,191.0,147.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-03-19 18:00:00,16966.0,60.0,100.0,0.0,0.0,296.0,3.0,2.0,0.0,0.0,93.0,0.0,0.0,1.0,0.0,0.0,4.0,179.0,1.0,0.0,113.0,126.0,60.0,0.0,2436904.0,4234459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,60.0,125.0,0.0,0.0,0.0,0.0,0.0,296.0,296.0,200.0,2.0,199.0,2.0,1.0,1.0,1.0,1.0,1.0,180.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,21.0,0.0,0.0,0.0,0.0,113.0,126.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,4.0,20.0,18.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-16 11:00:00,16949.0,60.0,100.0,0.0,0.0,10230.0,9.0,30.0,0.0,0.0,3312.0,0.0,0.0,5.0,0.0,0.0,3.0,7067.0,46.0,0.0,3178.0,3229.0,3832.0,0.0,56624865.0,170525676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3170.0,3831.0,3229.0,0.0,0.0,0.0,0.0,0.0,10230.0,10229.0,7235.0,136.0,7227.0,136.0,8.0,219.0,219.0,219.0,219.0,7113.0,6704.0,5.0,1.0,0.0,0.0,0.0,14.0,5807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,8.0,0.0,0.0,0.0,0.0,3181.0,3230.0,3835.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,0.0,0.0,0.0,3.0,145.0,0.0,40.0,0.0,18.0,20.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2022-03-16 05:00:00,16976.0,60.0,100.0,0.0,0.0,4650.0,0.0,4.0,0.0,0.0,1609.0,0.0,0.0,3.0,0.0,0.0,4.0,3031.0,4.0,0.0,1595.0,946.0,2109.0,0.0,21077091.0,54205361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1595.0,2109.0,946.0,0.0,0.0,0.0,0.0,0.0,4650.0,4650.0,3070.0,13.0,3067.0,13.0,3.0,13.0,13.0,13.0,13.0,3035.0,3003.0,2.0,0.0,0.0,0.0,0.0,0.0,2713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,1596.0,946.0,2110.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17 10:00:00,16956.0,60.0,100.0,0.0,0.0,607.0,1.0,1.0,0.0,0.0,151.0,0.0,0.0,1.0,0.0,0.0,0.0,463.0,1.0,0.0,182.0,212.0,214.0,0.0,1882408.0,9431105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,214.0,212.0,0.0,0.0,0.0,0.0,0.0,607.0,607.0,468.0,8.0,467.0,8.0,1.0,13.0,13.0,13.0,13.0,464.0,397.0,1.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,45.0,0.0,0.0,0.0,0.0,182.0,212.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 07:00:00,16960.0,60.0,100.0,0.0,0.0,14383.0,83.0,59.0,0.0,0.0,5084.0,0.0,0.0,13.0,2.0,0.0,10.0,9154.0,76.0,0.0,5002.0,4171.0,5292.0,0.0,63483165.0,220393541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4932.0,5284.0,4167.0,0.0,0.0,0.0,0.0,0.0,14383.0,14380.0,9720.0,147.0,9695.0,146.0,23.0,183.0,183.0,183.0,183.0,9230.0,8731.0,11.0,1.0,0.0,0.0,0.0,5.0,8207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,94.0,0.0,0.0,0.0,0.0,5003.0,4173.0,5298.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,0.0,0.0,0.0,10.0,246.0,0.0,110.0,1.0,37.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
2022-03-17 11:00:00,16906.0,60.0,100.0,0.0,0.0,4164.0,16.0,6.0,0.0,0.0,1216.0,0.0,0.0,5.0,0.0,0.0,2.0,2903.0,10.0,0.0,1310.0,1255.0,1615.0,0.0,19547124.0,69647205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1294.0,1615.0,1255.0,0.0,0.0,0.0,0.0,0.0,4151.0,4127.0,2957.0,54.0,2949.0,54.0,7.0,56.0,56.0,56.0,56.0,2913.0,2713.0,4.0,0.0,0.0,4.0,0.0,0.0,2627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,,80.0,0.0,0.0,0.0,0.0,1311.0,1255.0,1618.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,2.0,18.0,0.0,26.0,0.0,0.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2022-03-17 18:00:00,16945.0,60.0,100.0,0.0,0.0,7459.0,3.0,36.0,0.0,0.0,1392.0,0.0,0.0,6.0,0.0,0.0,9.0,6045.0,22.0,0.0,1446.0,2716.0,3300.0,0.0,37133277.0,132541325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1443.0,3300.0,2716.0,0.0,0.0,0.0,0.0,0.0,7459.0,7457.0,6261.0,151.0,6254.0,151.0,7.0,208.0,208.0,208.0,208.0,6067.0,5644.0,7.0,0.0,0.0,0.0,0.0,1.0,5096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,42.0,0.0,0.0,0.0,0.0,1446.0,2716.0,3300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0,0.0,0.0,0.0,9.0,62.0,0.0,25.0,0.0,6.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-03-15 15:00:00,16907.0,60.0,100.0,0.0,0.0,2347.0,36.0,6.0,0.0,0.0,458.0,0.0,1.0,3.0,1.0,0.0,0.0,1863.0,6.0,0.0,1206.0,465.0,712.0,0.0,3497927.0,16132343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172.0,711.0,464.0,0.0,0.0,0.0,0.0,0.0,2347.0,2346.0,1957.0,27.0,1948.0,27.0,7.0,47.0,47.0,47.0,47.0,1869.0,918.0,3.0,0.0,0.0,0.0,0.0,0.0,1870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,871.0,0.0,0.0,0.0,0.0,1207.0,465.0,712.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945.0,0.0,0.0,0.0,0.0,18.0,0.0,12.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
