NE Name,fdn,BEARING,DEVICENO,MOIndex,SUBUNITNO,TILT,className,name,neID
3G_ADONKIA,"NE=1023,RETDEVICEDATA=13_1",0,13,779_13_1,1,0,BTS3900RETDEVICEDATA,"Device No.=13, Subunit No.=1",779
3G_ALKALIA,"NE=1346,RETDEVICEDATA=1_1",,1,1102_1_1,1,2147483647,BTS3900RETDEVICEDATA,"Device No.=1, Subunit No.=1",1102
3G_ALKALIA,"NE=1346,RETDEVICEDATA=2_1",,2,1102_2_1,1,2147483647,BTS3900RETDEVICEDATA,"Device No.=2, Subunit No.=1",1102
3G_ALKALIA,"NE=1346,RETDEVICEDATA=3_1",,3,1102_3_1,1,2147483647,BTS3900RETDEVICEDATA,"Device No.=3, Subunit No.=1",1102
3G_ALLENTOWN,"NE=986,RETDEVICEDATA=8_1",0,8,742_8_1,1,0,BTS3900RETDEVICEDATA,"Device No.=8, Subunit No.=1",742
3G_ALLENTOWN,"NE=986,RETDEVICEDATA=7_1",0,7,742_7_1,1,0,BTS3900RETDEVICEDATA,"Device No.=7, Subunit No.=1",742
3G_ALLENTOWN,"NE=986,RETDEVICEDATA=6_1",0,6,742_6_1,1,0,BTS3900RETDEVICEDATA,"Device No.=6, Subunit No.=1",742
3G_ALLENTOWN,"NE=986,RETDEVICEDATA=2_1",0,2,742_2_1,1,0,BTS3900RETDEVICEDATA,"Device No.=2, Subunit No.=1",742
3G_ALLENTOWN,"NE=986,RETDEVICEDATA=1_1",0,1,742_1_1,1,0,BTS3900RETDEVICEDATA,"Device No.=1, Subunit No.=1",742
3G_ALLENTOWN,"NE=986,RETDEVICEDATA=0_1",0,0,742_0_1,1,0,BTS3900RETDEVICEDATA,"Device No.=0, Subunit No.=1",742
3G_ABERDEEN,"NE=339,RETDEVICEDATA=1_1",0,1,85_1_1,1,0,BTS3900RETDEVICEDATA,"Device No.=1, Subunit No.=1",85
3G_ABERDEEN,"NE=339,RETDEVICEDATA=0_1",0,0,85_0_1,1,0,BTS3900RETDEVICEDATA,"Device No.=0, Subunit No.=1",85
3G_ABERDEEN,"NE=339,RETDEVICEDATA=3_1",0,3,85_3_1,1,0,BTS3900RETDEVICEDATA,"Device No.=3, Subunit No.=1",85
3G_ABERDEEN,"NE=339,RETDEVICEDATA=2_1",0,2,85_2_1,1,0,BTS3900RETDEVICEDATA,"Device No.=2, Subunit No.=1",85
