begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,ERAB_REL_ENB_RNL_INA_QCI2
2022-03-11,"MRBTS-5200,LNBTS-5200,LNCEL-2,MCC-619,MNC-05",579.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.9027777777777778,0.0
2022-03-12,"MRBTS-5200,LNBTS-5200,LNCEL-2,MCC-619,MNC-05",579.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.6944444444444444,0.0
2022-03-15,"MRBTS-5200,LNBTS-5200,LNCEL-2,MCC-619,MNC-05",579.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.1388888888888889,0.0
2022-03-19,"MRBTS-5200,LNBTS-5200,LNCEL-2,MCC-619,MNC-05",579.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.9722222222222222,0.0
