begintime,sk_object,duration,M51321C0,M51321C1,M51321C2,M51321C3,M51321C4,M51321C5,M51321C6,M51321C7,M51321C8,M51321C9,M51321C10,M51321C11,M51321C12,M51321C13,M51321C14
2022-03-15 07:15:00,15474.0,15,1133842.0,15556.0,3734.0,22.0,0.0,0.0,0.0,698.0,54276.0,0.0,0.0,698.0,54276.0,0.0,0.0
2022-03-15 10:30:00,15467.0,15,1132985.0,15545.0,3570.0,20.0,0.0,0.0,0.0,692.0,53842.0,0.0,0.0,692.0,53842.0,0.0,0.0
2022-03-15 14:15:00,15467.0,15,1133431.0,15551.0,3734.0,22.0,0.0,0.0,0.0,694.0,53956.0,0.0,0.0,694.0,53956.0,0.0,0.0
2022-03-15 19:15:00,15458.0,15,1133079.0,15545.0,3736.0,22.0,0.0,0.0,0.0,696.0,54162.0,0.0,0.0,696.0,54162.0,0.0,0.0
2022-03-16 00:15:00,15475.0,15,1135820.0,15581.0,7078.0,66.0,0.0,0.0,0.0,695.0,54082.0,0.0,0.0,695.0,54082.0,0.0,0.0
2022-03-16 18:30:00,15491.0,15,1133640.0,15553.0,3786.0,23.0,0.0,0.0,0.0,694.0,54002.0,0.0,0.0,694.0,54002.0,0.0,0.0
2022-03-16 22:15:00,15458.0,15,1068857.0,14659.0,3900.0,24.0,0.0,0.0,0.0,698.0,54276.0,0.0,0.0,698.0,54276.0,0.0,0.0
2022-03-16 23:15:00,15467.0,15,1132085.0,15531.0,7066.0,66.0,0.0,0.0,0.0,690.0,53682.0,0.0,0.0,690.0,53682.0,0.0,0.0
2022-03-16 23:45:00,15497.0,15,1132373.0,15536.0,3652.0,21.0,0.0,0.0,0.0,695.0,54082.0,0.0,0.0,695.0,54082.0,0.0,0.0
2022-03-17 00:30:00,15458.0,15,1133479.0,15551.0,3736.0,22.0,0.0,0.0,0.0,692.0,53842.0,0.0,0.0,692.0,53842.0,0.0,0.0
2022-03-17 03:30:00,15458.0,15,1133249.0,15549.0,3706.0,22.0,0.0,0.0,0.0,696.0,54116.0,0.0,0.0,696.0,54116.0,0.0,0.0
2022-03-17 03:45:00,15467.0,15,1137049.0,15598.0,7305.0,69.0,0.0,0.0,0.0,694.0,54002.0,0.0,0.0,694.0,54002.0,0.0,0.0
2022-03-17 04:45:00,15500.0,15,1133485.0,15551.0,3278.0,16.0,0.0,0.0,0.0,698.0,54322.0,0.0,0.0,698.0,54322.0,0.0,0.0
2022-03-11 00:00:00,15456.0,15,3553790.0,40553.0,2098516.0,24689.0,0.0,0.0,0.0,693.0,53922.0,0.0,0.0,693.0,53922.0,0.0,0.0
2022-03-11 00:00:00,15457.0,15,3177419471.0,2656643.0,333451319.0,1513966.0,0.0,0.0,0.0,696.0,54116.0,0.0,0.0,696.0,54116.0,0.0,0.0
2022-03-11 00:00:00,15458.0,15,1149105.0,15820.0,535778.0,437.0,0.0,0.0,0.0,697.0,54242.0,0.0,0.0,697.0,54242.0,0.0,0.0
2022-03-11 00:00:00,15459.0,15,88418662.0,90610.0,12340208.0,61083.0,0.0,0.0,0.0,697.0,54242.0,0.0,0.0,697.0,54242.0,0.0,0.0
2022-03-11 00:00:00,15460.0,15,1256599805.0,1028228.0,99977649.0,690462.0,0.0,0.0,0.0,696.0,54116.0,0.0,0.0,696.0,54116.0,0.0,0.0
2022-03-11 00:00:00,15461.0,15,6431580.0,70992.0,2071508.0,36790.0,0.0,0.0,0.0,695.0,54036.0,0.0,0.0,695.0,54036.0,0.0,0.0
2022-03-11 00:00:00,15462.0,15,5130907469.0,4824042.0,977658995.0,3664719.0,0.0,0.0,0.0,692.0,53842.0,0.0,0.0,692.0,53842.0,0.0,0.0
2022-03-11 00:00:00,15463.0,15,7106026.0,79525.0,2704304.0,42513.0,0.0,0.0,0.0,694.0,54002.0,0.0,0.0,694.0,54002.0,0.0,0.0
2022-03-11 00:00:00,15464.0,15,11052916.0,122766.0,6870060.0,77432.0,0.0,0.0,0.0,697.0,54196.0,0.0,0.0,697.0,54196.0,0.0,0.0
2022-03-11 00:00:00,15465.0,15,10497224.0,115513.0,6277076.0,71259.0,0.0,0.0,0.0,701.0,54516.0,0.0,0.0,701.0,54516.0,0.0,0.0
2022-03-11 00:00:00,15466.0,15,4988358.0,56945.0,3673020.0,37941.0,0.0,0.0,0.0,696.0,54162.0,0.0,0.0,696.0,54162.0,0.0,0.0
2022-03-11 00:00:00,15467.0,15,1147013.0,15791.0,515449.0,382.0,0.0,0.0,0.0,694.0,54048.0,0.0,0.0,694.0,54048.0,0.0,0.0
2022-03-11 00:00:00,15468.0,15,4084726.0,46634.0,2984420.0,30258.0,0.0,0.0,0.0,699.0,54402.0,0.0,0.0,699.0,54402.0,0.0,0.0
2022-03-11 00:00:00,15469.0,15,1144083.0,15724.0,263982.0,251.0,0.0,0.0,0.0,693.0,53922.0,0.0,0.0,693.0,53922.0,0.0,0.0
2022-03-11 00:00:00,15470.0,15,7055474.0,77104.0,5958816.0,59879.0,0.0,0.0,0.0,691.0,53762.0,0.0,0.0,691.0,53762.0,0.0,0.0
2022-03-11 00:00:00,15471.0,15,1148492.0,15809.0,513950.0,422.0,0.0,0.0,0.0,695.0,54036.0,0.0,0.0,695.0,54036.0,0.0,0.0
2022-03-11 00:00:00,15472.0,15,4141875877.0,3561159.0,703334501.0,2623297.0,0.0,0.0,0.0,695.0,54082.0,0.0,0.0,695.0,54082.0,0.0,0.0
