NE Name,fdn,CN,MOIndex,PN,SBT,SN,SRN,className,name,neID,PORTID
3G_ADONKIA,"NE=1023,ETHPORT=0_3_BASE_BOARD_7_0",0,779_0_0_7_BASE_BOARD_3,3,BASE_BOARD,7,0,BTS3900ETHPORT,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Port No.=3, Subboard Type=BASE_BOARD",779,
3G_ADONKIA,"NE=1023,ETHPORT=0_2_BASE_BOARD_7_0",0,779_0_0_7_BASE_BOARD_2,2,BASE_BOARD,7,0,BTS3900ETHPORT,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Port No.=2, Subboard Type=BASE_BOARD",779,
3G_ADONKIA,"NE=1023,ETHPORT=0_1_BASE_BOARD_7_0",0,779_0_0_7_BASE_BOARD_1,1,BASE_BOARD,7,0,BTS3900ETHPORT,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Port No.=1, Subboard Type=BASE_BOARD",779,
3G_ADONKIA,"NE=1023,ETHPORT=0_0_BASE_BOARD_7_0",0,779_0_0_7_BASE_BOARD_0,0,BASE_BOARD,7,0,BTS3900ETHPORT,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Port No.=0, Subboard Type=BASE_BOARD",779,
3G_ALKALIA,"NE=1346,ETHPORT=0_0_BASE_BOARD_7_0",0,1102_0_0_7_BASE_BOARD_0,0,BASE_BOARD,7,0,BTS3900ETHPORT,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Port No.=0, Subboard Type=BASE_BOARD",1102,70
3G_ALLENTOWN,"NE=986,ETHPORT=0_1_BASE_BOARD_7_0",0,742_0_0_7_BASE_BOARD_1,1,BASE_BOARD,7,0,BTS3900ETHPORT,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Port No.=1, Subboard Type=BASE_BOARD",742,
3G_ALLENTOWN,"NE=986,ETHPORT=0_0_BASE_BOARD_7_0",0,742_0_0_7_BASE_BOARD_0,0,BASE_BOARD,7,0,BTS3900ETHPORT,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Port No.=0, Subboard Type=BASE_BOARD",742,
3G_ABERDEEN,"NE=339,ETHPORT=0_0_BASE_BOARD_7_0",0,85_0_0_7_BASE_BOARD_0,0,BASE_BOARD,7,0,BTS3900ETHPORT,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Port No.=0, Subboard Type=BASE_BOARD",85,
3G_ABERDEEN,"NE=339,ETHPORT=0_1_BASE_BOARD_7_0",0,85_0_0_7_BASE_BOARD_1,1,BASE_BOARD,7,0,BTS3900ETHPORT,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Port No.=1, Subboard Type=BASE_BOARD",85,
3G_ABERDEEN,"NE=339,ETHPORT=0_2_BASE_BOARD_7_0",0,85_0_0_7_BASE_BOARD_2,2,BASE_BOARD,7,0,BTS3900ETHPORT,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Port No.=2, Subboard Type=BASE_BOARD",85,
3G_ABERDEEN,"NE=339,ETHPORT=0_3_BASE_BOARD_7_0",0,85_0_0_7_BASE_BOARD_3,3,BASE_BOARD,7,0,BTS3900ETHPORT,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Port No.=3, Subboard Type=BASE_BOARD",85,
3G_ADAMSTREET,"NE=1071,ETHPORT=0_0_BASE_BOARD_7_0",0,827_0_0_7_BASE_BOARD_0,0,BASE_BOARD,7,0,BTS3900ETHPORT,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Port No.=0, Subboard Type=BASE_BOARD",827,
3G_ADDAX,"NE=885,ETHPORT=0_1_BASE_BOARD_7_0",0,641_0_0_7_BASE_BOARD_1,1,BASE_BOARD,7,0,BTS3900ETHPORT,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Port No.=1, Subboard Type=BASE_BOARD",641,
3G_ADDAX,"NE=885,ETHPORT=0_0_BASE_BOARD_7_0",0,641_0_0_7_BASE_BOARD_0,0,BASE_BOARD,7,0,BTS3900ETHPORT,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Port No.=0, Subboard Type=BASE_BOARD",641,
