begintime,sk_object,duration,integrity,M8083C0,M8083C1
2022-03-18,22867.0,1440.0,100.0,424673280000000.0,0.0
2022-03-13,22862.0,1404.0,97.5,414351360000000.0,0.0
2022-03-14,22861.0,1440.0,100.0,424673280000000.0,0.0
2022-03-12,22872.0,1440.0,100.0,424673280000000.0,0.0
2022-03-16,22858.0,1421.0,98.68055555555556,419364864000000.0,0.0
2022-03-11,22866.0,1440.0,100.0,424378368000000.0,0.0
2022-03-17,22887.0,1380.0,95.83333333333333,406978560000000.0,0.0
2022-03-17,22860.0,1380.0,95.83333333333333,406978560000000.0,0.0
2022-03-19,22876.0,1310.0,90.97222222222223,387809280000000.0,0.0
2022-03-18,22870.0,1440.0,100.0,424673280000000.0,0.0
2022-03-16,22869.0,1440.0,100.0,424673280000000.0,0.0
2022-03-15,22861.0,1440.0,100.0,424673280000000.0,0.0
2022-03-15,22876.0,1440.0,100.0,424673280000000.0,0.0
2022-03-12,22880.0,1440.0,100.0,424673280000000.0,0.0
2022-03-12,22857.0,1440.0,100.0,424673280000000.0,0.0
2022-03-16,22879.0,1440.0,100.0,424673280000000.0,0.0
2022-03-11,22872.0,1440.0,100.0,424673280000000.0,0.0
2022-03-11,22870.0,1440.0,100.0,424673280000000.0,0.0
2022-03-13,22872.0,1440.0,100.0,424673280000000.0,0.0
2022-03-14,22876.0,1440.0,100.0,424673280000000.0,0.0
2022-03-13,22885.0,1440.0,100.0,424673280000000.0,0.0
2022-03-19,22864.0,1310.0,90.97222222222223,387219456000000.0,0.0
2022-03-11,22875.0,1440.0,100.0,424673280000000.0,0.0
2022-03-15,22866.0,1440.0,100.0,424673280000000.0,0.0
2022-03-11,22865.0,1440.0,100.0,424673280000000.0,0.0
2022-03-18,22883.0,1440.0,100.0,424673280000000.0,0.0
2022-03-13,22873.0,1440.0,100.0,424673280000000.0,0.0
2022-03-12,22883.0,1440.0,100.0,424673280000000.0,0.0
2022-03-11,22860.0,1440.0,100.0,424673280000000.0,0.0
2022-03-19,22885.0,1380.0,95.83333333333333,406978560000000.0,0.0
2022-03-13,22882.0,1440.0,100.0,424673280000000.0,0.0
2022-03-16,22880.0,1399.0,97.15277777777777,412581888000000.0,0.0
