measObjLdn,duration,begin_time,20009380.0,20009382.0,20009384.0,20009386.0,20009388.0,20009389.0,20009391.0,20009400.0,20009401.0,20009402.0,20009403.0,20009404.0,20009405.0,20009406.0,20009418.0,20009419.0,20009420.0,20009421.0,20009422.0,20009430.0,20009431.0,20009432.0,20009433.0,20009435.0,20009437.0,20009439.0,20009440.0,20009441.0,20009443.0,20009444.0,20009445.0,20009448.0,20009449.0,20009450.0,20009452.0,20009464.0,20009469.0,20009470.0,20009471.0,20009474.0,20009477.0,20009479.0,20009482.0,20009483.0,20009484.0,20009485.0,20009486.0,20009487.0,20009488.0,20009491.0,20009492.0,20009493.0,20009494.0,20009495.0,20009496.0,20009497.0,20009498.0,20009500.0,20009501.0,20009502.0,20009503.0,20009504.0,20009505.0,20009506.0,20009507.0,20009508.0,20009509.0,20009510.0,20009512.0,20009513.0,20009514.0,20009515.0,20009516.0,20009517.0,20009518.0,20009519.0,20009520.0,20009521.0,20009522.0,20009523.0,20009524.0,20009525.0,20009526.0,20009527.0,20009528.0,20009529.0,20009530.0,20009532.0,20009533.0,20009534.0,20009535.0,20009540.0,20009541.0,20009549.0,20009559.0,20009562.0,20009566.0,20009567.0,20009568.0,20009569.0,20009572.0,20009573.0,20009574.0,20009575.0,20009596.0,20009600.0,20009603.0,20009605.0,20009606.0,20009607.0,20009608.0,20009609.0,20009610.0,20009611.0,20009612.0,20009613.0,20009614.0,20009615.0,20009619.0,20009622.0,20009631.0,20009640.0,20009641.0,20009642.0,20009643.0,20009644.0,20009645.0,20009646.0,20009647.0,20009649.0,20009650.0,20009651.0,20009652.0,20009655.0,20009656.0,20009657.0,20009658.0,20009659.0,20009660.0,20009665.0,20009667.0,20009668.0,20009669.0,20009670.0,20009671.0,20009672.0,20009673.0,20009674.0,20009675.0,20009676.0,20009677.0,20009678.0,20009679.0,20009680.0,20009681.0,20009682.0,20009683.0,20009684.0,20009685.0,20009686.0,20009687.0,20009688.0,20009689.0,20009690.0,20009691.0,20009692.0,20009693.0,20009694.0,20009695.0,20009696.0,20009697.0,20009703.0,20009714.0,20009718.0,20009722.0,20009724.0,20009725.0,20009727.0,20009728.0,20009729.0,20009730.0,20009731.0,20009732.0,20009733.0,20009734.0,20009735.0,20009738.0,20009739.0,20009740.0,20009741.0,20009742.0,20009743.0,20009744.0,20009745.0,20009746.0,20009747.0,20009750.0,20009751.0,20009752.0,20009754.0,20009758.0,20009759.0,20009761.0,20009764.0,20009767.0,20009802.0,20009808.0,20009825.0,20009830.0,20009831.0,20009833.0,20009834.0,20009844.0,20009845.0,20009846.0,20009847.0,20009848.0,20009849.0,20009853.0,20009854.0,20009855.0,20009858.0,20009872.0
"ManagedElement=LTESite1234,ENodeBFunction=1,EUtranCellFDD=L09_LTESite1234_01",900.0,2024-05-02 06:00:00,"2,5,16,8,409","42657,0,0,0,0,0","2,5,16,8,409","104057,0,0,0,0,0","0,286,0,755","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3,7,5,8,8,28,1","1101,15505,0,0,0,0,0,0,0,0,0,0,0,0","1783,1101,15505,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","13082,0,0,0,0,0,0,0,0,0,0,0","0,89,2,0","129,10,87,6,0,0,0,0","219,13,0,0,0","4,89,0,0,0,0,0,0,0,0,0,0,0,0","103,0,0,0,0","10,4,89,0,0,0,0,0","13,0,0,0,0","0,0","0,0,0,0,0","6029,3302,7275,0,0,0,0,0","0,0,0,0,0","1,1,25","8419,580,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","507,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","8861,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,61080,26789,290,45,9,1,1","0,0,0,0,0,0,0,0,0,0","1,2,2",0,"2,5,47,8,52",0,0,0,"1,2,2",0,"2,5,47,8,52","2,5,3,8,4","1,8,5","1,8,5","3,1,1,5,203,8,211","3,1,1,5,7,8,6","1,3,1",0,0,0,0,0,0,0,"1,8,1",0,"1,8,1","1,3,2",0,0,0,0,0,0,0,0,"2,5,1,8,1",0,"2,5,1,8,1",0,0,0,"1,3,10",0,"2,5,5,8,5","3,1,1,5,58,8,62","3,1,1,5,6,8,6",0,0,"1,3,10",0,"2,5,5,8,5","1,3,4","2,5,1,8,3",0,"2,5,41,8,43","2,5,38,8,39",0,"3,1,2,5,17,8,19","3,1,2,5,16,8,18",0,"0,17758,0,40162","0,321,0,13954",0,0,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0,0",0,"0,0,0,0","0,79301,22152,181883","3,5,4146,8,99262,12,120468","4,1,1122,5,341074,8,13826,12,1786","703959,20536,1958,149801,10199,4726,277,7680,487,222,8,131,11,4,0,1,0,0,0,0","829814,43597,26589","865,26,7,1,1,0,0,0,0,0,0,0,0,0,0,0","654893,21643,12821,19728,17895,14648,16238,13163,12857,116114","830049,160,383,9576,8570,7984,14252,12539,8878,7609","873582,300,252,315,155,3632,5679,9398,6072,615","900000,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","2,5,89,8,5024","2,5,991,8,27226","1,8,13",0,0,"1,8,11",0,0,0,"2,5,127,8,57752","2,5,121,8,10876","2,5,127,8,57377",0,"2,5,498,8,508433","2,5,498,8,509419",0,0,"2,5,402,8,24499",0,"3,5,5461,8,1066987,12,665348","2,0,1760042,1,571728",0,"4,1,54,5,14761,8,228719,12,8650","13,2,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","640,97,50,32,36,17,12,3,2,2,3,2,1,2,1,0,0,0,0,0","15,0,0,0,0,0,0,0,0,0","885,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","28,1937,17854,3016,2069,3025,4342,3453,3746,1757,382,374,826,450,1178,972,891,582,572,761,2499,823,1059,2458,1141,679,796,10245,8419","0,0,2,6,1,70,15,14,16,24,0,25,40,22,32,172,0,0,0,0,0,0,0,0,0,0,0,0,0","555,0,1,0,0,0,0,0,0,0,1,0","542,0,0,0,0,0,0,0,0,0,0,0,0","135,4,0,5,0,0,0,0,0","0,0,0,0,0,0,0,0,0","4,62,23,113,135,163,185,246,184,127,125,139,93,63,12,6","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","16,48,22,78,100,150,173,196,198,153,119,112,121,102,40,9","797,840,0,0","0,0,0,0,0,0,0,0,0,24,840587,50368,8388,516,91,27","0,0,0,0,0,0,0,0,0,0,394070,492803,12783,312,33,0","0,0,0,47159,22423,0,0,0,0,0,0,0,0,0,0,0","14971,6809,15258,32591,0,0,0,0","41,231,92,124,479,523,462,468,644,938,1122,1540,1734,608,730,786","20,308,88,142,137,134,267,511,728,910,791,846,656,388,399,327","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,"7196,3326,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","334,352,353,357,0,0,0,0","84,55,46,38,0,0,0,0","135,4,0,0,0,0,0,0,4","161,0,0,0,0,0,0,0,0,0,0,0","763,115,51,32,21,19,17,14,10,1,1,1,0,0,0,0,0","2,5,127,8,57450","2,5,1144,8,1988201","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,5,4,8,4","2,5,4,8,4","2,0,0,0,0,0,0,0,0,0","15,27,6,1,4,1,0,2,1,0,1","146,109,25,18,16,6,11,11,11,5,16","18,100,4,4,4,1,2,0,1,0,2","57,1,0,0,0,0,0,0,0,0,1","2,5,43,8,394","2,5,33,8,270","0,25,78,128,328,1724,1779,28135","23260,11840,20353,16091,6664,4383,2090,3756,24648","3219,129,5,0,0,0,0,0,0,0","4,1,13,2,116,3,8,5,3","0,0,0,0,0,0,0,0,0,0","0,0,0,20,0,0,0,0,1,0,0,0","0,3,2,0,0,7,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0","1,8,1","0,0,0,0,0,0,0,0,214,174,1013,2156,11457,13052,847,15095,14342,11113,17973,796,0"
"ManagedElement=LTESite1234,ENodeBFunction=1,EUtranCellFDD=L09_LTESite1234_02",900.0,2024-05-02 06:00:00,"2,5,133,8,401","53199,0,0,0,0,0","2,5,133,8,401","698531,0,0,0,0,0","0,3737,0,3303","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","5,5,1,6,2,7,1,11,1,20,1","1875,4543,0,0,0,0,0,0,0,0,0,0,0,0","2024,1875,4543,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","1826,0,0,0,0,0,0,0,0,0,0,0","24,27,35,1","321,63,31,64,1,0,0,0","366,114,0,0,0","20,46,0,0,0,0,0,0,0,0,0,0,0,0","159,0,0,0,0","93,20,46,0,0,0,0,0","113,1,0,0,0","0,0","0,0,0,0,0","5861,352,205,0,0,0,0,0","60,0,0,0,0","2,0,27,1,33","1128,5167,2682,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1093,76,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1169,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","8960,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4598,3850,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,200243,138360,21913,3821,935,288,211","0,0,0,0,0,0,0,0,0,0","1,2,2",0,"2,5,76,8,168",0,0,0,"1,2,2",0,"2,5,71,8,154","1,8,1","1,8,12","1,8,12","3,1,9,5,317,8,438","3,1,2,5,5,8,8","1,3,13",0,0,0,0,0,0,0,"2,5,5,8,8",0,"2,5,5,8,8","1,3,21",0,0,0,0,0,0,0,0,"2,5,7,8,14",0,"2,5,7,8,14","1,3,16",0,"2,5,14,8,2","1,3,49",0,"2,5,23,8,26","3,1,1,5,73,8,142","3,1,1,5,28,8,26",0,"3,1,1,5,15,8,2","2,2,1,3,54","1,2,1","3,1,1,5,28,8,26","1,3,1","1,5,1",0,"2,5,51,8,112","2,5,48,8,111",0,"3,1,1,5,8,8,8","3,1,1,5,8,8,8",0,"0,211829,0,225330","0,2212,0,16329",0,0,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0,0,0,0",0,"0,0,0,0","0,221555,64820,385863","4,1,7044,5,35954,8,77818,12,297310","4,1,15272,5,1277404,8,253294,12,1172","515645,42962,7452,207023,46472,22770,4243,39128,7839,3710,472,1898,228,113,12,30,2,1,0,0","646418,145431,108151","678,96,44,29,20,10,10,5,2,2,3,1,0,0,0,0","421676,58555,21102,37008,38526,48392,46850,56530,29734,141627","646749,439,777,23165,24995,39022,46865,49475,33249,35264","791986,339,378,896,871,16743,35524,32802,14875,5586","900000,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","3,1,1332,5,402,8,8088","3,1,4029,5,3752,8,32226","1,8,2",0,0,"2,5,15,8,5","2,1,36,8,248","2,1,37,8,248","1,1,1","3,1,1334,5,524,8,41114","3,1,758,5,474,8,9375","3,1,1340,5,507,8,41102","1,1,37","3,1,958,5,1840,8,366127","3,1,958,5,1927,8,366184","1,1,640","1,1,36","3,1,515,5,1564,8,21823","1,1,362","4,1,11172,5,30902,8,651896,12,1795322","2,0,2268620,1,1202273",0,"4,1,311,5,124945,8,362909,12,14381","10,5,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","466,180,96,57,32,23,16,8,7,5,5,1,1,0,2,1,0,0,0,0","15,0,0,0,0,0,0,0,0,0","887,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2160,16856,153730,21316,8246,12693,6769,1369,1298,528,21,764,726,365,838,915,510,238,567,844,1346,1154,2593,6560,549,541,367,1796,2547","0,0,15,17,11,2154,28,19,48,65,0,193,186,104,143,561,0,0,0,0,0,0,0,0,0,0,0,0,0","3101,0,0,0,0,0,1,0,2,0,0,4","3103,0,0,0,0,0,0,0,0,0,0,0,0","320,12,1,8,0,0,0,0,0","0,0,0,0,0,0,0,0,0","22,18,51,301,492,977,1163,1460,1672,1306,931,574,512,554,372,431","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","49,19,68,443,485,839,1160,1358,1669,1296,888,554,516,523,282,431","5162,5418,0,0","0,0,0,0,0,0,0,0,0,0,0,163,229133,337186,327729,5790","0,0,0,0,0,0,0,0,0,0,0,0,0,863,491381,407757","0,0,0,80495,77439,0,0,0,0,0,0,0,0,0,0,0","6462,12539,34111,104908,0,0,0,0","145,25,44,69,123,145,315,508,1223,1835,1336,1035,848,1411,1202,2291","7,4,2,25,79,100,293,566,938,1606,876,850,476,387,470,2633","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,"7899,4656,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2609,2586,2459,2542,0,0,0,0","317,267,338,197,0,0,0,0","325,8,0,1,0,0,0,0,8","365,0,0,0,0,0,0,0,0,0,0,0","546,313,246,208,176,155,140,103,85,36,33,24,20,14,11,2,2","3,1,1340,5,523,8,41112","3,1,2741,5,5578,8,434607","0,0,0,0,0,0,0,0,0,2,0,0,5,2,7,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,15,50,143,193,129,70,68,29,24,19,13,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,5,9,8,11","2,5,8,8,10","9,0,0,0,0,0,0,0,0,0","21,32,23,8,5,7,13,8,13,4,29","153,284,123,60,23,33,58,49,47,38,134","44,99,32,11,17,7,13,9,6,8,39","99,32,3,5,4,2,6,5,2,2,11","3,1,43,5,287,8,445","3,1,43,5,222,8,381","8,130,560,1105,2833,4258,3808,19002","157514,103541,144863,79750,19975,3524,7582,7686,4093","6327,357,118,50,5,1,1,0,0,0","4,0,4,1,85,2,237,3,11","0,0,0,0,0,0,0,0,0,0","0,0,0,10,0,4,0,0,0,0,0,0","0,27,1,0,0,5,4,0,33,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,8,0,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,5,0,0,0,0,0,0","2,5,6,8,1","0,0,0,46,137,75,1205,3436,672,867,8024,2792,1098,1087,5259,99211,156719,82144,3003,8,0"
