begintime,sk_object,1526727202,1526727203,1526727204,1526727205,1526728766,duration
2022-03-01,812301.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812302.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812303.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812315.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812316.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812317.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812319.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812320.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812321.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812322.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812323.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812324.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812325.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812326.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812327.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812328.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812329.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812330.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812331.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812332.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812333.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812334.0,0.0,0.0,0.0,0.0,45.0,PT3600S
2022-03-01,812335.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812336.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812337.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812338.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812339.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812340.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812341.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812342.0,10.0,0.0,2.0,2.0,360.0,PT3600S
2022-03-01,812343.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812351.0,11.0,1.0,1.0,1.0,315.0,PT3600S
2022-03-01,812352.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812353.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812354.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812355.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812356.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812357.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812358.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812359.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812360.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812361.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812363.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812364.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812365.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812366.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812367.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812368.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812369.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812371.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812372.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812373.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812374.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812375.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812376.0,10.0,0.0,2.0,2.0,255.0,PT3600S
2022-03-01,812377.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812378.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812379.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812380.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812381.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812382.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812384.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812385.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812386.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812393.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812394.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812395.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812397.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812398.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812399.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812400.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812401.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812402.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812404.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812405.0,1.0,1.0,1.0,0.0,260.0,PT3600S
2022-03-01,812406.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812408.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812409.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812410.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812411.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812412.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812413.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812415.0,10.0,2.0,0.0,0.0,365.0,PT3600S
2022-03-01,812416.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812418.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812423.0,10.0,0.0,2.0,2.0,365.0,PT3600S
2022-03-01,812424.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812425.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812426.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812427.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812428.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812442.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812443.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812444.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812445.0,0.0,0.0,0.0,0.0,50.0,PT3600S
2022-03-01,812446.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812447.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812449.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812450.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812451.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812452.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812453.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812454.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812455.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812456.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812457.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812459.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812460.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812461.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812462.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812463.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812464.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812465.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812467.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812468.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812469.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812470.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812482.0,1.0,1.0,5.0,0.0,25.0,PT3600S
2022-03-01,812483.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812484.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812486.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812488.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812489.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812490.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812491.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812492.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812493.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812494.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812495.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812496.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812497.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812498.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812499.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812500.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812502.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812504.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812505.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812506.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812507.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812508.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812509.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812516.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812517.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812518.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812519.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812520.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812521.0,0.0,0.0,6.0,1.0,25.0,PT3600S
2022-03-01,812522.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812523.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812524.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812527.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812528.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812529.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812530.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812531.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812532.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812533.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812534.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812535.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812537.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812538.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812539.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812540.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812541.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812542.0,0.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01,812543.0,0.0,0.0,0.0,0.0,0.0,PT3600S
