begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.Thrp.bits.DL,L.E-RAB.AttEst.QCI.5,L.E-RAB.SuccEst.QCI.7
2022-02-11,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,498728600032.0,0.0,56895.0
2022-02-12,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,529278277584.0,0.0,61473.0
2022-02-13,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,91.66666666666667,505603445896.0,0.0,55908.0
2022-02-17,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,476992076376.0,0.0,43659.0
2022-02-18,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,661291535664.0,0.0,58027.0
2022-02-19,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,746466486032.0,0.0,56724.0
2022-02-20,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,712258383952.0,0.0,68423.0
2022-03-01,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,556181203440.0,0.0,72290.0
2022-03-02,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,639010174792.0,0.0,79042.0
2022-03-03,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,657340398072.0,0.0,83621.0
2022-03-06,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,83.33333333333333,508961066320.0,0.0,66091.0
2022-03-07,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,551050860704.0,0.0,76633.0
2022-03-09,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,4.166666666666667,45342333800.0,0.0,3974.0
2022-03-10,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,522520024080.0,0.0,67999.0
2022-03-11,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,459559479496.0,0.0,72189.0
2022-03-12,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,75.0,384101302488.0,0.0,58034.0
2022-03-13,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,79.16666666666667,362514452016.0,0.0,45515.0
2022-03-14,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,378844487896.0,0.0,59570.0
2022-03-15,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,554664308976.0,0.0,79444.0
