begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.Thrp.bits.DL,L.E-RAB.AttEst.QCI.5,L.E-RAB.SuccEst.QCI.7
2022-03-01,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,578277813512.0,0.0,147658.0
2022-03-02,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,594581403448.0,0.0,162914.0
2022-03-03,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,534488716776.0,0.0,154562.0
2022-03-06,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,91.66666666666667,510584876808.0,0.0,125237.0
2022-03-07,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,542648816536.0,0.0,150755.0
2022-03-09,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,4.166666666666667,19297074248.0,0.0,4794.0
2022-03-10,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,584895772080.0,0.0,136806.0
2022-03-11,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,629266075128.0,0.0,154656.0
2022-03-12,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,79.16666666666667,464560657728.0,0.0,123219.0
2022-03-13,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,490162696376.0,0.0,116022.0
2022-03-14,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,495252147496.0,0.0,130677.0
2022-03-15,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,479789220816.0,0.0,119211.0
2022-02-02,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=6,Cell Name=4G_COLEFARM_II-6,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",809051.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,392836275728.0,0.0,62590.0
2022-02-03,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=6,Cell Name=4G_COLEFARM_II-6,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",809051.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,417200506784.0,0.0,67211.0
2022-02-04,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=6,Cell Name=4G_COLEFARM_II-6,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",809051.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,481092980288.0,0.0,70488.0
2022-02-05,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=6,Cell Name=4G_COLEFARM_II-6,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",809051.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,520994937944.0,0.0,60304.0
2022-02-06,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=6,Cell Name=4G_COLEFARM_II-6,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",809051.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,532287878664.0,0.0,67968.0
2022-02-10,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=6,Cell Name=4G_COLEFARM_II-6,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",809051.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,573672402608.0,0.0,74448.0
