begintime,sk_object,duration,M51301C0,M51301C1,M51301C2,M51301C3,M51301C4,M51301C5,M51301C7,M51301C9
2022-03-16 23:41:00,15389.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15380.0,15,2351097.0,2760341354.0,1295174.0,306269687.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15381.0,15,3544582.0,4290476424.0,2499652.0,562643826.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15382.0,15,1198019.0,1361476530.0,691065.0,122771139.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15383.0,15,4263368.0,4777435601.0,3013344.0,677013361.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15384.0,15,1391864.0,1635849486.0,848232.0,177866030.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15385.0,15,191715.0,134082370.0,116448.0,47412157.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15386.0,15,1722558.0,2028200864.0,1129762.0,273025373.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15387.0,15,4045306.0,4636330936.0,3076879.0,715199692.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15388.0,15,611641.0,651550986.0,256263.0,40251639.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15389.0,15,2064467.0,2608174040.0,1401882.0,259200977.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15390.0,15,4979312.0,5253791041.0,3755968.0,1069454033.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15391.0,15,3657043.0,4230525176.0,2680533.0,768525976.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15392.0,15,175652.0,99674881.0,95968.0,16594269.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15393.0,15,2069269.0,2444562169.0,1241410.0,297699345.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15394.0,15,3471792.0,4026798950.0,2415721.0,481792493.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15395.0,15,635385.0,647419722.0,361870.0,105564394.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15396.0,15,1124835.0,1289658859.0,733225.0,119078529.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15397.0,15,2737572.0,3244634918.0,1558035.0,372523690.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15398.0,15,2431321.0,2742615930.0,1698106.0,395730414.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,15380.0,15,2353007.0,2743510289.0,1519644.0,366729984.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,15381.0,15,2777994.0,3187682270.0,2026469.0,436791629.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,15382.0,15,1143124.0,1400889568.0,710262.0,161793816.0,0.0,0.0,0.0,0.0
