begintime,sk_object,duration,M8910C0,M8910C1,M8910C2,M8910C3,M8910C4,M8910C5,M8910C6,M8910C7,M8910C8,M8910C9,M8910C10,M8910C11,M8910C12,M8910C13,M8910C14,M8910C15,M8910C16,M8910C17,M8910C18,M8910C19,M8910C20,M8910C21,M8910C22,M8910C23,M8910C24,M8910C25,M8910C26,M8910C27,M8910C28,M8910C29
2022-03-11 21:47:00,6575.0,13,0.0,0.0,6249424.0,2478.0,3346723464.0,4090058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 21:47:00,6591.0,13,0.0,0.0,1833968.0,19902.0,6629303624.0,24838247.0,0.0,0.0,6608.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 21:47:00,6592.0,13,0.0,0.0,68384.0,163.0,2357254912.0,1159000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 21:47:00,6599.0,13,0.0,0.0,0.0,0.0,206763040.0,186357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 21:47:00,6600.0,13,0.0,0.0,0.0,0.0,677319872.0,385484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 21:47:00,6612.0,13,0.0,0.0,406528.0,118.0,813508824.0,367681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-12 05:55:00,6576.0,5,0.0,0.0,0.0,0.0,1605176.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-12 05:55:00,6590.0,5,0.0,0.0,0.0,0.0,3057798080.0,316576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-12 05:55:00,6595.0,5,0.0,0.0,0.0,0.0,289636880.0,12925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-12 05:55:00,6601.0,5,0.0,0.0,0.0,0.0,625202672.0,46316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-12 05:55:00,6603.0,5,0.0,0.0,319024.0,72.0,2483373128.0,435634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-12 05:55:00,6616.0,5,0.0,0.0,0.0,0.0,142885192.0,6307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-12 06:50:00,6575.0,10,0.0,0.0,28040184.0,4887.0,2175911032.0,292309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-12 06:50:00,6591.0,10,0.0,0.0,13201344.0,2446.0,5186538040.0,1078181.0,0.0,0.0,21016.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-12 06:50:00,6592.0,10,0.0,0.0,0.0,0.0,1590682240.0,309864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-12 06:50:00,6599.0,10,0.0,0.0,0.0,0.0,130438968.0,23853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-12 06:50:00,6600.0,10,0.0,0.0,68952.0,1035.0,405701008.0,156832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-12 06:50:00,6612.0,10,0.0,0.0,123472.0,1133.0,2134871472.0,157997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-15 06:58:00,6575.0,2,0.0,0.0,0.0,0.0,189258064.0,60913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-15 06:58:00,6591.0,2,0.0,0.0,0.0,0.0,1670828232.0,421054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-15 06:58:00,6592.0,2,0.0,0.0,0.0,0.0,143807760.0,38574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-15 06:58:00,6599.0,2,0.0,0.0,0.0,0.0,1650408.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-15 06:58:00,6600.0,2,0.0,0.0,0.0,0.0,326562488.0,55569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-15 06:58:00,6612.0,2,0.0,0.0,0.0,0.0,28300512.0,6063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17 02:53:00,6581.0,7,0.0,0.0,68904.0,5.0,182564248.0,21701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17 02:53:00,6582.0,7,0.0,0.0,25000.0,6.0,405384.0,3111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17 02:53:00,6598.0,7,0.0,0.0,0.0,0.0,2018488.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17 02:53:00,6604.0,7,0.0,0.0,9536.0,6.0,943474240.0,60284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17 02:53:00,6605.0,7,0.0,0.0,0.0,0.0,6035568.0,15437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17 02:53:00,6606.0,7,0.0,0.0,193200.0,32.0,62744528.0,12657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17 02:54:00,6576.0,6,0.0,0.0,132928.0,35.0,2244224.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17 02:54:00,6577.0,6,0.0,0.0,0.0,0.0,52052344.0,13574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17 02:54:00,6579.0,6,0.0,0.0,824.0,1.0,82305944.0,16720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
