begintime,sk_object,duration,integrity,M8014C5,M8014C6,M8014C7,M8014C4,M8014C8,M8014C0,M8014C1,M8014C2,M8014C3,M8014C9,M8014C10,M8014C11,M8014C12,M8014C13,M8014C14,M8014C15,M8014C16,M8014C17,M8014C18,M8014C19,M8014C20,M8014C21,M8014C22,M8014C23,M8014C24,M8014C25,M8014C26,M8014C37,M8014C27,M8014C28,M8014C29,M8014C30,M8014C31,M8014C32,M8014C33,M8014C34,M8014C35,M8014C36,M8014C38,M8014C39,M8014C40,M8014C41,M8014C42,M8014C43,M8014C44,M8014C45,M8014C46,M8014C47,M8014C48,M8014C49,M8014C50,M8014C51,M8014C52,M8014C53,M8014C54,M8014C55,M8014C56,M8014C57,M8014C58,M8014C59,M8014C60,M8014C61,M8014C62,M8014C63,M8014C64
2022-03-12,913.0,10.0,0.6944444444444444,0.0,5.0,5.0,,0.0,5.0,,0.0,0.0,,,,,,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2022-03-19,86861.0,4.0,0.2777777777777778,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2022-03-17,930.0,7.0,0.4861111111111111,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2022-03-17,918.0,6.0,0.4166666666666667,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2022-03-19,86866.0,4.0,0.2777777777777778,0.0,12.0,12.0,,0.0,12.0,,0.0,0.0,,,,,,50.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2022-03-17,932.0,6.0,0.4166666666666667,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2022-03-19,944.0,16.0,1.1111111111111112,3.0,142.0,135.0,,0.0,202.0,,55.0,1.0,,,,,,610.0,25.0,0.0,445.0,140.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,
2022-03-11,949.0,13.0,0.9027777777777778,0.0,14.0,14.0,,0.0,14.0,,0.0,0.0,,,,,,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2022-03-17,943.0,6.0,0.4166666666666667,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2022-03-12,942.0,5.0,0.3472222222222222,69.0,19.0,19.0,,0.0,88.0,,0.0,0.0,,,,,,21.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
