table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,character_set_catalog,character_set_schema,character_set_name,collation_catalog,collation_schema,collation_name,domain_catalog,domain_schema,domain_name,udt_catalog,udt_schema,udt_name,scope_catalog,scope_schema,scope_name,maximum_cardinality,dtd_identifier,is_self_referencing,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_updatable
postgres,public,hourly_huawei_nodeb_1542455297,begintime,1,,NO,timestamp without time zone,,,,,,6.0,,,,,,,,,,,,postgres,pg_catalog,timestamp,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_nodeb_1542455297,sk_object,2,,NO,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_nodeb_1542455297,duration,3,,NO,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_nodeb_1542455297,integrity,4,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_nodeb_1542455297,1542455297,5,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_nodeb_1542455297,1542455298,6,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,6,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_nodeb_1542455297,1542455299,7,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,7,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_nodeb_1542455297,1542455300,8,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,8,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_nodeb_1542455297,1542455301,9,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,9,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_nodeb_1542455297,1542455302,10,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,10,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_nodeb_1542455297,1542455303,11,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,11,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_nodeb_1542455297,1542455304,12,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,12,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_nodeb_1542455297,1542455305,13,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,13,NO,NO,,,,,,NO,NEVER,,YES
postgres,public,hourly_huawei_nodeb_1542455297,1542455306,14,,YES,numeric,,,,10.0,,,,,,,,,,,,,,postgres,pg_catalog,numeric,,,,,14,NO,NO,,,,,,NO,NEVER,,YES
