log_id,created_date,execid,main_module,sub_module,sql_stmt,loglevel,message,err_message,source_table,target_table,no_records,execution_time,parameter_name,parameter_value
341506,2023-08-12 07:00:27.885571,,,create_index,,info,Index is created successfully,,hourly_ericsson_rbs_20000073_v,,,,,
341507,2023-08-12 07:00:27.885571,,,create_index,,info,Start creating index ,,daily_ericsson_rbs_20000073_v,,,,,
341508,2023-08-12 07:00:27.885571,,,create_index,,info,Index is created successfully,,daily_ericsson_rbs_20000073_v,,,,,
341509,2023-08-12 07:00:31.035863,,,create_index,,info,Start creating index ,,det_ericsson_rbs_20000077_v,,,,,
341510,2023-08-12 07:00:31.035863,,,create_index,,info,Index is created successfully,,det_ericsson_rbs_20000077_v,,,,,
341511,2023-08-12 07:00:31.035863,,,create_index,,info,Start creating index ,,hourly_ericsson_rbs_20000077_v,,,,,
341512,2023-08-12 07:00:31.035863,,,create_index,,info,Index is created successfully,,hourly_ericsson_rbs_20000077_v,,,,,
341513,2023-08-12 07:00:31.035863,,,create_index,,info,Start creating index ,,daily_ericsson_rbs_20000077_v,,,,,
341514,2023-08-12 07:00:31.035863,,,create_index,,info,Index is created successfully,,daily_ericsson_rbs_20000077_v,,,,,
341515,2023-08-12 07:00:34.619256,,,create_index,,info,Start creating index ,,det_ericsson_rbs_20000080_v,,,,,
341516,2023-08-12 07:00:34.619256,,,create_index,,info,Index is created successfully,,det_ericsson_rbs_20000080_v,,,,,
341517,2023-08-12 07:00:34.619256,,,create_index,,info,Start creating index ,,hourly_ericsson_rbs_20000080_v,,,,,
341518,2023-08-12 07:00:34.619256,,,create_index,,info,Index is created successfully,,hourly_ericsson_rbs_20000080_v,,,,,
341519,2023-08-12 07:00:34.619256,,,create_index,,info,Start creating index ,,daily_ericsson_rbs_20000080_v,,,,,
341520,2023-08-12 07:00:34.619256,,,create_index,,info,Index is created successfully,,daily_ericsson_rbs_20000080_v,,,,,
341521,2023-08-12 07:00:38.189763,,,create_index,,info,Start creating index ,,det_ericsson_rbs_20000098_v,,,,,
341522,2023-08-12 07:00:38.189763,,,create_index,,info,Index is created successfully,,det_ericsson_rbs_20000098_v,,,,,
341523,2023-08-12 07:00:38.189763,,,create_index,,info,Start creating index ,,hourly_ericsson_rbs_20000098_v,,,,,
341524,2023-08-12 07:00:38.189763,,,create_index,,info,Index is created successfully,,hourly_ericsson_rbs_20000098_v,,,,,
341525,2023-08-12 07:00:38.189763,,,create_index,,info,Start creating index ,,daily_ericsson_rbs_20000098_v,,,,,
341526,2023-08-12 07:00:38.189763,,,create_index,,info,Index is created successfully,,daily_ericsson_rbs_20000098_v,,,,,
341527,2024-10-06 06:54:13.353541,,,neteye_create_missing_table_query,,info,,"The requsted table type is not correct , please ensure the table type is one of values (config_base or config_hist). The passed table_type is config",temp_huawei_BSC6900GSM_BRD,,,,,
341528,2024-10-06 11:47:22.972539,,,neteye_create_missing_table_query,,info,,"The requsted table type is not correct , please ensure the table type is one of values (config_base or config_hist). The passed table_type is config",temp_huawei_BSC6900GSM_BRD,,,,,
341529,2024-10-06 12:17:58.635531,,,create_index,,info,,The passed column name config_begintime is not available in the passed table ,config_huawei_bts3900_mpt_hist,,,,,
