begintime,duration,object,20001370,20001371,20001372,20001373,20001374,20001375,20001376,20001377,20001378,20001379,20001380,20001381
2021-09-26 21:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3","['512.0', '0.0', '0.0', '6.0', '18.0', '65.0', '209.0', '178.0', '167.0', '169.0', '88.0']","['512.0', '900.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 19:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1","['1024.0', '0.0', '0.0', '3.0', '9.0', '70.0', '276.0', '235.0', '181.0', '104.0', '22.0']","['1024.0', '900.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 20:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1","['512.0', '0.0', '0.0', '0.0', '0.0', '7.0', '24.0', '30.0', '93.0', '305.0', '441.0']","['512.0', '867.0', '33.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 20:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3","['512.0', '0.0', '0.0', '2.0', '19.0', '83.0', '178.0', '140.0', '192.0', '187.0', '99.0']","['512.0', '900.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 21:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1","['1024.0', '0.0', '0.0', '0.0', '8.0', '99.0', '373.0', '196.0', '145.0', '61.0', '18.0']","['1024.0', '900.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 21:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1","['512.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '5.0', '22.0', '180.0', '693.0']","['512.0', '861.0', '39.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 21:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3","['512.0', '0.0', '0.0', '1.0', '15.0', '87.0', '186.0', '146.0', '175.0', '192.0', '98.0']","['512.0', '899.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 20:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1","['1024.0', '0.0', '0.0', '0.0', '3.0', '31.0', '209.0', '222.0', '228.0', '166.0', '41.0']","['1024.0', '899.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 20:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1","['512.0', '0.0', '0.0', '0.0', '5.0', '20.0', '52.0', '58.0', '67.0', '230.0', '468.0']","['512.0', '874.0', '26.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 20:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3","['512.0', '0.0', '0.0', '0.0', '19.0', '55.0', '132.0', '134.0', '193.0', '247.0', '120.0']","['512.0', '900.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 21:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1","['1024.0', '0.0', '0.0', '0.0', '3.0', '91.0', '280.0', '193.0', '192.0', '107.0', '34.0']","['1024.0', '900.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 21:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1","['512.0', '0.0', '0.0', '0.0', '1.0', '10.0', '34.0', '34.0', '85.0', '217.0', '519.0']","['512.0', '864.0', '36.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 21:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3","['512.0', '0.0', '0.0', '0.0', '6.0', '40.0', '161.0', '135.0', '213.0', '234.0', '111.0']","['512.0', '900.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 21:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1","['1024.0', '0.0', '0.0', '1.0', '43.0', '203.0', '334.0', '146.0', '121.0', '44.0', '8.0']","['1024.0', '900.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 21:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1","['512.0', '0.0', '0.0', '1.0', '2.0', '6.0', '25.0', '47.0', '96.0', '260.0', '463.0']","['512.0', '865.0', '35.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 21:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3","['512.0', '0.0', '0.0', '1.0', '14.0', '56.0', '169.0', '134.0', '175.0', '236.0', '115.0']","['512.0', '900.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 20:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1","['1024.0', '0.0', '0.0', '0.0', '1.0', '40.0', '232.0', '199.0', '221.0', '167.0', '40.0']","['1024.0', '900.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 20:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1","['512.0', '0.0', '0.0', '0.0', '2.0', '16.0', '59.0', '37.0', '82.0', '169.0', '535.0']","['512.0', '822.0', '77.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 20:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3","['512.0', '0.0', '0.0', '8.0', '36.0', '109.0', '238.0', '127.0', '154.0', '156.0', '72.0']","['512.0', '900.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 21:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1","['1024.0', '0.0', '0.0', '12.0', '231.0', '397.0', '197.0', '43.0', '13.0', '5.0', '2.0']","['1024.0', '900.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 22:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1","['512.0', '0.0', '0.0', '0.0', '1.0', '12.0', '36.0', '57.0', '152.0', '304.0', '338.0']","['512.0', '877.0', '23.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 22:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3","['512.0', '0.0', '2.0', '17.0', '59.0', '172.0', '250.0', '136.0', '121.0', '103.0', '40.0']","['512.0', '899.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 22:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1","['1024.0', '0.0', '0.0', '10.0', '110.0', '419.0', '304.0', '38.0', '13.0', '5.0', '1.0']","['1024.0', '900.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 22:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1","['512.0', '0.0', '1.0', '7.0', '14.0', '7.0', '30.0', '63.0', '143.0', '356.0', '279.0']","['512.0', '891.0', '8.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 22:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3","['512.0', '0.0', '13.0', '64.0', '158.0', '205.0', '228.0', '73.0', '61.0', '63.0', '35.0']","['512.0', '900.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 22:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1","['1024.0', '0.0', '0.0', '3.0', '37.0', '285.0', '446.0', '87.0', '23.0', '16.0', '3.0']","['1024.0', '900.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 22:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1","['512.0', '0.0', '0.0', '0.0', '2.0', '9.0', '52.0', '85.0', '210.0', '327.0', '215.0']","['512.0', '899.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 22:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3","['512.0', '0.0', '3.0', '16.0', '86.0', '213.0', '253.0', '102.0', '91.0', '90.0', '46.0']","['512.0', '900.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 22:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1","['1024.0', '0.0', '0.0', '41.0', '301.0', '417.0', '125.0', '15.0', '1.0', '0.0', '0.0']","['1024.0', '900.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 22:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1","['512.0', '0.0', '0.0', '0.0', '1.0', '17.0', '80.0', '132.0', '232.0', '283.0', '155.0']","['512.0', '897.0', '3.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 22:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3","['512.0', '0.0', '121.0', '225.0', '279.0', '157.0', '75.0', '21.0', '13.0', '5.0', '4.0']","['512.0', '900.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
2021-09-26 22:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1","['1024.0', '0.0', '5.0', '104.0', '258.0', '328.0', '166.0', '33.0', '6.0', '0.0', '0.0']","['1024.0', '900.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']",,,,,,,,,,
