begintime,sk_object,duration,integrity,73426965,73426966,73430906,73430907,73430908,73430909,73430910,73430911,73443300,73443301,73446363,73446476,73446477
2022-02-04,7671786.0,86400.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-02-18,7671786.0,86400.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-03-02,7671786.0,86400.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-02-06,7671786.0,86400.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-03-11,7671786.0,86400.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-03-10,7671786.0,79200.0,91.66666666666667,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-03-15,7671786.0,82800.0,95.83333333333333,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-03-07,7671786.0,82800.0,95.83333333333333,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-02-08,7671786.0,86400.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-02-13,7671786.0,86400.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-02-03,7671786.0,86400.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-02-19,7671786.0,86400.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-02-10,7671786.0,86400.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-03-12,7671786.0,68400.0,79.16666666666667,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-03-14,7671786.0,86400.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-03-01,7671786.0,86400.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-03-03,7671786.0,86400.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-02-11,7671786.0,86400.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-03-13,7671786.0,75600.0,87.5,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-02-12,7671786.0,86400.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-02-20,7671786.0,86400.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-03-06,7671786.0,79200.0,91.66666666666667,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-02-17,7671786.0,75600.0,87.5,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-02-05,7671786.0,86400.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
2022-03-09,7671786.0,3600.0,4.166666666666667,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
