node_id,node_name,tech,domain,type,vendor,lat,long,azimuth,Zone,district,region
3,G09_Banjul Tower_1,2G,Radio,cell,Huawei,13.458224,-16.584069,60,GBA,Banjul,Banjul
4,G09_Banjul Tower_2,2G,Radio,cell,Huawei,13.458224,-16.584069,170,GBA,Banjul,Banjul
5,G09_Banjul Tower_3,2G,Radio,cell,Huawei,13.458224,-16.584069,280,GBA,Banjul,Banjul
6,G09_HQ_1,2G,Radio,cell,Huawei,13.455589,-16.683532,0,GBA,Kanifing,Kanifing Municipality
8,G09_Kaiaf_2,2G,Radio,cell,Huawei,13.411158,-15.610371,170,Rural,Kiang East,Lower River Region
9,G09_Dobson_1,2G,Radio,cell,Huawei,13.449784,-16.575675,130,GBA,Banjul,Banjul
10,G09_Dobson_2,2G,Radio,cell,Huawei,13.449784,-16.575675,215,GBA,Banjul,Banjul
11,G09_Dobson_3,2G,Radio,cell,Huawei,13.449784,-16.575675,320,GBA,Banjul,Banjul
15,G09_Kaiaf_3,2G,Radio,cell,Huawei,13.411158,-15.610371,280,Rural,Kiang East,Lower River Region
16,G09_Kaur_1,2G,Radio,cell,Huawei,13.697851,-15.326958,60,Rural,Sabach - Sanjal,North Bank Region
17,G09_Kaur_2,2G,Radio,cell,Huawei,13.697851,-15.326958,140,Rural,Sabach - Sanjal,North Bank Region
19,G09_Airport_1,2G,Radio,cell,Huawei,13.349056,-16.658,100,GBA,Kombo North,Western Region
20,G09_Airport_2,2G,Radio,cell,Huawei,13.349056,-16.658,230,GBA,Kombo North,Western Region
21,G09_Airport_3,2G,Radio,cell,Huawei,13.349056,-16.658,330,GBA,Kombo North,Western Region
22,G09_Arab Islamic Bank_1,2G,Radio,cell,Huawei,13.445166,-16.674637,90,GBA,Kanifing,Kanifing Municipality
23,G09_Arab Islamic Bank_2,2G,Radio,cell,Huawei,13.445166,-16.674637,190,GBA,Kanifing,Kanifing Municipality
24,G09_Arab Islamic Bank_3,2G,Radio,cell,Huawei,13.445166,-16.674637,330,GBA,Kanifing,Kanifing Municipality
