NE Name,fdn,MOIndex,SCTPNO,className,name,neID
3G_ADONKIA,"NE=1023,SCTPLNK=1",779_1,1,BTS3900SCTPLNK,Link No.=1,779
3G_ADONKIA,"NE=1023,SCTPLNK=0",779_0,0,BTS3900SCTPLNK,Link No.=0,779
3G_ALKALIA,"NE=1346,SCTPLNK=0",1102_0,0,BTS3900SCTPLNK,Link No.=0,1102
3G_ALKALIA,"NE=1346,SCTPLNK=1",1102_1,1,BTS3900SCTPLNK,Link No.=1,1102
3G_ALLENTOWN,"NE=986,SCTPLNK=1",742_1,1,BTS3900SCTPLNK,Link No.=1,742
3G_ALLENTOWN,"NE=986,SCTPLNK=0",742_0,0,BTS3900SCTPLNK,Link No.=0,742
3G_ABERDEEN,"NE=339,SCTPLNK=1",85_1,1,BTS3900SCTPLNK,Link No.=1,85
3G_ABERDEEN,"NE=339,SCTPLNK=0",85_0,0,BTS3900SCTPLNK,Link No.=0,85
3G_ADAMSTREET,"NE=1071,SCTPLNK=0",827_0,0,BTS3900SCTPLNK,Link No.=0,827
3G_ADAMSTREET,"NE=1071,SCTPLNK=1",827_1,1,BTS3900SCTPLNK,Link No.=1,827
3G_ADDAX,"NE=885,SCTPLNK=1",641_1,1,BTS3900SCTPLNK,Link No.=1,641
3G_ADDAX,"NE=885,SCTPLNK=0",641_0,0,BTS3900SCTPLNK,Link No.=0,641
