begintime,ne_name,ne_type,vendor,integrity,HU LTE_RRC SR%,HU LTE_ERAB Setup SR%,HU LTE_ERAB Drop%,id
2024-03-14,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=1,Cell Name=4G_ABERDEEN-1,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9708,99.8996,0.0327,1
2024-03-14,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=2,Cell Name=4G_ABERDEEN-2,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9674,99.8828,0.0242,2
2024-03-14,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9849,99.9403,0.0122,3
2024-03-14,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=7,Cell Name=4G_ABERDEEN-7,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9948,99.9615,0.0037,4
2024-03-14,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA,Local Cell ID=1,Cell Name=4G_ADONKIA-1,eNodeB ID=5059,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,99.9812,99.9457,0.0158,5
2024-03-14,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA,Local Cell ID=2,Cell Name=4G_ADONKIA-2,eNodeB ID=5059,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,99.983,99.8929,0.0254,6
2024-03-14,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA,Local Cell ID=3,Cell Name=4G_ADONKIA-3,eNodeB ID=5059,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,99.9793,99.7319,0.0401,7
2024-03-14,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA,Local Cell ID=6,Cell Name=4G_ADONKIA-6,eNodeB ID=5059,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,99.9867,99.8171,0.0083,8
2024-03-14,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA,Local Cell ID=7,Cell Name=4G_ADONKIA-7,eNodeB ID=5059,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,99.9845,99.9559,0.007,9
2024-03-14,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA,Local Cell ID=8,Cell Name=4G_ADONKIA-8,eNodeB ID=5059,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,99.9762,99.8577,0.0039,10
2024-03-14,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9196,98.1415,0.0246,11
2024-03-14,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=2,Cell Name=4G_ALLENTOWN-2,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9526,98.2251,0.024,12
2024-03-14,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9188,98.1346,0.0245,13
2024-03-14,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=6,Cell Name=4G_ALLENTOWN-6,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.8753,98.0413,0.045,14
2024-03-14,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=7,Cell Name=4G_ALLENTOWN-7,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9191,98.3665,0.0124,15
2024-03-14,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=8,Cell Name=4G_ALLENTOWN-8,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9473,98.4662,0.0054,16
2024-03-14,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=1,Cell Name=4G_ALLENTOWN_II-1,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9843,99.8255,0.0312,17
2024-03-14,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=2,Cell Name=4G_ALLENTOWN_II-2,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9715,99.7083,0.039,18
2024-03-14,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=3,Cell Name=4G_ALLENTOWN_II-3,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9549,99.3753,0.0502,19
2024-03-14,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=6,Cell Name=4G_ALLENTOWN_II-6,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9889,99.8482,0.009,20
2024-03-14,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=7,Cell Name=4G_ALLENTOWN_II-7,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9719,99.887,0.0079,21
2024-03-14,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=8,Cell Name=4G_ALLENTOWN_II-8,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9839,99.8811,0.0064,22
2024-03-14,"4G_BAOMAHUN/Cell:eNodeB Function Name=4G_BAOMAHUN,Local Cell ID=1,Cell Name=4G_BAOMAHUN-1,eNodeB ID=5106,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9912,99.6193,0.2474,23
2024-03-14,"4G_BAOMAHUN/Cell:eNodeB Function Name=4G_BAOMAHUN,Local Cell ID=2,Cell Name=4G_BAOMAHUN-2,eNodeB ID=5106,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,100.0,99.7351,0.3979,24
2024-03-14,"4G_BAOMAHUN/Cell:eNodeB Function Name=4G_BAOMAHUN,Local Cell ID=3,Cell Name=4G_BAOMAHUN-3,eNodeB ID=5106,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9444,99.9605,0.0394,25
2024-03-14,"4G_BARGBORHILL_II/Cell:eNodeB Function Name=4G_BARGBORHILL_II,Local Cell ID=1,Cell Name=4G_BARGBORHILL_II-1,eNodeB ID=5042,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9504,99.7851,0.1694,26
2024-03-14,"4G_BARGBORHILL_II/Cell:eNodeB Function Name=4G_BARGBORHILL_II,Local Cell ID=2,Cell Name=4G_BARGBORHILL_II-2,eNodeB ID=5042,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9383,99.8202,0.145,27
2024-03-14,"4G_BARGBORHILL_II/Cell:eNodeB Function Name=4G_BARGBORHILL_II,Local Cell ID=3,Cell Name=4G_BARGBORHILL_II-3,eNodeB ID=5042,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9574,99.7626,0.1778,28
2024-03-14,"4G_BARMOI/Cell:eNodeB Function Name=4G_BARMOI,Local Cell ID=1,Cell Name=4G_BARMOI-1,eNodeB ID=5129,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.8631,99.8452,0.0931,29
2024-03-14,"4G_BARMOI/Cell:eNodeB Function Name=4G_BARMOI,Local Cell ID=2,Cell Name=4G_BARMOI-2,eNodeB ID=5129,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9134,99.7366,0.1345,30
2024-03-14,"4G_BARMOI/Cell:eNodeB Function Name=4G_BARMOI,Local Cell ID=3,Cell Name=4G_BARMOI-3,eNodeB ID=5129,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9565,99.4103,0.1052,31
2024-03-14,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI,Local Cell ID=1,Cell Name=4G_BINTUMANI-1,eNodeB ID=5006,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9149,99.8741,0.0386,32
2024-03-14,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI,Local Cell ID=2,Cell Name=4G_BINTUMANI-2,eNodeB ID=5006,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.8672,99.8371,0.0595,33
2024-03-14,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI,Local Cell ID=3,Cell Name=4G_BINTUMANI-3,eNodeB ID=5006,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9802,99.9666,0.0029,34
2024-03-14,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI,Local Cell ID=6,Cell Name=4G_BINTUMANI-6,eNodeB ID=5006,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9914,99.9844,0.0069,35
2024-03-14,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI,Local Cell ID=7,Cell Name=4G_BINTUMANI-7,eNodeB ID=5006,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9806,99.9547,0.0085,36
2024-03-14,"4G_BLACKHALLROAD_II/Cell:eNodeB Function Name=4G_BLACKHALLROAD_II,Local Cell ID=1,Cell Name=4G_BLACKHALLROAD_II-1,eNodeB ID=5028,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9409,99.8385,0.0187,37
2024-03-14,"4G_BLACKHALLROAD_II/Cell:eNodeB Function Name=4G_BLACKHALLROAD_II,Local Cell ID=2,Cell Name=4G_BLACKHALLROAD_II-2,eNodeB ID=5028,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9381,99.3726,0.017,38
2024-03-14,"4G_BLACKHALLROAD_II/Cell:eNodeB Function Name=4G_BLACKHALLROAD_II,Local Cell ID=3,Cell Name=4G_BLACKHALLROAD_II-3,eNodeB ID=5028,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.9569,99.8254,0.0153,39
2024-03-14,"4G_BLACKHALLROAD_II/Cell:eNodeB Function Name=4G_BLACKHALLROAD_II,Local Cell ID=7,Cell Name=4G_BLACKHALLROAD_II-7,eNodeB ID=5028,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99.987,99.9039,0.0089,40
