begintime,ne_name,ne_type,vendor,integrity,ahmed KPI,id
2022-02-02,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,55477512277048.0,1
2022-02-02,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,93.98,50107243655408.0,2
2022-02-02,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.25,91422516479000.0,3
2022-02-03,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,98.25,59322535721424.0,4
2022-02-03,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.75,52928722956208.0,5
2022-02-03,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,97197908589424.0,6
2022-02-04,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,58256939444280.0,7
2022-02-04,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,51336886122992.0,8
2022-02-04,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.48,95268725463560.0,9
2022-02-05,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,57545347963504.0,10
2022-02-05,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,49379014132376.0,11
2022-02-05,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,94798471120032.0,12
2022-02-06,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,58409862928784.0,13
2022-02-06,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.75,48687370167560.0,14
2022-02-06,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,96651061788800.0,15
2022-02-08,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,42525356340784.0,16
2022-02-08,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.65,36002805261072.0,17
2022-02-08,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,89866486163680.0,18
2022-02-10,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,57205640728856.0,19
2022-02-10,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,50613259849160.0,20
2022-02-10,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,99776340900144.0,21
2022-02-11,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,57709408135944.0,22
2022-02-11,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,49993031316272.0,23
2022-02-11,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.79,97027156709704.0,24
2022-02-12,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,61111955510472.0,25
2022-02-12,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,98.27,48921590661552.0,26
2022-02-12,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.89,100036754979304.0,27
2022-02-13,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,61328422579680.0,28
2022-02-13,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.79,48683495156800.0,29
2022-02-13,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.74,97650099412032.0,30
2022-02-17,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,87.5,52173411202232.0,31
2022-02-17,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,86.88,45717666330592.0,32
2022-02-17,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,87.5,86917950741616.0,33
2022-02-18,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,60401082729544.0,34
2022-02-18,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,97.9,50944841015760.0,35
2022-02-18,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,101739873295392.0,36
2022-02-19,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,59408998066520.0,37
2022-02-19,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.88,50086239446248.0,38
2022-02-19,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.66,98375171695704.0,39
2022-02-20,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,60331425237368.0,40
2022-02-20,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.63,50313884106768.0,41
2022-02-20,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,100328072996144.0,42
2022-03-01,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,57788680614672.0,43
2022-03-01,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.67,51844948324480.0,44
2022-03-01,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.36,98781316460496.0,45
2022-03-02,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,57725917230904.0,46
2022-03-02,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,53829821879000.0,47
2022-03-02,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.94,100791366388728.0,48
2022-03-03,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,60866901249096.0,49
2022-03-03,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,54387323165336.0,50
2022-03-03,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.1,99217288205152.0,51
2022-03-06,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,58645500768536.0,52
2022-03-06,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,49268264417968.0,53
2022-03-06,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,91.41,96074086741584.0,54
2022-03-07,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,58518843738768.0,55
2022-03-07,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.67,50492143371336.0,56
2022-03-07,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.4,97840312022160.0,57
2022-03-09,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,4.17,3367529679952.0,58
2022-03-09,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,4.17,2701406231576.0,59
2022-03-09,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,4.17,5345274584688.0,60
2022-03-10,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,58490747734840.0,61
2022-03-10,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,94.84,51615096245480.0,62
2022-03-10,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,96042801540600.0,63
2022-03-11,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,60829301896272.0,64
2022-03-11,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,53427284312928.0,65
2022-03-11,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,98.86,101091300026312.0,66
2022-03-12,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,79.17,52385498809704.0,67
2022-03-12,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,79.0,44531092920240.0,68
2022-03-12,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,77.77,85686219669736.0,69
2022-03-13,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,87.5,54272960796128.0,70
2022-03-13,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,87.5,45080470652064.0,71
2022-03-13,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,87.12,88111126512920.0,72
2022-03-14,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.77,51835815039224.0,73
2022-03-14,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.5,43345186042424.0,74
2022-03-14,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.05,90815397696360.0,75
2022-03-15,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,98.97,52598586013176.0,76
2022-03-15,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.88,49575733815304.0,77
2022-03-15,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,94246354573408.0,78
