begintime,sk_object,duration,integrity,1526727202,1526727203,1526727204,1526727205,1526728766
2022-03-14,813353.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,812595.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-12,810514.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-04,812796.0,86400.0,100.0,6.0,0.0,1.0,1.0,1250.0
2022-02-05,813173.0,86400.0,100.0,2.0,0.0,1.0,1.0,220.0
2022-03-11,812848.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,813146.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-03,812982.0,86400.0,100.0,13.0,0.0,1.0,1.0,200.0
2022-03-12,812819.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0,0.0
2022-03-13,813569.0,79200.0,91.66666666666667,21.0,11.0,9.0,9.0,3690.0
2022-02-11,812708.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-12,812721.0,86400.0,100.0,5.0,4.0,0.0,0.0,15.0
2022-03-13,813508.0,79200.0,91.66666666666667,2.0,2.0,14.0,0.0,165.0
2022-03-02,812609.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,813370.0,86400.0,100.0,1.0,1.0,13.0,0.0,120.0
2022-02-17,813318.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0
2022-02-06,812445.0,86400.0,100.0,6.0,2.0,3.0,1.0,455.0
2022-03-12,818320.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0,0.0
2022-02-11,812453.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,813643.0,86400.0,100.0,1.0,0.0,1.0,1.0,10445.0
2022-03-13,812233.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0
2022-02-04,812893.0,86400.0,100.0,2.0,0.0,1.0,1.0,215.0
2022-02-17,832676.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0
2022-02-04,812548.0,86400.0,100.0,1.0,0.0,1.0,1.0,1795.0
2022-03-15,812292.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,817817.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0
2022-03-15,832679.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,812418.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-11,812262.0,86400.0,100.0,3.0,0.0,1.0,1.0,1435.0
2022-03-06,812839.0,79200.0,91.66666666666667,4.0,1.0,0.0,0.0,2670.0
2022-02-03,812721.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-08,812837.0,86400.0,100.0,6.0,1.0,1.0,1.0,240.0
2022-03-07,813434.0,75600.0,87.5,1.0,1.0,1.0,0.0,45.0
2022-02-03,812749.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,812866.0,82800.0,95.83333333333333,3.0,0.0,1.0,1.0,220.0
2022-03-14,812620.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,812741.0,86400.0,100.0,4.0,1.0,2.0,2.0,6730.0
2022-02-10,812990.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,813388.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,812632.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-08,813394.0,86400.0,100.0,2.0,0.0,1.0,1.0,260.0
2022-03-03,813697.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-06,812757.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0
2022-02-06,813265.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-04,812173.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
