begintime,sk_object,duration,integrity,67194787,67194788,67194793,67194794,67194795,67194796,67196162,73442016,73442017
2022-02-08 18:00:00,7669174.0,3600.0,100.0,578154.0,578154.0,568512.0,568508.0,7102.0,6708.0,0.0,,
2022-03-11 05:00:00,7669222.0,3600.0,100.0,31.0,31.0,31.0,31.0,748.0,748.0,0.0,,
2022-03-07 17:00:00,7669025.0,3600.0,100.0,2772.0,2772.0,2772.0,2772.0,1340.0,1340.0,0.0,,
2022-03-06 19:00:00,7668991.0,3600.0,100.0,229527.0,229527.0,230094.0,230094.0,5932.0,4622.0,0.0,,
2022-02-13 04:00:00,7669255.0,3600.0,100.0,117.0,117.0,117.0,117.0,1660.0,1660.0,0.0,,
2022-03-13 06:00:00,7669027.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-13 13:00:00,7669079.0,3600.0,100.0,99650.0,99650.0,95250.0,95235.0,2066.0,1961.0,0.0,,
2022-03-15 21:00:00,7669113.0,3600.0,100.0,277971.0,277971.0,279901.0,279901.0,7656.0,6836.0,0.0,,
2022-03-07 19:00:00,7669199.0,3600.0,100.0,387086.0,387086.0,378701.0,378701.0,5607.0,5042.0,0.0,,
2022-02-11 03:00:00,7669062.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-15 20:00:00,7669269.0,3600.0,100.0,71908.0,71908.0,70644.0,70644.0,822.0,717.0,0.0,,
2022-02-10 17:00:00,7669233.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-02-08 20:00:00,7669213.0,3600.0,100.0,228242.0,228242.0,227611.0,227611.0,3979.0,3431.0,0.0,,
2022-02-19 15:00:00,7669162.0,3600.0,100.0,706.0,706.0,706.0,706.0,1081.0,1081.0,0.0,,
2022-02-06 18:00:00,7669249.0,3600.0,100.0,349064.0,349064.0,340983.0,340983.0,5679.0,4867.0,0.0,,
2022-03-11 09:00:00,7669048.0,3600.0,100.0,117713.0,117713.0,115494.0,115494.0,1986.0,1599.0,0.0,,
2022-03-15 23:00:00,7669065.0,3600.0,100.0,317019.0,317019.0,313632.0,313632.0,4207.0,3835.0,0.0,,
2022-02-08 07:00:00,7669152.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-10 17:00:00,7669099.0,3600.0,100.0,498108.0,498108.0,488785.0,488785.0,9126.0,7987.0,0.0,,
2022-03-10 23:00:00,7669184.0,3600.0,100.0,247223.0,247223.0,243459.0,243459.0,3871.0,3157.0,0.0,,
2022-02-12 07:00:00,7669154.0,3600.0,100.0,182814.0,182814.0,179618.0,179620.0,1856.0,1741.0,0.0,,
2022-03-10 21:00:00,7669211.0,3600.0,100.0,226086.0,226086.0,218468.0,218468.0,7586.0,7264.0,0.0,,
2022-03-10 06:00:00,7669190.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-07 13:00:00,7669031.0,3600.0,100.0,156621.0,156621.0,157668.0,157668.0,3896.0,3072.0,0.0,,
2022-02-08 04:00:00,7669231.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-02-03 01:00:00,7669051.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-02-08 05:00:00,7669250.0,3600.0,100.0,25.0,25.0,25.0,25.0,696.0,696.0,0.0,,
2022-02-19 12:00:00,7669101.0,3600.0,100.0,64387.0,64387.0,63789.0,63789.0,559.0,544.0,0.0,,
2022-03-09 23:00:00,7669046.0,3600.0,100.0,5568.0,5568.0,5568.0,5568.0,2354.0,2286.0,0.0,,
2022-02-20 11:00:00,7669051.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-14 18:00:00,7669032.0,3600.0,100.0,642.0,642.0,642.0,642.0,440.0,440.0,0.0,,
2022-02-18 10:00:00,7669203.0,3600.0,100.0,460077.0,460077.0,443727.0,443725.0,10269.0,9579.0,0.0,,
2022-03-07 15:00:00,7669019.0,3600.0,100.0,325270.0,325270.0,318265.0,318261.0,7268.0,6478.0,0.0,,
2022-02-20 02:00:00,7669140.0,3600.0,100.0,98380.0,98380.0,97438.0,97438.0,602.0,555.0,0.0,,
2022-02-05 17:00:00,7669056.0,3600.0,100.0,681773.0,681773.0,0.0,0.0,0.0,0.0,0.0,,
2022-02-19 01:00:00,7669207.0,3600.0,100.0,91.0,91.0,91.0,91.0,857.0,857.0,0.0,,
2022-02-20 10:00:00,7669131.0,3600.0,100.0,3295.0,3295.0,3295.0,3295.0,1455.0,1455.0,0.0,,
2022-03-06 06:00:00,65323202.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-07 22:00:00,7669241.0,3600.0,100.0,1346.0,1346.0,1346.0,1346.0,812.0,812.0,0.0,,
2022-02-18 11:00:00,7669265.0,3600.0,100.0,1802.0,1802.0,1802.0,1802.0,1518.0,1518.0,0.0,,
2022-02-06 06:00:00,7669191.0,3600.0,100.0,174.0,174.0,174.0,174.0,1229.0,1229.0,0.0,,
2022-03-07 16:00:00,7669026.0,3600.0,100.0,577.0,577.0,577.0,577.0,1543.0,1543.0,0.0,,
2022-03-10 05:00:00,7669068.0,3600.0,100.0,58202.0,58202.0,57499.0,57499.0,252.0,245.0,0.0,,
2022-03-11 09:00:00,7669158.0,3600.0,100.0,1757.0,1757.0,1757.0,1757.0,1310.0,1310.0,0.0,,
2022-02-17 11:00:00,7669242.0,3600.0,100.0,345.0,345.0,345.0,345.0,688.0,688.0,0.0,,
2022-02-11 22:00:00,7669023.0,3600.0,100.0,4980.0,4980.0,4980.0,4980.0,1269.0,1269.0,0.0,,
2022-03-14 14:00:00,65323270.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-13 05:00:00,7669045.0,3600.0,100.0,165.0,165.0,165.0,165.0,2282.0,2282.0,0.0,,
2022-02-19 16:00:00,7669034.0,3600.0,100.0,1346.0,1346.0,1346.0,1346.0,1296.0,1296.0,0.0,,
2022-02-06 14:00:00,7669239.0,3600.0,100.0,576.0,576.0,576.0,576.0,689.0,689.0,0.0,,
2022-02-17 22:00:00,7669258.0,3600.0,100.0,26284.0,26070.0,26284.0,26070.0,36578.0,19641.0,214.0,,
2022-03-06 19:00:00,7669163.0,3600.0,100.0,4137.0,4137.0,4137.0,4137.0,1438.0,1438.0,0.0,,
2022-02-11 01:00:00,7669067.0,3600.0,100.0,51.0,51.0,51.0,51.0,524.0,524.0,0.0,,
2022-03-12 13:00:00,7669209.0,3600.0,100.0,14150.0,14150.0,14150.0,14150.0,6538.0,6538.0,0.0,,
2022-02-13 05:00:00,7669225.0,3600.0,100.0,150531.0,150531.0,146848.0,146848.0,680.0,584.0,0.0,,
2022-03-06 21:00:00,7669079.0,3600.0,100.0,123181.0,123181.0,119102.0,119169.0,2587.0,2474.0,0.0,,
2022-03-10 16:00:00,7669174.0,3600.0,100.0,629475.0,629475.0,619242.0,619241.0,8012.0,7592.0,0.0,,
2022-02-05 06:00:00,7669170.0,3600.0,100.0,55853.0,55853.0,55500.0,55500.0,405.0,333.0,0.0,,
2022-03-15 13:00:00,7669025.0,3600.0,100.0,1900.0,1900.0,1900.0,1900.0,1434.0,1434.0,0.0,,
2022-02-17 17:00:00,7668998.0,3600.0,100.0,15971.0,15971.0,15971.0,15971.0,6582.0,6582.0,0.0,,
2022-02-04 14:00:00,7669250.0,3600.0,100.0,780.0,780.0,780.0,780.0,1146.0,1146.0,0.0,,
2022-02-11 08:00:00,7669105.0,3600.0,100.0,2707.0,2707.0,2707.0,2707.0,815.0,815.0,0.0,,
2022-02-03 22:00:00,7669082.0,3600.0,100.0,2043.0,2043.0,2043.0,2043.0,1087.0,1087.0,0.0,,
2022-03-06 21:00:00,7669227.0,3600.0,100.0,11715.0,11715.0,11715.0,11715.0,3602.0,3602.0,0.0,,
2022-03-15 01:00:00,7669156.0,3600.0,100.0,244.0,244.0,244.0,244.0,961.0,961.0,0.0,,
2022-03-11 19:00:00,7669047.0,3600.0,100.0,3783.0,3783.0,3783.0,3783.0,1268.0,1268.0,0.0,,
2022-02-12 10:00:00,7669037.0,3600.0,100.0,371391.0,371391.0,363907.0,363904.0,7283.0,5787.0,0.0,,
2022-02-11 21:00:00,7669235.0,3600.0,100.0,23741.0,23741.0,23741.0,23741.0,6862.0,6862.0,0.0,,
2022-02-19 23:00:00,7669143.0,3600.0,100.0,2310.0,2310.0,2310.0,2310.0,1903.0,1903.0,0.0,,
2022-02-19 17:00:00,7669079.0,3600.0,100.0,109279.0,109279.0,105521.0,105532.0,2749.0,2671.0,0.0,,
2022-02-06 12:00:00,7669060.0,3600.0,100.0,510.0,510.0,510.0,510.0,618.0,618.0,0.0,,
2022-03-07 21:00:00,7669032.0,3600.0,100.0,760.0,760.0,760.0,760.0,474.0,474.0,0.0,,
2022-03-10 11:00:00,7669018.0,3600.0,100.0,91901.0,91901.0,91462.0,91463.0,1172.0,962.0,0.0,,
2022-02-18 01:00:00,7669268.0,3600.0,100.0,138.0,138.0,138.0,138.0,1373.0,1373.0,0.0,,
2022-02-11 02:00:00,7669020.0,3600.0,100.0,4943.0,4943.0,4848.0,4848.0,57.0,56.0,0.0,,
2022-02-10 04:00:00,7669042.0,3600.0,100.0,236.0,236.0,236.0,236.0,3089.0,3089.0,0.0,,
2022-02-13 20:00:00,7669053.0,3600.0,100.0,443862.0,443862.0,436409.0,436409.0,12077.0,10793.0,0.0,,
2022-02-06 10:00:00,7669057.0,3600.0,100.0,348510.0,348510.0,339827.0,339827.0,7670.0,7193.0,0.0,,
2022-02-06 12:00:00,7669182.0,3600.0,100.0,8110.0,8110.0,8110.0,8110.0,2231.0,2231.0,0.0,,
2022-02-10 12:00:00,7669010.0,3600.0,100.0,277251.0,277251.0,266201.0,266201.0,2685.0,2459.0,0.0,,
2022-02-05 00:00:00,7669257.0,3600.0,100.0,565.0,565.0,565.0,565.0,2027.0,2027.0,0.0,,
2022-02-04 00:00:00,7669095.0,3600.0,100.0,722.0,722.0,722.0,722.0,1548.0,1548.0,0.0,,
2022-02-19 00:00:00,7669232.0,3600.0,100.0,671.0,671.0,671.0,671.0,1255.0,1255.0,0.0,,
2022-03-06 11:00:00,7669243.0,3600.0,100.0,776.0,776.0,776.0,776.0,1099.0,1099.0,0.0,,
2022-02-06 16:00:00,7669038.0,3600.0,100.0,11088.0,11088.0,11088.0,11088.0,971.0,971.0,0.0,,
2022-02-11 13:00:00,7669039.0,3600.0,100.0,370007.0,370007.0,361686.0,361684.0,4189.0,3827.0,0.0,,
2022-02-19 04:00:00,7669035.0,3600.0,100.0,233.0,233.0,233.0,233.0,1328.0,1328.0,0.0,,
2022-02-05 04:00:00,7669264.0,3600.0,100.0,163913.0,163913.0,161551.0,161551.0,772.0,686.0,0.0,,
2022-02-20 05:00:00,7668993.0,3600.0,100.0,101.0,101.0,101.0,101.0,526.0,526.0,0.0,,
2022-02-05 17:00:00,7669150.0,3600.0,100.0,373511.0,373511.0,366526.0,366520.0,4907.0,4335.0,0.0,,
2022-03-10 09:00:00,7669022.0,3600.0,100.0,489943.0,489943.0,480116.0,480112.0,11308.0,10245.0,0.0,,
2022-03-12 23:00:00,7669092.0,3600.0,100.0,300932.0,300932.0,296283.0,296283.0,4095.0,3454.0,0.0,,
2022-02-06 02:00:00,7669093.0,3600.0,100.0,209617.0,209617.0,214123.0,214123.0,10310.0,9737.0,0.0,,
2022-02-12 07:00:00,7669101.0,3600.0,100.0,55026.0,55026.0,54377.0,54377.0,279.0,269.0,0.0,,
2022-03-03 15:00:00,7669134.0,3600.0,100.0,8749.0,8749.0,8761.0,8761.0,105.0,105.0,0.0,,
2022-03-12 08:00:00,7669120.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-02-10 16:00:00,7669025.0,3600.0,100.0,2467.0,2467.0,2467.0,2467.0,1328.0,1328.0,0.0,,
2022-03-10 04:00:00,7668990.0,3600.0,100.0,99957.0,99957.0,97460.0,97460.0,630.0,582.0,0.0,,
2022-03-03 21:00:00,7669224.0,3600.0,100.0,9771.0,9771.0,9771.0,9771.0,4321.0,4321.0,0.0,,
2022-02-18 04:00:00,7669097.0,3600.0,100.0,36.0,36.0,36.0,36.0,152.0,152.0,0.0,,
2022-03-15 07:00:00,7669085.0,3600.0,100.0,4619.0,4619.0,4619.0,4619.0,972.0,972.0,0.0,,
2022-02-04 17:00:00,7669208.0,3600.0,100.0,929.0,929.0,929.0,929.0,752.0,752.0,0.0,,
2022-03-12 06:00:00,7669079.0,3600.0,100.0,48958.0,48958.0,46420.0,46438.0,1228.0,1197.0,0.0,,
2022-02-10 20:00:00,7669026.0,3600.0,100.0,1519.0,1519.0,1519.0,1519.0,1194.0,1194.0,0.0,,
2022-02-12 09:00:00,7669127.0,3600.0,100.0,474436.0,474436.0,473231.0,473235.0,9242.0,8360.0,0.0,,
2022-02-18 16:00:00,7669268.0,3600.0,100.0,1521.0,1521.0,1521.0,1521.0,1269.0,1269.0,0.0,,
2022-03-12 09:00:00,7669234.0,3600.0,100.0,1307.0,1307.0,1307.0,1307.0,1225.0,1225.0,0.0,,
2022-03-10 07:00:00,7669046.0,3600.0,100.0,7102.0,7102.0,7102.0,7102.0,2304.0,2304.0,0.0,,
2022-02-10 22:00:00,7669034.0,3600.0,100.0,1188.0,1188.0,1188.0,1188.0,869.0,869.0,0.0,,
2022-02-20 21:00:00,7669062.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
