NE Name,fdn,BQMARGIN,DRHOLEVRANGE,IDTYPE,INTELEVHOHYST,INTERCELLHYST,ISCHAINNCELL,MINOFFSET,MOIndex,NBR2GNCELLID,PBGTMARGIN,SRC2GNCELLID,SRCHOCTRLSWITCH,className,name,neID
FTBSC02,"NE=280,G2GNCELL=437_438",72,72,BYID,69,69,NO,0,26_438_437,437,66,438,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=437, Source Cell Index=438",26
FTBSC02,"NE=280,G2GNCELL=7024_438",69,72,BYID,69,70,NO,8,26_438_7024,7024,69,438,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7024, Source Cell Index=438",26
FTBSC02,"NE=280,G2GNCELL=569_434",67,72,BYID,69,70,NO,11,26_434_569,569,72,434,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=569, Source Cell Index=434",26
FTBSC02,"NE=280,G2GNCELL=434_569",67,72,BYID,69,71,NO,7,26_569_434,434,72,569,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=434, Source Cell Index=569",26
FTBSC02,"NE=280,G2GNCELL=7017_401",69,74,BYID,69,73,NO,9,26_401_7017,7017,71,401,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7017, Source Cell Index=401",26
FTBSC02,"NE=280,G2GNCELL=7023_401",69,72,BYID,69,72,NO,7,26_401_7023,7023,71,401,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7023, Source Cell Index=401",26
FTBSC02,"NE=280,G2GNCELL=7024_401",72,72,BYID,69,70,NO,1,26_401_7024,7024,66,401,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7024, Source Cell Index=401",26
FTBSC02,"NE=280,G2GNCELL=7025_401",67,72,BYID,69,70,NO,12,26_401_7025,7025,72,401,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7025, Source Cell Index=401",26
FTBSC02,"NE=280,G2GNCELL=7029_401",67,72,BYID,69,71,NO,14,26_401_7029,7029,74,401,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7029, Source Cell Index=401",26
FTBSC02,"NE=280,G2GNCELL=7030_401",67,72,BYID,69,71,NO,13,26_401_7030,7030,74,401,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7030, Source Cell Index=401",26
FTBSC02,"NE=280,G2GNCELL=7036_401",66,72,BYID,69,71,NO,12,26_401_7036,7036,76,401,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7036, Source Cell Index=401",26
FTBSC02,"NE=280,G2GNCELL=7037_401",72,72,BYID,69,72,NO,8,26_401_7037,7037,68,401,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7037, Source Cell Index=401",26
FTBSC02,"NE=280,G2GNCELL=402_401",69,72,BYID,69,70,NO,4,26_401_402,402,69,401,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=402, Source Cell Index=401",26
FTBSC02,"NE=280,G2GNCELL=401_402",72,73,BYID,69,71,NO,7,26_402_401,401,71,402,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=401, Source Cell Index=402",26
FTBSC02,"NE=280,G2GNCELL=7017_402",69,72,BYID,69,71,NO,17,26_402_7017,7017,71,402,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7017, Source Cell Index=402",26
FTBSC02,"NE=280,G2GNCELL=7023_402",69,72,BYID,69,71,NO,7,26_402_7023,7023,71,402,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7023, Source Cell Index=402",26
FTBSC02,"NE=280,G2GNCELL=7030_402",67,72,BYID,69,71,NO,23,26_402_7030,7030,74,402,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7030, Source Cell Index=402",26
FTBSC02,"NE=280,G2GNCELL=403_401",69,72,BYID,69,71,NO,4,26_401_403,403,69,401,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=403, Source Cell Index=401",26
FTBSC02,"NE=280,G2GNCELL=401_403",69,72,BYID,69,70,NO,4,26_403_401,401,69,403,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=401, Source Cell Index=403",26
FTBSC02,"NE=280,G2GNCELL=403_402",72,72,BYID,69,71,NO,6,26_402_403,403,71,402,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=403, Source Cell Index=402",26
FTBSC02,"NE=280,G2GNCELL=402_403",71,72,BYID,69,70,NO,12,26_403_402,402,71,403,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=402, Source Cell Index=403",26
FTBSC02,"NE=280,G2GNCELL=7017_403",66,72,BYID,69,71,NO,16,26_403_7017,7017,76,403,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7017, Source Cell Index=403",26
FTBSC02,"NE=280,G2GNCELL=7024_403",69,72,BYID,69,70,NO,6,26_403_7024,7024,69,403,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7024, Source Cell Index=403",26
FTBSC02,"NE=280,G2GNCELL=7030_403",67,72,BYID,69,72,NO,13,26_403_7030,7030,74,403,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7030, Source Cell Index=403",26
FTBSC02,"NE=280,G2GNCELL=404_401",72,72,BYID,69,70,NO,1,26_401_404,404,66,401,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=404, Source Cell Index=401",26
FTBSC02,"NE=280,G2GNCELL=401_404",72,72,BYID,69,70,NO,1,26_404_401,401,66,404,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=401, Source Cell Index=404",26
FTBSC02,"NE=280,G2GNCELL=404_402",71,73,BYID,69,71,NO,12,26_402_404,404,71,402,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=404, Source Cell Index=402",26
FTBSC02,"NE=280,G2GNCELL=402_404",69,72,BYID,69,70,NO,4,26_404_402,402,69,404,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=402, Source Cell Index=404",26
FTBSC02,"NE=280,G2GNCELL=404_403",69,72,BYID,69,70,NO,4,26_403_404,404,69,403,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=404, Source Cell Index=403",26
FTBSC02,"NE=280,G2GNCELL=403_404",69,72,BYID,69,71,NO,4,26_404_403,403,69,404,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=403, Source Cell Index=404",26
FTBSC02,"NE=280,G2GNCELL=7017_404",72,74,BYID,69,73,NO,4,26_404_7017,7017,68,404,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7017, Source Cell Index=404",26
FTBSC02,"NE=280,G2GNCELL=7023_404",69,72,BYID,69,72,NO,7,26_404_7023,7023,71,404,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7023, Source Cell Index=404",26
FTBSC02,"NE=280,G2GNCELL=7024_404",69,72,BYID,69,70,NO,6,26_404_7024,7024,69,404,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7024, Source Cell Index=404",26
FTBSC02,"NE=280,G2GNCELL=7025_404",69,72,BYID,69,70,NO,9,26_404_7025,7025,69,404,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7025, Source Cell Index=404",26
FTBSC02,"NE=280,G2GNCELL=7029_404",66,72,BYID,69,71,NO,16,26_404_7029,7029,76,404,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7029, Source Cell Index=404",26
FTBSC02,"NE=280,G2GNCELL=7030_404",67,72,BYID,69,71,NO,13,26_404_7030,7030,74,404,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7030, Source Cell Index=404",26
FTBSC02,"NE=280,G2GNCELL=7038_404",66,72,BYID,69,71,NO,20,26_404_7038,7038,80,404,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7038, Source Cell Index=404",26
FTBSC02,"NE=280,G2GNCELL=405_401",72,72,BYID,69,70,NO,0,26_401_405,405,66,401,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=405, Source Cell Index=401",26
FTBSC02,"NE=280,G2GNCELL=401_405",71,73,BYID,69,71,NO,12,26_405_401,401,71,405,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=401, Source Cell Index=405",26
FTBSC02,"NE=280,G2GNCELL=405_402",72,72,BYID,69,70,NO,1,26_402_405,405,66,402,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=405, Source Cell Index=402",26
FTBSC02,"NE=280,G2GNCELL=402_405",69,72,BYID,69,70,NO,6,26_405_402,402,69,405,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=402, Source Cell Index=405",26
FTBSC02,"NE=280,G2GNCELL=405_403",74,72,BYID,69,70,NO,7,26_403_405,405,68,403,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=405, Source Cell Index=403",26
FTBSC02,"NE=280,G2GNCELL=403_405",71,72,BYID,69,71,NO,11,26_405_403,403,71,405,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=403, Source Cell Index=405",26
FTBSC02,"NE=280,G2GNCELL=405_404",69,72,BYID,69,70,NO,4,26_404_405,405,69,404,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=405, Source Cell Index=404",26
FTBSC02,"NE=280,G2GNCELL=404_405",69,72,BYID,69,70,NO,4,26_405_404,404,69,405,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=404, Source Cell Index=405",26
FTBSC02,"NE=280,G2GNCELL=7017_405",66,72,BYID,69,71,NO,22,26_405_7017,7017,76,405,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7017, Source Cell Index=405",26
FTBSC02,"NE=280,G2GNCELL=7023_405",69,72,BYID,69,71,NO,7,26_405_7023,7023,71,405,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7023, Source Cell Index=405",26
FTBSC02,"NE=280,G2GNCELL=7030_405",69,72,BYID,69,71,NO,20,26_405_7030,7030,71,405,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7030, Source Cell Index=405",26
FTBSC02,"NE=280,G2GNCELL=406_401",69,72,BYID,69,71,NO,4,26_401_406,406,69,401,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=406, Source Cell Index=401",26
FTBSC02,"NE=280,G2GNCELL=401_406",69,72,BYID,69,70,NO,4,26_406_401,401,69,406,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=401, Source Cell Index=406",26
FTBSC02,"NE=280,G2GNCELL=406_402",74,72,BYID,69,71,NO,6,26_402_406,406,68,402,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=406, Source Cell Index=402",26
FTBSC02,"NE=280,G2GNCELL=402_406",74,72,BYID,69,70,NO,7,26_406_402,402,68,406,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=402, Source Cell Index=406",26
FTBSC02,"NE=280,G2GNCELL=406_403",72,72,BYID,69,70,NO,1,26_403_406,406,66,403,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=406, Source Cell Index=403",26
FTBSC02,"NE=280,G2GNCELL=403_406",69,72,BYID,69,70,NO,6,26_406_403,403,69,406,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=403, Source Cell Index=406",26
FTBSC02,"NE=280,G2GNCELL=406_404",72,72,BYID,69,70,NO,0,26_404_406,406,66,404,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=406, Source Cell Index=404",26
FTBSC02,"NE=280,G2GNCELL=404_406",69,72,BYID,69,70,NO,4,26_406_404,404,69,406,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=404, Source Cell Index=406",26
FTBSC02,"NE=280,G2GNCELL=406_405",72,72,BYID,69,70,NO,0,26_405_406,406,66,405,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=406, Source Cell Index=405",26
FTBSC02,"NE=280,G2GNCELL=405_406",72,72,BYID,69,70,NO,0,26_406_405,405,66,406,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=405, Source Cell Index=406",26
FTBSC02,"NE=280,G2GNCELL=7017_406",69,72,BYID,69,71,NO,11,26_406_7017,7017,71,406,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7017, Source Cell Index=406",26
FTBSC02,"NE=280,G2GNCELL=7024_406",69,72,BYID,69,70,NO,6,26_406_7024,7024,69,406,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7024, Source Cell Index=406",26
FTBSC02,"NE=280,G2GNCELL=433_401",66,72,BYID,69,71,NO,13,26_401_433,433,74,401,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=433, Source Cell Index=401",26
FTBSC02,"NE=280,G2GNCELL=401_433",67,72,BYID,69,71,NO,13,26_433_401,401,72,433,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=401, Source Cell Index=433",26
FTBSC02,"NE=280,G2GNCELL=433_403",67,72,BYID,69,71,NO,11,26_403_433,433,72,403,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=433, Source Cell Index=403",26
FTBSC02,"NE=280,G2GNCELL=403_433",67,72,BYID,69,71,NO,11,26_433_403,403,72,433,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=403, Source Cell Index=433",26
FTBSC02,"NE=280,G2GNCELL=433_404",69,72,BYID,69,71,NO,8,26_404_433,433,69,404,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=433, Source Cell Index=404",26
FTBSC02,"NE=280,G2GNCELL=404_433",67,72,BYID,69,71,NO,13,26_433_404,404,72,433,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=404, Source Cell Index=433",26
FTBSC02,"NE=280,G2GNCELL=433_406",67,72,BYID,69,71,NO,11,26_406_433,433,72,406,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=433, Source Cell Index=406",26
FTBSC02,"NE=280,G2GNCELL=406_433",69,72,BYID,69,71,NO,8,26_433_406,406,69,433,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=406, Source Cell Index=433",26
FTBSC02,"NE=280,G2GNCELL=7023_433",72,72,BYID,69,72,NO,3,26_433_7023,7023,68,433,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7023, Source Cell Index=433",26
FTBSC02,"NE=280,G2GNCELL=7024_433",67,72,BYID,69,70,NO,11,26_433_7024,7024,72,433,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7024, Source Cell Index=433",26
FTBSC02,"NE=280,G2GNCELL=7025_433",66,72,BYID,69,70,NO,20,26_433_7025,7025,80,433,HOALGORITHM1,BSC6900GSMG2GNCELL,"Neighbor 2G Cell Index=7025, Source Cell Index=433",26
