begintime,sk_object,duration,integrity,1593835805,1593835629,1593835804,1593835628,1593835647,1593835620,1593835637,1593835638,1593835639,1593835640,1593835648,1593835649,1593835650,1593835651,1593835801,1593835802
2022-03-11 14:00:00,7732497.0,3600.0,100.0,,,,,31374.0,,0.4570336,0.0,,,31021.0,31479.0,,,,
2022-03-12 18:00:00,7732492.0,3600.0,100.0,,,,,32303.0,,0.45697308,0.0,,,32303.0,32303.0,,,,
2022-03-12 19:00:00,7732486.0,3600.0,100.0,,,,,31380.0,,0.46084639,0.0,,,31380.0,31380.0,,,,
2022-03-13 17:00:00,7732488.0,3600.0,100.0,,,,,31794.0,,0.97494161,0.0,,,31794.0,31793.0,,,,
2022-03-15 17:00:00,7732526.0,3600.0,100.0,,,,,33515.0,,0.80501002,0.0,,,33513.0,33515.0,,,,
2022-02-03 00:00:00,7732503.0,3600.0,100.0,,,,,32710.0,,0.82020545,0.0,,,32709.0,32710.0,,,,
2022-02-03 00:00:00,7732504.0,3600.0,100.0,,,,,32453.0,,0.41983166,0.0,,,32453.0,32456.0,,,,
2022-02-03 00:00:00,7732505.0,3600.0,100.0,,,,,31805.0,,0.7110225,0.0,,,31803.0,31801.0,,,,
2022-02-03 00:00:00,7732506.0,3600.0,100.0,,,,,32389.0,,0.99530745,0.0,,,32385.0,32387.0,,,,
2022-02-03 00:00:00,7732507.0,3600.0,100.0,,,,,34376.0,,0.2008239,0.0,,,34294.0,34336.0,,,,
2022-02-03 00:00:00,7732508.0,3600.0,100.0,,,,,32048.0,,1.1099575,0.0,,,32048.0,32046.0,,,,
2022-02-03 00:00:00,7732509.0,3600.0,100.0,,,,,31778.0,,1.2675335,0.0,,,31771.0,31777.0,,,,
2022-02-03 00:00:00,7732510.0,3600.0,100.0,,,,,33036.0,,0.81415802,0.0,,,33036.0,33038.0,,,,
2022-02-03 00:00:00,7732511.0,3600.0,100.0,,,,,32052.0,,1.2454342,0.0,,,32052.0,32050.0,,,,
2022-02-03 00:00:00,7732512.0,3600.0,100.0,,,,,32234.0,,0.79282802,0.0,,,32191.0,32188.0,,,,
2022-02-03 00:00:00,7732513.0,3600.0,100.0,,,,,33064.0,,0.81693637,0.0,,,33059.0,33057.0,,,,
2022-02-03 00:00:00,7732514.0,3600.0,100.0,,,,,32622.0,,1.1007142,0.0,,,32620.0,32618.0,,,,
2022-02-03 00:00:00,7732515.0,3600.0,100.0,,,,,32432.0,,0.90169811,0.0,,,32425.0,32428.0,,,,
2022-02-03 00:00:00,7732516.0,3600.0,100.0,,,,,30435.0,,0.47129723,0.0,,,30435.0,30435.0,,,,
2022-02-03 00:00:00,7732517.0,3600.0,100.0,,,,,31048.0,,0.48640388,0.0,,,31048.0,31048.0,,,,
2022-02-03 00:00:00,7732518.0,3600.0,100.0,,,,,31775.0,,0.88600081,0.0,,,31774.0,31775.0,,,,
