begintime,sk_object,duration,M51325C0,M51325C1,M51325C2,M51325C3
2022-03-13 16:15:00,15614.0,15,6.0,1255.0,6.0,2351.0
2022-03-13 16:15:00,15615.0,15,6.0,1255.0,7.0,2382.0
2022-03-15 14:15:00,15611.0,15,0.0,0.0,0.0,0.0
2022-03-15 18:15:00,15611.0,15,0.0,0.0,0.0,0.0
2022-03-16 08:15:00,15613.0,15,0.0,0.0,0.0,0.0
2022-03-16 11:15:00,15613.0,15,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,15608.0,15,134.0,5961.0,190.0,259356.0
2022-03-11 00:00:00,15609.0,15,131.0,5865.0,183.0,255598.0
2022-03-11 00:00:00,15610.0,15,235.0,9641.0,368.0,521958.0
2022-03-11 00:00:00,15611.0,15,217.0,8616.0,363.0,509031.0
2022-03-11 00:00:00,15612.0,15,230.0,9032.0,373.0,520482.0
2022-03-11 00:00:00,15613.0,15,136.0,6024.0,193.0,269370.0
2022-03-11 00:00:00,15614.0,15,137.0,6057.0,195.0,263432.0
2022-03-11 00:00:00,15615.0,15,135.0,5993.0,189.0,255454.0
2022-03-11 00:00:00,15616.0,15,132.0,5897.0,186.0,250002.0
2022-03-11 00:00:00,15617.0,15,307.0,17867.0,467.0,544425.0
2022-03-11 00:00:00,15618.0,15,245.0,9873.0,366.0,506865.0
2022-03-11 00:00:00,15619.0,15,229.0,9000.0,371.0,515047.0
2022-03-11 00:00:00,15620.0,15,230.0,9032.0,382.0,531178.0
2022-03-11 00:00:00,15621.0,15,215.0,8552.0,371.0,517842.0
2022-03-11 00:00:00,15622.0,15,231.0,9063.0,377.0,523636.0
2022-03-11 00:00:00,15623.0,15,220.0,8712.0,360.0,502002.0
2022-03-11 00:00:00,15624.0,15,265.0,12928.0,388.0,516213.0
2022-03-11 00:00:00,15625.0,15,230.0,9033.0,379.0,526169.0
2022-03-11 00:00:00,15626.0,15,133.0,5929.0,186.0,260354.0
2022-03-11 00:15:00,15608.0,15,6.0,1255.0,6.0,2350.0
2022-03-11 00:15:00,15609.0,15,6.0,1255.0,6.0,2351.0
2022-03-11 00:15:00,15610.0,15,6.0,1255.0,6.0,2351.0
2022-03-11 00:15:00,15611.0,15,6.0,1254.0,6.0,2349.0
2022-03-11 00:15:00,15612.0,15,6.0,1254.0,7.0,2384.0
2022-03-11 00:15:00,15613.0,15,6.0,1254.0,6.0,2349.0
2022-03-11 00:15:00,15614.0,15,5.0,1223.0,6.0,2350.0
