begintime,duration,object,20000110,20000111,20000112,20000113,20000114,20000115,20000116,20000117,20000118,20000119,20000120,20000121,20000122,20000123,20000124,20000125,20000126,20000127,20000128,20000129,20000130,20000131,20000132,20000133,20000134,20000135,20000136
2021-09-26 19:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=1",,976.0,0.0,,,,,,,,900.0,,,,,,,,,,,,,,,4529.0,
2021-09-26 19:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=3",,373.0,0.0,,,,,,,,900.0,,,,,,,,,,,,,,,889.0,
2021-09-26 20:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=1",,994.0,0.0,,,,,,,,900.0,,,,,,,,,,,,,,,2097.0,
2021-09-26 20:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=3",,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,
2021-09-26 19:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=1",,1029.0,0.0,,,,,,,,900.0,,,,,,,,,,,,,,,1943.0,
2021-09-26 19:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=3",,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,
2021-09-26 20:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=1",,902.0,0.0,,,,,,,,900.0,,,,,,,,,,,,,,,2063.0,
2021-09-26 20:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=3",,300.0,0.0,,,,,,,,900.0,,,,,,,,,,,,,,,576.0,
2021-09-26 19:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=1",,1030.0,0.0,,,,,,,,900.0,,,,,,,,,,,,,,,1921.0,
2021-09-26 19:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=3",,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,
2021-09-26 20:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=1",,913.0,0.0,,,,,,,,900.0,,,,,,,,,,,,,,,1514.0,
2021-09-26 20:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=3",,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,
2021-09-26 19:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=1",,867.0,0.0,,,,,,,,900.0,,,,,,,,,,,,,,,1724.0,
2021-09-26 19:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=3",,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,
2021-09-26 21:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=1",,938.0,0.0,,,,,,,,900.0,,,,,,,,,,,,,,,2195.0,
2021-09-26 21:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=3",,252.0,0.0,,,,,,,,900.0,,,,,,,,,,,,,,,425.0,
2021-09-26 19:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=1",,1026.0,0.0,,,,,,,,900.0,,,,,,,,,,,,,,,1685.0,
2021-09-26 19:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=3",,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,
2021-09-26 21:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=1",,703.0,0.0,,,,,,,,900.0,,,,,,,,,,,,,,,2116.0,
2021-09-26 21:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=3",,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,
2021-09-26 20:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=1",,902.0,0.0,,,,,,,,900.0,,,,,,,,,,,,,,,2972.0,
2021-09-26 20:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=3",,366.0,0.0,,,,,,,,900.0,,,,,,,,,,,,,,,841.0,
