begintime,sk_object,duration,integrity,M51321C0,M51321C1,M51321C2,M51321C3,M51321C4,M51321C5,M51321C6,M51321C7,M51321C8,M51321C9,M51321C10,M51321C11,M51321C12,M51321C13,M51321C14
2022-03-11,15456.0,1440.0,100.0,410461428.0,4554904.0,256992988.0,2873206.0,0.0,0.0,0.0,65847.0,5123228.0,0.0,0.0,65847.0,5123228.0,0.0,0.0
2022-03-11,15457.0,1440.0,100.0,305865107112.0,262899537.0,39178363644.0,166301076.0,0.0,244741.0,489482.0,66796.0,5196986.0,0.0,0.0,66796.0,5196986.0,0.0,0.0
2022-03-11,15458.0,1440.0,100.0,108868066.0,1494414.0,13379999.0,13446.0,0.0,2.0,2.0,66803.0,5197500.0,0.0,0.0,66803.0,5197500.0,0.0,0.0
2022-03-11,15459.0,1440.0,100.0,25751803938.0,22437731.0,3929100142.0,14042219.0,0.0,2.0,4.0,66818.0,5199022.0,0.0,0.0,66818.0,5199022.0,0.0,0.0
2022-03-11,15460.0,1440.0,100.0,76808798806.0,64974982.0,8619874215.0,42969764.0,0.0,21.0,42.0,66821.0,5198618.0,0.0,0.0,66821.0,5198618.0,0.0,0.0
2022-03-11,15461.0,1440.0,100.0,738666718.0,8081560.0,251489784.0,4220229.0,0.0,0.0,0.0,67038.0,5216070.0,0.0,0.0,67038.0,5216070.0,0.0,0.0
2022-03-11,15462.0,1296.0,90.0,406498986703.0,363067369.0,61894766354.0,262885534.0,0.0,253.0,506.0,59719.0,4646742.0,0.0,0.0,59719.0,4646742.0,0.0,0.0
2022-03-11,15463.0,1440.0,100.0,787034440.0,8766916.0,296427476.0,4681070.0,0.0,0.0,0.0,66796.0,5196756.0,0.0,0.0,66796.0,5196756.0,0.0,0.0
2022-03-11,15464.0,1440.0,100.0,1294960736.0,14016320.0,838794652.0,9042000.0,0.0,0.0,0.0,66806.0,5197648.0,0.0,0.0,66806.0,5197648.0,0.0,0.0
2022-03-11,15465.0,1440.0,100.0,1225010320.0,12953143.0,756426164.0,8134523.0,0.0,0.0,0.0,66815.0,5198368.0,0.0,0.0,66815.0,5198368.0,0.0,0.0
2022-03-11,15466.0,1440.0,100.0,536282820.0,5942291.0,391690444.0,4115565.0,0.0,0.0,0.0,65721.0,5113424.0,0.0,0.0,65721.0,5113424.0,0.0,0.0
2022-03-11,15467.0,1440.0,100.0,107488492.0,1474472.0,13364555.0,13692.0,0.0,14.0,14.0,65718.0,5113000.0,0.0,0.0,65718.0,5113000.0,0.0,0.0
2022-03-11,15468.0,1440.0,100.0,423605882.0,4720360.0,318295952.0,3162080.0,0.0,0.0,0.0,66823.0,5199054.0,0.0,0.0,66823.0,5199054.0,0.0,0.0
2022-03-11,15469.0,1440.0,100.0,107443932.0,1473016.0,7539143.0,10361.0,0.0,24.0,24.0,65719.0,5113402.0,0.0,0.0,65719.0,5113402.0,0.0,0.0
2022-03-11,15470.0,1440.0,100.0,781176648.0,8151974.0,666648176.0,6468700.0,0.0,0.0,0.0,65026.0,5058376.0,0.0,0.0,65026.0,5058376.0,0.0,0.0
2022-03-11,15471.0,1440.0,100.0,106811960.0,1464709.0,13538288.0,14071.0,0.0,31.0,31.0,65876.0,5125042.0,0.0,0.0,65876.0,5125042.0,0.0,0.0
2022-03-11,15472.0,1440.0,100.0,421009732998.0,371877671.0,66985272585.0,282530492.0,0.0,14528.0,29056.0,65791.0,5119162.0,0.0,0.0,65791.0,5119162.0,0.0,0.0
2022-03-11,15473.0,1440.0,100.0,111726350938.0,98588989.0,14770832080.0,62978756.0,0.0,37.0,74.0,66808.0,5197670.0,0.0,0.0,66808.0,5197670.0,0.0,0.0
2022-03-11,15474.0,1440.0,100.0,109084610.0,1497725.0,12929877.0,11991.0,0.0,0.0,0.0,66803.0,5197500.0,0.0,0.0,66803.0,5197500.0,0.0,0.0
2022-03-11,15475.0,1296.0,90.0,97577995.0,1339592.0,16339403.0,14360.0,0.0,0.0,0.0,59749.0,4648590.0,0.0,0.0,59749.0,4648590.0,0.0,0.0
2022-03-11,15476.0,1440.0,100.0,1015051696.0,10908131.0,531209016.0,6459823.0,0.0,0.0,0.0,66773.0,5195192.0,0.0,0.0,66773.0,5195192.0,0.0,0.0
2022-03-11,15477.0,1440.0,100.0,684813052.0,7479251.0,194971040.0,3777189.0,0.0,0.0,0.0,66771.0,5195032.0,0.0,0.0,66771.0,5195032.0,0.0,0.0
2022-03-11,15478.0,1440.0,100.0,65821402468.0,53238315.0,6819594073.0,28715413.0,0.0,0.0,0.0,65699.0,5111756.0,0.0,0.0,65699.0,5111756.0,0.0,0.0
2022-03-11,15479.0,1440.0,100.0,109089236.0,1496900.0,7011468.0,7825.0,0.0,0.0,0.0,66811.0,5198324.0,0.0,0.0,66811.0,5198324.0,0.0,0.0
2022-03-11,15480.0,1440.0,100.0,784082260.0,8613420.0,301173040.0,4606009.0,0.0,0.0,0.0,66794.0,5196872.0,0.0,0.0,66794.0,5196872.0,0.0,0.0
2022-03-11,15481.0,1440.0,100.0,372306982047.0,330314597.0,56577411656.0,245471500.0,0.0,137.0,274.0,66825.0,5199168.0,0.0,0.0,66825.0,5199168.0,0.0,0.0
2022-03-11,15482.0,1440.0,100.0,317619792230.0,280604268.0,49044059603.0,203218665.0,0.0,408.0,816.0,65001.0,5056882.0,0.0,0.0,65001.0,5056882.0,0.0,0.0
2022-03-11,15483.0,1440.0,100.0,109438534.0,1501914.0,6778073.0,7573.0,0.0,0.0,0.0,67033.0,5215624.0,0.0,0.0,67033.0,5215624.0,0.0,0.0
