begintime,ne_name,ne_type,vendor,integrity,L.Traffic.Board.SUNPT.DL.Max,id
2022-02-03,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,62.5,7.0,1
2022-02-03,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,0.0,2
2022-02-04,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,7.0,3
2022-02-04,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,0.0,4
2022-02-05,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,8.0,5
2022-02-05,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,0.0,6
2022-02-06,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,7.0,7
2022-02-06,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,95.83,0.0,8
2022-02-08,"4G_BARMOI/Board.Service:Board Type=BBP,Cabinet No.=0,Subrack No.=0,Slot No.=4",eNodeB(4G) : Measurement of Board Service Performance,Huawei,100.0,7.0,9
2022-02-08,"4G_KENEMA_MFS/Board.Service:Board Type=MPT,Cabinet No.=0,Subrack No.=0,Slot No.=7",eNodeB(4G) : Measurement of Board Service Performance,Huawei,87.5,0.0,10
