begintime,sk_object,duration,M8010C65,M8010C36,M8010C37,M8010C38,M8010C39,M8010C40,M8010C41,M8010C42,M8010C43,M8010C44,M8010C45,M8010C46,M8010C47,M8010C48,M8010C49,M8010C50,M8010C51,M8010C52,M8010C53,M8010C54,M8010C55,M8010C56,M8010C57,M8010C58,M8010C59,M8010C60,M8010C61,M8010C62,M8010C63,M8010C64,M8010C66,M8010C67,M8010C68,M8010C69,M8010C70,M8010C71,M8010C72,M8010C73,M8010C74,M8010C75,M8010C123,M8010C76,M8010C77,M8010C78,M8010C79,M8010C80,M8010C81,M8010C82,M8010C83,M8010C84,M8010C85,M8010C86,M8010C87,M8010C88,M8010C89,M8010C90,M8010C91,M8010C92,M8010C93,M8010C94,M8010C95,M8010C96,M8010C97,M8010C98,M8010C99,M8010C100,M8010C112,M8010C113,M8010C114,M8010C115,M8010C116,M8010C117,M8010C118,M8010C119,M8010C120,M8010C121,M8010C122,M8010C124,M8010C125,M8010C126,M8010C127,M8010C128,M8010C129,M8010C130,M8010C131,M8010C132,M8010C133,M8010C134,M8010C135,M8010C136,M8010C137,M8010C138,M8010C139,M8010C140,M8010C141,M8010C142,M8010C143,M8010C144,M8010C145,M8010C146,M8010C147,M8010C148,M8010C149,M8010C150,M8010C151,M8010C152,M8010C153,M8010C154,M8010C155,M8010C156,M8010C157,M8010C158,M8010C159,M8010C160,M8010C161,M8010C162,M8010C163,M8010C164,M8010C165,M8010C166,M8010C167,M8010C168,M8010C169,M8010C170,M8010C171,M8010C172,M8010C173,M8010C174,M8010C175,M8010C176,M8010C177,M8010C178,M8010C179,M8010C180,M8010C181,M8010C188
2022-03-11 21:47:00,743.0,13,,2455.0,9588.0,17429.0,60494.0,135822.0,236860.0,286303.0,366643.0,491064.0,777194.0,469518.0,613689.0,557078.0,326837.0,129970.0,225882.0,-13500.0,5000.0,-765.0,0.0,0.0,1858809.0,800657.0,0.0,329993.0,2705630.0,179985.0,,,,1781.0,,,,0.0,0.0,0.0,,,0.0,851.0,3381.0,6322.0,25519.0,48000.0,79329.0,102544.0,130461.0,176885.0,273280.0,161426.0,199792.0,164484.0,94568.0,32573.0,77501.0,52212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1550346.0,1576272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 21:47:00,746.0,13,,556.0,534.0,599.0,974.0,2806.0,6584.0,15822.0,34648.0,58112.0,127360.0,106744.0,165917.0,222053.0,235043.0,162379.0,579451.0,-13500.0,5000.0,1615.0,0.0,0.0,341230.0,304085.0,0.0,38235.0,683593.0,65248.0,,,,1451.0,,,,0.0,0.0,0.0,,,0.0,210.0,158.0,142.0,418.0,1264.0,2119.0,6720.0,15850.0,24541.0,60193.0,50087.0,79214.0,101120.0,92169.0,68545.0,237347.0,36387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231317.0,711764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 21:47:00,747.0,13,,1897.0,1191.0,1207.0,2004.0,7284.0,21756.0,40987.0,61445.0,91939.0,115597.0,94769.0,161676.0,183388.0,206112.0,174037.0,961491.0,-13500.0,5000.0,1371.0,0.0,0.0,426847.0,442806.0,0.0,37875.0,888770.0,35666.0,,,,1404.0,,,,0.0,0.0,0.0,,,0.0,187.0,341.0,147.0,933.0,3661.0,11030.0,22104.0,24043.0,33808.0,44311.0,41099.0,62231.0,68832.0,88725.0,72855.0,443477.0,18424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289050.0,903590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 21:47:00,752.0,13,,3058.0,10078.0,15770.0,42880.0,89831.0,136330.0,125451.0,81300.0,88981.0,133409.0,58150.0,78341.0,82950.0,54011.0,25436.0,41273.0,-12964.0,5000.0,-784.0,0.0,0.0,945903.0,199805.0,0.0,86854.0,1180366.0,113261.0,,,,1955.0,,,,0.0,0.0,0.0,,,0.0,130.0,1244.0,3294.0,7305.0,19296.0,35405.0,30364.0,19320.0,18544.0,28311.0,15062.0,18668.0,17791.0,20170.0,10938.0,14328.0,34192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536416.0,255794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 21:47:00,763.0,13,,750.0,694.0,851.0,2175.0,4552.0,13136.0,17815.0,29005.0,56931.0,136606.0,100538.0,128949.0,133366.0,107190.0,59654.0,184766.0,-13500.0,5000.0,55.0,0.0,0.0,189427.0,153027.0,0.0,26405.0,348823.0,12846.0,,,,1491.0,,,,0.0,0.0,0.0,,,0.0,268.0,60.0,26.0,74.0,326.0,2571.0,5224.0,10891.0,27098.0,65694.0,42906.0,56618.0,68760.0,46362.0,18499.0,71987.0,5960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139303.0,408505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 21:47:00,774.0,13,,602.0,5130.0,7379.0,28728.0,80845.0,165779.0,235069.0,241401.0,237357.0,324704.0,155287.0,187535.0,149575.0,85360.0,32819.0,76924.0,-13500.0,5000.0,-979.0,0.0,0.0,1329750.0,476629.0,0.0,205136.0,1834192.0,150248.0,,,,1941.0,,,,0.0,0.0,0.0,,,0.0,147.0,1843.0,2719.0,9353.0,27197.0,50369.0,73935.0,76141.0,78849.0,88171.0,45307.0,43376.0,33437.0,29104.0,12909.0,17879.0,29149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827968.0,587546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 05:55:00,742.0,5,,187.0,17.0,9.0,16.0,93.0,157.0,655.0,1708.0,3654.0,6427.0,6896.0,10929.0,10468.0,5221.0,2308.0,2911.0,-5131.0,2369.0,11.0,0.0,0.0,6212.0,5347.0,0.0,1286.0,11964.0,852.0,,,,1739.0,,,,0.0,0.0,0.0,,,0.0,3.0,0.0,1.0,3.0,52.0,66.0,192.0,267.0,1842.0,2949.0,2979.0,3081.0,6914.0,3713.0,292.0,987.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4918.0,22652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 05:55:00,744.0,5,,894.0,285.0,304.0,900.0,2549.0,6176.0,10429.0,15340.0,26192.0,46219.0,34815.0,49537.0,47507.0,38631.0,17529.0,48296.0,-8149.0,5000.0,-773.0,0.0,0.0,213624.0,66968.0,0.0,21763.0,290704.0,19434.0,,,,1647.0,,,,0.0,0.0,0.0,,,0.0,117.0,83.0,90.0,318.0,690.0,2124.0,3458.0,4102.0,9314.0,16341.0,11074.0,16690.0,16194.0,13789.0,6542.0,19404.0,8724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102895.0,119509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 05:55:00,756.0,5,,47.0,30.0,5.0,6.0,43.0,10.0,45.0,181.0,189.0,335.0,590.0,985.0,2223.0,1790.0,2069.0,9158.0,-3262.0,5000.0,1402.0,0.0,0.0,3825.0,4568.0,0.0,170.0,9449.0,1072.0,,,,1564.0,,,,0.0,0.0,0.0,,,0.0,12.0,1.0,0.0,1.0,0.0,1.0,19.0,163.0,96.0,139.0,222.0,461.0,1054.0,853.0,1026.0,3921.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2060.0,7822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 05:55:00,767.0,5,,83.0,29.0,51.0,763.0,1772.0,2200.0,1679.0,3255.0,5093.0,14479.0,18353.0,26065.0,46171.0,58992.0,51880.0,267085.0,-6233.0,5000.0,3206.0,0.0,0.0,71825.0,245598.0,0.0,4266.0,319380.0,4128.0,,,,1342.0,,,,0.0,0.0,0.0,,,0.0,33.0,6.0,29.0,708.0,1508.0,157.0,502.0,661.0,1582.0,3924.0,5393.0,11433.0,21107.0,24652.0,22060.0,146550.0,1354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17194.0,237947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
