NE Name,fdn,MOIndex,NENAME,className,name,neID,DID,HARDVER,SWVERSION
3G_ADONKIA,"NE=1023,NE=only",779,3G_ADONKIA,BTS3900NETWORKELEMENT,Network Element,779,,,
3G_ALKALIA,"NE=1346,NE=only",1102,3G_ALKALIA,BTS3900NETWORKELEMENT,Network Element,1102,AUTODID_20220106_8ad16058-6f01-11ec-8000-fa163e23f,DBS39_Series,BTS3900_5900 V100R016C10SPC260
3G_ALLENTOWN,"NE=986,NE=only",742,3G_ALLENTOWN,BTS3900NETWORKELEMENT,Network Element,742,,,
3G_ABERDEEN,"NE=339,NE=only",85,3G_ABERDEEN,BTS3900NETWORKELEMENT,Network Element,85,9b37b812-adf1-11e4-8000-ac4e916673d4,,
3G_ADAMSTREET,"NE=1071,NE=only",827,3G_ADAMSTREET,BTS3900NETWORKELEMENT,Network Element,827,,DBS39_Series,BTS3900_5900 V100R016C10SPC260
3G_ADDAX,"NE=885,NE=only",641,3G_ADDAX,BTS3900NETWORKELEMENT,Network Element,641,edd10baa-d155-11e4-8000-ac4e916673d4,,
