begintime,ne_name,4G Traffic ,sum_L.Thrp.bits.DL,sum_PDCP_SDU_VOL_DL,contribution,count,target_without_worst_nes
2022-02-17,"4G_BONTHE/Cell:eNodeB Function Name=4G_BONTHE, Local Cell ID=3, Cell Name=4G_BONTHE-3, eNodeB ID=5128, Cell FDD TDD indication=CELL_FDD",0.654,5232976.0,0,2.8310305231574078e-08,1,23101127.880183
2022-02-17,"4G_BAOMAHUN/Cell:eNodeB Function Name=4G_BAOMAHUN, Local Cell ID=2, Cell Name=4G_BAOMAHUN-2, eNodeB ID=5106, Cell FDD TDD indication=CELL_FDD",92.406,739251312.0,0,4.000064319921765e-06,2,23101035.473769
2022-02-17,"4G_SUMBUYA/Cell:eNodeB Function Name=4G_SUMBUYA, Local Cell ID=2, Cell Name=4G_SUMBUYA-2, eNodeB ID=5126, Cell FDD TDD indication=CELL_FDD",166.648,1333180888.0,0,7.213846706775775e-06,3,23100868.826158
2022-02-17,"4G_BAOMAHUN/Cell:eNodeB Function Name=4G_BAOMAHUN, Local Cell ID=3, Cell Name=4G_BAOMAHUN-3, eNodeB ID=5106, Cell FDD TDD indication=CELL_FDD",342.612,2740899024.0,0,1.483096375535177e-05,4,23100526.21378
2022-02-17,"4G_MARAMPA/Cell:eNodeB Function Name=4G_MARAMPA, Local Cell ID=1, Cell Name=4G_MARAMPA-1, eNodeB ID=5107, Cell FDD TDD indication=CELL_FDD",403.54,3228321272.0,0,1.7468410662307954e-05,5,23100122.673621
2022-02-17,"4G_BONTHE/Cell:eNodeB Function Name=4G_BONTHE, Local Cell ID=1, Cell Name=4G_BONTHE-1, eNodeB ID=5128, Cell FDD TDD indication=CELL_FDD",608.416,4867327824.0,0,2.6337068299347666e-05,6,23099514.257643
2022-02-17,"4G_SUMBUYA/Cell:eNodeB Function Name=4G_SUMBUYA, Local Cell ID=1, Cell Name=4G_SUMBUYA-1, eNodeB ID=5126, Cell FDD TDD indication=CELL_FDD",1067.854,8542831304.0,0,4.622518758831392e-05,7,23098446.40373
2022-02-17,"4G_BARMOI/Cell:eNodeB Function Name=4G_BARMOI, Local Cell ID=1, Cell Name=4G_BARMOI-1, eNodeB ID=5129, Cell FDD TDD indication=CELL_FDD",1297.9,10383201736.0,0,5.618340238541283e-05,8,23097148.503513
2022-02-17,"4G_SPURROAD_II/Cell:eNodeB Function Name=4G_SPURROAD_II, Local Cell ID=7, Cell Name=4G_SPURROAD_II-7, eNodeB ID=5001, Cell FDD TDD indication=CELL_FDD",1900.731,15205844368.0,0,8.227870760415141e-05,9,23095247.772967
2022-02-17,"4G_TIHUN/Cell:eNodeB Function Name=4G_TIHUN, Local Cell ID=1, Cell Name=4G_TIHUN-1, eNodeB ID=5101, Cell FDD TDD indication=CELL_FDD",2480.706,19845648168.0,0,0.00010738462392935352,10,23092767.066946
2022-02-17,"4G_SUMBUYA/Cell:eNodeB Function Name=4G_SUMBUYA, Local Cell ID=3, Cell Name=4G_SUMBUYA-3, eNodeB ID=5126, Cell FDD TDD indication=CELL_FDD",2705.553,21644423336.0,0,0.00011711778478623996,11,23090061.514029
2022-02-17,"4G_BONTHE/Cell:eNodeB Function Name=4G_BONTHE, Local Cell ID=2, Cell Name=4G_BONTHE-2, eNodeB ID=5128, Cell FDD TDD indication=CELL_FDD",2803.96,22431678928.0,0,0.0001213776199650221,12,23087257.554163
2022-02-17,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA, Local Cell ID=2, Cell Name=4G_MOKABA-2, eNodeB ID=5100, Cell FDD TDD indication=CELL_FDD",2966.977,23735814104.0,0,0.0001284342882034556,13,23084290.5774
2022-02-17,"4G_FBC/Cell:eNodeB Function Name=4G_FBC, Local Cell ID=2, Cell Name=4G_FBC-2, eNodeB ID=5026, Cell FDD TDD indication=CELL_FDD",3007.28,24058239288.0,0,0.00013017892158533346,14,23081283.297489
2022-02-17,"4G_RUTILE_II/Cell:eNodeB Function Name=4G_RUTILE_II, Local Cell ID=3, Cell Name=4G_RUTILE_II-3, eNodeB ID=5048, Cell FDD TDD indication=CELL_FDD",3045.141,24361129736.0,0,0.00013181784584584207,15,23078238.156272
2022-02-17,"4G_KENEMA_ENTRANCE/Cell:eNodeB Function Name=4G_KENEMA_ENTRANCE, Local Cell ID=3, Cell Name=4G_KENEMA_ENTRANCE-3, eNodeB ID=5075, Cell FDD TDD indication=CELL_FDD",3167.059,25336472760.0,0,0.00013709542351132074,16,23075071.097177
2022-02-17,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA, Local Cell ID=3, Cell Name=4G_MOKABA-3, eNodeB ID=5100, Cell FDD TDD indication=CELL_FDD",3292.51,26340077120.0,0,0.0001425259374281498,17,23071778.587537
2022-02-17,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN, Local Cell ID=8, Cell Name=4G_BOTOWN-8, eNodeB ID=5041, Cell FDD TDD indication=CELL_FDD",3993.862,31950893688.0,0,0.0001728860126495182,18,23067784.725826
