begintime,sk_object,duration,integrity,1279470420,1279470421,1279470417,1279470418,1279470419,1279470422,1279470423
2022-02-13,627072.0,86400.0,100.0,247080867305.0,711096730211.0,1442633300.0,1728492062.0,0.0,27906038.0,78801364.0
2022-02-08,627072.0,86400.0,100.0,229598675972.0,659068894942.0,1351065681.0,1607183242.0,0.0,28126561.0,78213187.0
2022-03-01,627072.0,86400.0,100.0,244130014715.0,711935426569.0,1429640766.0,1709094623.0,0.0,28216915.0,80614539.0
2022-03-13,627072.0,75600.0,87.5,201054654391.0,585007908941.0,1172152288.0,1401708390.0,0.0,26376997.0,71964746.0
2022-02-05,627072.0,86400.0,100.0,240120617739.0,684611009624.0,1403930149.0,1655438662.0,0.0,28824806.0,76354844.0
2022-03-10,627072.0,79200.0,91.66666666666667,219336102839.0,629091344466.0,1286497804.0,1528586121.0,0.0,27552805.0,74863816.0
2022-02-19,627072.0,86400.0,100.0,242552404309.0,702710873662.0,1418405048.0,1700365615.0,0.0,27360683.0,72591217.0
2022-02-17,627072.0,75600.0,87.5,234373515600.0,655601343565.0,1372539014.0,1624623598.0,0.0,29053876.0,78946339.0
2022-03-14,627072.0,86400.0,100.0,185731821323.0,564277618129.0,1081193952.0,1320839328.0,0.0,25686529.0,71464587.0
2022-03-11,627072.0,86400.0,100.0,228312344578.0,660448128097.0,1336749732.0,1596377400.0,0.0,26138809.0,71456394.0
2022-02-06,627072.0,86400.0,100.0,247473313642.0,702809164219.0,1452837042.0,1704134506.0,0.0,27482196.0,75468816.0
2022-02-03,627072.0,86400.0,100.0,241550130132.0,688068412798.0,1419451765.0,1668065727.0,0.0,28410498.0,78241208.0
2022-03-02,627072.0,86400.0,100.0,242957928058.0,701317572549.0,1423407036.0,1697988139.0,0.0,28801131.0,78223728.0
2022-03-15,627072.0,82800.0,95.83333333333333,201850936367.0,598750597479.0,1171620431.0,1422069577.0,0.0,26508321.0,72992783.0
2022-02-18,627072.0,86400.0,100.0,256059341078.0,733624499287.0,1489283866.0,1774398160.0,0.0,28381233.0,78748242.0
2022-03-06,627072.0,79200.0,91.66666666666667,241374737353.0,656716876020.0,1416917753.0,1635828196.0,0.0,27634216.0,72329603.0
2022-02-20,627072.0,86400.0,100.0,245706120049.0,701706119700.0,1431931750.0,1695964817.0,0.0,27915934.0,74940564.0
2022-02-12,627072.0,86400.0,100.0,244565169084.0,691970741937.0,1432404892.0,1700281832.0,0.0,27824125.0,76206735.0
2022-02-11,627072.0,86400.0,100.0,236090811588.0,671737763286.0,1383975366.0,1640560985.0,0.0,27726412.0,76961090.0
2022-03-09,627072.0,3600.0,4.166666666666667,14275969359.0,45846016169.0,78762553.0,102221839.0,0.0,25840750.0,77360555.0
2022-02-10,627072.0,86400.0,100.0,233341888618.0,667040167229.0,1361822835.0,1618987278.0,0.0,27506145.0,76894411.0
2022-02-04,627072.0,86400.0,100.0,239259716543.0,685367344626.0,1408161144.0,1657967670.0,0.0,28198805.0,77248551.0
2022-03-03,627072.0,86400.0,100.0,241396451820.0,695963657840.0,1412174820.0,1684467112.0,0.0,28191118.0,76795559.0
2022-03-12,627072.0,68400.0,79.16666666666667,198672311044.0,559383485293.0,1169543828.0,1372155901.0,0.0,25210836.0,66503412.0
2022-03-07,627072.0,82800.0,95.83333333333333,226943875389.0,644450609189.0,1338713653.0,1578725230.0,0.0,28300155.0,77512077.0
