begintime,ne_name,4G Traffic ,sum_L.Thrp.bits.DL,sum_PDCP_SDU_VOL_DL,contribution,count,target_without_worst_nes
2022-03-07,"4G_BONTHE/Cell:eNodeB Function Name=4G_BONTHE, Local Cell ID=3, Cell Name=4G_BONTHE-3, eNodeB ID=5128, Cell FDD TDD indication=CELL_FDD",0.003,23320.0,,1.1602537717036052e-10,1,25856412.388618
2022-03-07,"4G_TIHUN/Cell:eNodeB Function Name=4G_TIHUN, Local Cell ID=1, Cell Name=4G_TIHUN-1, eNodeB ID=5101, Cell FDD TDD indication=CELL_FDD",0.009,73928.0,,3.480761315110816e-10,2,25856412.379377
2022-03-07,"4G_BONTHE/Cell:eNodeB Function Name=4G_BONTHE, Local Cell ID=1, Cell Name=4G_BONTHE-1, eNodeB ID=5128, Cell FDD TDD indication=CELL_FDD",46.819,374550128.0,,1.81073071124637e-06,3,25856365.560611
2022-03-07,"4G_BAOMAHUN/Cell:eNodeB Function Name=4G_BAOMAHUN, Local Cell ID=2, Cell Name=4G_BAOMAHUN-2, eNodeB ID=5106, Cell FDD TDD indication=CELL_FDD",162.621,1300965616.0,,6.289387620273733e-06,4,25856202.939909
2022-03-07,"4G_BAOMAHUN/Cell:eNodeB Function Name=4G_BAOMAHUN, Local Cell ID=3, Cell Name=4G_BAOMAHUN-3, eNodeB ID=5106, Cell FDD TDD indication=CELL_FDD",470.188,3761506888.0,,1.818458001365916e-05,5,25855732.751548
2022-03-07,"4G_BONTHE/Cell:eNodeB Function Name=4G_BONTHE, Local Cell ID=2, Cell Name=4G_BONTHE-2, eNodeB ID=5128, Cell FDD TDD indication=CELL_FDD",934.267,7474133664.0,,3.613289368427374e-05,6,25854798.48484
2022-03-07,"4G_BARMOI/Cell:eNodeB Function Name=4G_BARMOI, Local Cell ID=1, Cell Name=4G_BARMOI-1, eNodeB ID=5129, Cell FDD TDD indication=CELL_FDD",980.825,7846599008.0,,3.793353018770629e-05,7,25853817.659964
2022-03-07,"4G_SUMBUYA/Cell:eNodeB Function Name=4G_SUMBUYA, Local Cell ID=2, Cell Name=4G_SUMBUYA-2, eNodeB ID=5126, Cell FDD TDD indication=CELL_FDD",1067.162,8537297208.0,,4.1272624517292095e-05,8,25852750.497813
2022-03-07,"4G_SUMBUYA/Cell:eNodeB Function Name=4G_SUMBUYA, Local Cell ID=1, Cell Name=4G_SUMBUYA-1, eNodeB ID=5126, Cell FDD TDD indication=CELL_FDD",1462.137,11697098312.0,,5.6548332299913146e-05,9,25851288.360524
2022-03-07,"4G_MARAMPA/Cell:eNodeB Function Name=4G_MARAMPA, Local Cell ID=1, Cell Name=4G_MARAMPA-1, eNodeB ID=5107, Cell FDD TDD indication=CELL_FDD",1564.646,12517170752.0,,6.051288076269864e-05,10,25849723.71418
