begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.E-RAB.AttEst.QCI.5,L.E-RAB.AttEst.QCI.8
2022-02-02,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,0.0,202.0
2022-02-03,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0.0,111.0
2022-02-04,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0.0,123.0
2022-02-05,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0.0,184.0
2022-02-06,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0.0,140.0
2022-02-08,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0.0,44.0
2022-02-10,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0.0,13.0
2022-02-11,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0.0,56.0
2022-02-12,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0.0,16.0
2022-02-13,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0.0,45.0
