begintime,sk_object,duration,integrity,M51301C0,M51301C1,M51301C2,M51301C3,M51301C4,M51301C5,M51301C7,M51301C9
2022-03-15 17:00:00,15385.0,60.0,100.0,693954.0,360638014.0,341781.0,53372827.0,0.0,0.0,0.0,0.0
2022-03-12 12:00:00,15395.0,60.0,100.0,5445992.0,5462722030.0,3418738.0,835885204.0,0.0,0.0,0.0,0.0
2022-03-18 03:00:00,15384.0,60.0,100.0,2231967.0,2108165941.0,2081754.0,1000945098.0,0.0,0.0,0.0,0.0
2022-03-12 10:00:00,15389.0,60.0,100.0,1623450.0,1561991429.0,1057260.0,321711199.0,0.0,0.0,0.0,0.0
2022-03-18 05:00:00,15397.0,60.0,100.0,5617239.0,6745003435.0,3625758.0,726077685.0,0.0,0.0,0.0,0.0
2022-03-18 04:00:00,15398.0,60.0,100.0,4314249.0,5224564335.0,2329997.0,369869562.0,0.0,0.0,0.0,0.0
2022-03-18 17:00:00,15382.0,60.0,100.0,3833123.0,3778140872.0,2200821.0,706660226.0,0.0,0.0,0.0,0.0
2022-03-17 12:00:00,15384.0,60.0,100.0,6162080.0,7100262289.0,3468040.0,1022135864.0,0.0,0.0,0.0,0.0
2022-03-16 18:00:00,15388.0,60.0,100.0,2314512.0,2190110223.0,1099999.0,313999084.0,0.0,0.0,0.0,0.0
2022-03-16 19:00:00,15390.0,60.0,100.0,20650432.0,21888776138.0,14709419.0,3907469951.0,0.0,0.0,0.0,0.0
2022-03-18 04:00:00,15382.0,60.0,100.0,2388788.0,2574969169.0,1512381.0,647985187.0,0.0,0.0,0.0,0.0
2022-03-12 19:00:00,15388.0,60.0,100.0,2442775.0,2447269864.0,1192525.0,268399450.0,0.0,0.0,0.0,0.0
2022-03-12 00:00:00,15380.0,60.0,100.0,13980158.0,16703467152.0,8824594.0,2653566128.0,0.0,0.0,0.0,0.0
2022-03-16 08:00:00,15383.0,60.0,100.0,16157409.0,17869932715.0,11883170.0,2660473574.0,0.0,0.0,0.0,0.0
2022-03-13 10:00:00,15398.0,60.0,100.0,8360622.0,9325390885.0,5324872.0,1291964943.0,0.0,0.0,0.0,0.0
2022-03-11 02:00:00,15385.0,60.0,100.0,490865.0,268558670.0,239008.0,95773445.0,0.0,0.0,0.0,0.0
2022-03-11 17:00:00,15388.0,60.0,100.0,2330892.0,2085222273.0,1217353.0,377161747.0,0.0,0.0,0.0,0.0
2022-03-12 17:00:00,15385.0,60.0,100.0,3182778.0,3433210358.0,2008311.0,598415403.0,0.0,0.0,0.0,0.0
2022-03-18 10:00:00,15393.0,60.0,100.0,7270221.0,8477733656.0,4125100.0,1071551624.0,0.0,0.0,0.0,0.0
2022-03-12 05:00:00,15387.0,60.0,100.0,5965347.0,6870855470.0,4252675.0,876525838.0,0.0,0.0,0.0,0.0
2022-03-16 06:00:00,15381.0,60.0,100.0,7777730.0,9262865373.0,4455767.0,1021857325.0,0.0,0.0,0.0,0.0
2022-03-12 18:00:00,15390.0,60.0,100.0,20002586.0,21776042435.0,14643287.0,4168566031.0,0.0,0.0,0.0,0.0
2022-03-12 05:00:00,15395.0,60.0,100.0,1019573.0,941538226.0,431351.0,102120530.0,0.0,0.0,0.0,0.0
2022-03-11 02:00:00,15394.0,60.0,100.0,6404728.0,7398370223.0,4919151.0,744228338.0,0.0,0.0,0.0,0.0
2022-03-11 03:00:00,15386.0,60.0,100.0,830603.0,772693150.0,485906.0,179561300.0,0.0,0.0,0.0,0.0
2022-03-15 19:00:00,15395.0,60.0,100.0,4550672.0,4819971272.0,2839242.0,629855910.0,0.0,0.0,0.0,0.0
2022-03-11 14:00:00,15386.0,60.0,100.0,5351691.0,6119525992.0,2951010.0,879480769.0,0.0,0.0,0.0,0.0
2022-03-19 00:00:00,15384.0,60.0,100.0,6911854.0,8296749580.0,4196349.0,1223388130.0,0.0,0.0,0.0,0.0
2022-03-11 20:00:00,15383.0,60.0,100.0,21679375.0,21247967363.0,15952267.0,3754711288.0,0.0,0.0,0.0,0.0
2022-03-19 06:00:00,15384.0,60.0,100.0,2760130.0,3177533851.0,1277584.0,250433508.0,0.0,0.0,0.0,2.0
2022-03-12 13:00:00,15389.0,60.0,100.0,2303374.0,2599660777.0,1160982.0,271549878.0,0.0,0.0,0.0,16.0
2022-03-19 05:00:00,15381.0,60.0,100.0,4214083.0,4626993059.0,2619332.0,631123486.0,0.0,0.0,0.0,0.0
2022-03-17 19:00:00,15386.0,60.0,100.0,6753387.0,7861040287.0,4485282.0,877045769.0,0.0,0.0,0.0,2.0
2022-03-16 15:00:00,15398.0,60.0,100.0,8070247.0,9416025300.0,5165972.0,1180429255.0,0.0,0.0,0.0,0.0
2022-03-11 07:00:00,15391.0,60.0,100.0,14059846.0,16610252327.0,9299811.0,2173936913.0,0.0,0.0,0.0,0.0
2022-03-13 03:00:00,15382.0,60.0,100.0,1236846.0,1202820124.0,877288.0,152647362.0,0.0,0.0,0.0,0.0
2022-03-15 21:00:00,15383.0,60.0,100.0,22181835.0,21325588097.0,16717489.0,4003849222.0,0.0,0.0,0.0,0.0
2022-03-17 11:00:00,15386.0,60.0,100.0,5881184.0,7030202015.0,4049162.0,1157210719.0,0.0,0.0,0.0,12.0
2022-03-13 05:00:00,15387.0,60.0,100.0,4273698.0,5032920845.0,2622700.0,423814300.0,0.0,0.0,0.0,0.0
